"location","date","total_cases","total_deaths"
"Bangladesh","2020-03-04",NA,NA
"Bangladesh","2020-03-05",NA,NA
"Bangladesh","2020-03-06",NA,NA
"Bangladesh","2020-03-07",NA,NA
"Bangladesh","2020-03-08",NA,NA
"Bangladesh","2020-03-09",3,0
"Bangladesh","2020-03-10",NA,NA
"Bangladesh","2020-03-11",NA,NA
"Bangladesh","2020-03-12",NA,NA
"Bangladesh","2020-03-13",NA,NA
"Bangladesh","2020-03-14",NA,NA
"Bangladesh","2020-03-15",3,0
"Bangladesh","2020-03-16",NA,NA
"Bangladesh","2020-03-17",5,0
"Bangladesh","2020-03-18",8,0
"Bangladesh","2020-03-19",10,0
"Bangladesh","2020-03-20",10,0
"Bangladesh","2020-03-21",17,0
"Bangladesh","2020-03-22",24,2
"Bangladesh","2020-03-23",27,3
"Bangladesh","2020-03-24",33,3
"Bangladesh","2020-03-25",39,4
"Bangladesh","2020-03-26",39,5
"Bangladesh","2020-03-27",48,5
"Bangladesh","2020-03-28",48,5
"Bangladesh","2020-03-29",48,5
"Bangladesh","2020-03-30",49,5
"Bangladesh","2020-03-31",49,5
"Bangladesh","2020-04-01",51,5
"Bangladesh","2020-04-02",54,6
"Bangladesh","2020-04-03",56,6
"Bangladesh","2020-04-04",61,6
"Bangladesh","2020-04-05",70,8
"Bangladesh","2020-04-06",88,9
"Bangladesh","2020-04-07",123,12
"Bangladesh","2020-04-08",164,17
"Bangladesh","2020-04-09",218,20
"Bangladesh","2020-04-10",330,21
"Bangladesh","2020-04-11",424,27
"Bangladesh","2020-04-12",482,30
"Bangladesh","2020-04-13",621,34
"Bangladesh","2020-04-14",803,39
"Bangladesh","2020-04-15",1012,46
"Bangladesh","2020-04-16",1231,50
"Bangladesh","2020-04-17",1572,60
"Bangladesh","2020-04-18",1838,75
"Bangladesh","2020-04-19",2144,84
"Bangladesh","2020-04-20",2456,91
"Bangladesh","2020-04-21",2948,101
"Bangladesh","2020-04-22",3382,110
"Bangladesh","2020-04-23",3772,120
"Bangladesh","2020-04-24",4186,127
"Bangladesh","2020-04-25",4689,131
"Bangladesh","2020-04-26",4998,140
"Bangladesh","2020-04-27",5416,145
"Bangladesh","2020-04-28",5913,152
"Bangladesh","2020-04-29",6462,155
"Bangladesh","2020-04-30",7103,163
"Bangladesh","2020-05-01",7667,168
"Bangladesh","2020-05-02",8238,170
"Bangladesh","2020-05-03",8790,175
"Bangladesh","2020-05-04",9455,177
"Bangladesh","2020-05-05",10143,182
"Bangladesh","2020-05-06",10929,183
"Bangladesh","2020-05-07",11719,186
"Bangladesh","2020-05-08",12425,199
"Bangladesh","2020-05-09",13134,206
"Bangladesh","2020-05-10",13770,214
"Bangladesh","2020-05-11",14657,228
"Bangladesh","2020-05-12",15691,239
"Bangladesh","2020-05-13",16660,250
"Bangladesh","2020-05-14",17822,269
"Bangladesh","2020-05-15",18863,283
"Bangladesh","2020-05-16",20065,298
"Bangladesh","2020-05-17",20995,314
"Bangladesh","2020-05-18",22268,328
"Bangladesh","2020-05-19",23870,349
"Bangladesh","2020-05-20",25121,370
"Bangladesh","2020-05-21",26738,386
"Bangladesh","2020-05-22",28511,408
"Bangladesh","2020-05-23",30205,432
"Bangladesh","2020-05-24",32078,452
"Bangladesh","2020-05-25",33610,480
"Bangladesh","2020-05-26",35585,501
"Bangladesh","2020-05-27",36751,522
"Bangladesh","2020-05-28",38292,544
"Bangladesh","2020-05-29",40321,559
"Bangladesh","2020-05-30",42844,582
"Bangladesh","2020-05-31",44608,610
"Bangladesh","2020-06-01",47153,650
"Bangladesh","2020-06-02",49534,672
"Bangladesh","2020-06-03",52445,709
"Bangladesh","2020-06-04",55140,746
"Bangladesh","2020-06-05",57563,781
"Bangladesh","2020-06-06",60391,811
"Bangladesh","2020-06-07",63026,846
"Bangladesh","2020-06-08",65769,888
"Bangladesh","2020-06-09",68504,930
"Bangladesh","2020-06-10",71675,975
"Bangladesh","2020-06-11",74865,1012
"Bangladesh","2020-06-12",78052,1049
"Bangladesh","2020-06-13",81523,1095
"Bangladesh","2020-06-14",84379,1139
"Bangladesh","2020-06-15",87520,1171
"Bangladesh","2020-06-16",90619,1209
"Bangladesh","2020-06-17",94481,1262
"Bangladesh","2020-06-18",98489,1305
"Bangladesh","2020-06-19",102292,1343
"Bangladesh","2020-06-20",105535,1388
"Bangladesh","2020-06-21",108775,1425
"Bangladesh","2020-06-22",112306,1464
"Bangladesh","2020-06-23",115786,1502
"Bangladesh","2020-06-24",119198,1545
"Bangladesh","2020-06-25",122660,1582
"Bangladesh","2020-06-26",126606,1621
"Bangladesh","2020-06-27",130474,1661
"Bangladesh","2020-06-28",133978,1695
"Bangladesh","2020-06-29",137787,1738
"Bangladesh","2020-06-30",141801,1783
"Bangladesh","2020-07-01",145483,1847
"Bangladesh","2020-07-02",149258,1888
"Bangladesh","2020-07-03",153277,1926
"Bangladesh","2020-07-04",156391,1968
"Bangladesh","2020-07-05",159679,1997
