"location","date","total_cases","total_deaths"
"Bolivia","2020-03-12",2,0
"Bolivia","2020-03-13",3,0
"Bolivia","2020-03-14",10,0
"Bolivia","2020-03-15",10,0
"Bolivia","2020-03-16",NA,NA
"Bolivia","2020-03-17",11,0
"Bolivia","2020-03-18",12,0
"Bolivia","2020-03-19",12,0
"Bolivia","2020-03-20",15,0
"Bolivia","2020-03-21",19,0
"Bolivia","2020-03-22",20,0
"Bolivia","2020-03-23",27,0
"Bolivia","2020-03-24",28,0
"Bolivia","2020-03-25",32,0
"Bolivia","2020-03-26",39,0
"Bolivia","2020-03-27",61,0
"Bolivia","2020-03-28",74,0
"Bolivia","2020-03-29",81,0
"Bolivia","2020-03-30",96,3
"Bolivia","2020-03-31",107,6
"Bolivia","2020-04-01",115,7
"Bolivia","2020-04-02",123,8
"Bolivia","2020-04-03",132,9
"Bolivia","2020-04-04",139,10
"Bolivia","2020-04-05",157,10
"Bolivia","2020-04-06",183,11
"Bolivia","2020-04-07",194,14
"Bolivia","2020-04-08",210,15
"Bolivia","2020-04-09",264,18
"Bolivia","2020-04-10",268,19
"Bolivia","2020-04-11",276,20
"Bolivia","2020-04-12",300,24
"Bolivia","2020-04-13",330,27
"Bolivia","2020-04-14",354,28
"Bolivia","2020-04-15",397,28
"Bolivia","2020-04-16",441,29
"Bolivia","2020-04-17",465,31
"Bolivia","2020-04-18",493,31
"Bolivia","2020-04-19",520,32
"Bolivia","2020-04-20",564,33
"Bolivia","2020-04-21",598,34
"Bolivia","2020-04-22",609,37
"Bolivia","2020-04-23",672,40
"Bolivia","2020-04-24",703,43
"Bolivia","2020-04-25",807,44
"Bolivia","2020-04-26",866,46
"Bolivia","2020-04-27",950,50
"Bolivia","2020-04-28",1014,53
"Bolivia","2020-04-29",1053,55
"Bolivia","2020-04-30",1110,59
"Bolivia","2020-05-01",1167,62
"Bolivia","2020-05-02",1229,66
"Bolivia","2020-05-03",1470,71
"Bolivia","2020-05-04",1594,76
"Bolivia","2020-05-05",1681,82
"Bolivia","2020-05-06",1802,86
"Bolivia","2020-05-07",1886,91
"Bolivia","2020-05-08",2081,102
"Bolivia","2020-05-09",2266,106
"Bolivia","2020-05-10",2437,114
"Bolivia","2020-05-11",2556,118
"Bolivia","2020-05-12",2831,122
"Bolivia","2020-05-13",2964,128
"Bolivia","2020-05-14",3148,142
"Bolivia","2020-05-15",3372,152
"Bolivia","2020-05-16",3577,164
"Bolivia","2020-05-17",3826,165
"Bolivia","2020-05-18",4088,169
"Bolivia","2020-05-19",4263,174
"Bolivia","2020-05-20",4481,189
"Bolivia","2020-05-21",4919,199
"Bolivia","2020-05-22",5187,215
"Bolivia","2020-05-23",5579,230
"Bolivia","2020-05-24",5915,240
"Bolivia","2020-05-25",6263,250
"Bolivia","2020-05-26",6660,261
"Bolivia","2020-05-27",7136,274
"Bolivia","2020-05-28",7768,280
"Bolivia","2020-05-29",8387,293
"Bolivia","2020-05-30",8731,300
"Bolivia","2020-05-31",9592,310
"Bolivia","2020-06-01",9982,313
"Bolivia","2020-06-02",10531,343
"Bolivia","2020-06-03",10991,376
"Bolivia","2020-06-04",11638,400
"Bolivia","2020-06-05",12245,415
"Bolivia","2020-06-06",12728,427
"Bolivia","2020-06-07",13358,454
"Bolivia","2020-06-08",13643,465
"Bolivia","2020-06-09",13949,475
"Bolivia","2020-06-10",14644,487
"Bolivia","2020-06-11",15281,512
"Bolivia","2020-06-12",16165,533
"Bolivia","2020-06-13",16929,559
"Bolivia","2020-06-14",17842,585
"Bolivia","2020-06-15",18459,611
"Bolivia","2020-06-16",19073,632
"Bolivia","2020-06-17",19883,659
"Bolivia","2020-06-18",20685,679
"Bolivia","2020-06-19",21499,697
"Bolivia","2020-06-20",22476,715
"Bolivia","2020-06-21",23512,740
"Bolivia","2020-06-22",24388,773
"Bolivia","2020-06-23",25493,820
"Bolivia","2020-06-24",26389,846
