"location","date","total_cases","total_deaths"
"Cameroon","2020-03-07",1,0
"Cameroon","2020-03-09",2,0
"Cameroon","2020-03-15",3,0
"Cameroon","2020-03-16",4,0
"Cameroon","2020-03-17",4,0
"Cameroon","2020-03-18",10,0
"Cameroon","2020-03-19",10,0
"Cameroon","2020-03-20",14,0
"Cameroon","2020-03-21",27,0
"Cameroon","2020-03-22",27,0
"Cameroon","2020-03-23",27,0
"Cameroon","2020-03-24",56,0
"Cameroon","2020-03-25",72,1
"Cameroon","2020-03-26",72,1
"Cameroon","2020-03-27",88,1
"Cameroon","2020-03-28",88,1
"Cameroon","2020-03-29",99,2
"Cameroon","2020-03-30",99,2
"Cameroon","2020-03-31",142,2
"Cameroon","2020-04-01",193,6
"Cameroon","2020-04-02",233,6
"Cameroon","2020-04-03",271,7
"Cameroon","2020-04-04",509,8
"Cameroon","2020-04-05",555,9
"Cameroon","2020-04-06",650,9
"Cameroon","2020-04-07",658,9
"Cameroon","2020-04-08",685,9
"Cameroon","2020-04-09",730,10
"Cameroon","2020-04-10",730,10
"Cameroon","2020-04-11",803,10
"Cameroon","2020-04-12",820,11
"Cameroon","2020-04-13",820,12
"Cameroon","2020-04-14",820,12
"Cameroon","2020-04-15",855,17
"Cameroon","2020-04-16",855,17
"Cameroon","2020-04-17",855,21
"Cameroon","2020-04-18",1016,21
"Cameroon","2020-04-19",1016,21
"Cameroon","2020-04-20",1016,42
"Cameroon","2020-04-21",1017,42
"Cameroon","2020-04-22",1163,42
"Cameroon","2020-04-23",1163,43
"Cameroon","2020-04-24",1401,49
"Cameroon","2020-04-25",1403,49
"Cameroon","2020-04-26",1518,53
"Cameroon","2020-04-27",1621,56
"Cameroon","2020-04-28",1621,58
"Cameroon","2020-04-29",1806,59
"Cameroon","2020-04-30",1832,61
"Cameroon","2020-05-01",1832,61
"Cameroon","2020-05-02",2069,61
"Cameroon","2020-05-03",2077,64
"Cameroon","2020-05-04",2077,64
"Cameroon","2020-05-05",2104,64
"Cameroon","2020-05-06",2104,64
"Cameroon","2020-05-07",2265,108
"Cameroon","2020-05-08",2265,108
"Cameroon","2020-05-09",2265,108
"Cameroon","2020-05-10",2274,108
"Cameroon","2020-05-11",2579,114
"Cameroon","2020-05-12",2689,125
"Cameroon","2020-05-13",2689,125
"Cameroon","2020-05-14",2800,136
"Cameroon","2020-05-15",2954,139
"Cameroon","2020-05-16",3105,140
"Cameroon","2020-05-17",3292,140
"Cameroon","2020-05-18",3292,140
"Cameroon","2020-05-19",3292,140
"Cameroon","2020-05-20",3529,140
"Cameroon","2020-05-21",3733,146
"Cameroon","2020-05-22",4288,156
"Cameroon","2020-05-23",4400,159
"Cameroon","2020-05-24",4597,159
"Cameroon","2020-05-25",4890,165
"Cameroon","2020-05-26",5044,171
"Cameroon","2020-05-27",5356,175
"Cameroon","2020-05-28",5356,177
"Cameroon","2020-05-29",5356,177
"Cameroon","2020-05-30",5436,177
"Cameroon","2020-05-31",5904,191
"Cameroon","2020-06-01",5904,191
"Cameroon","2020-06-02",6397,199
"Cameroon","2020-06-03",6585,200
"Cameroon","2020-06-04",6752,200
"Cameroon","2020-06-05",6789,203
"Cameroon","2020-06-06",7599,203
"Cameroon","2020-06-07",7599,203
"Cameroon","2020-06-08",7908,203
"Cameroon","2020-06-09",8312,208
"Cameroon","2020-06-10",8681,208
"Cameroon","2020-06-11",8929,214
"Cameroon","2020-06-12",8929,214
"Cameroon","2020-06-13",9196,273
"Cameroon","2020-06-14",9572,275
"Cameroon","2020-06-15",9864,276
"Cameroon","2020-06-16",9864,276
"Cameroon","2020-06-17",9864,276
"Cameroon","2020-06-18",9864,276
"Cameroon","2020-06-19",10638,282
"Cameroon","2020-06-20",11281,300
"Cameroon","2020-06-21",11281,300
"Cameroon","2020-06-22",11610,301
"Cameroon","2020-06-23",11892,303
"Cameroon","2020-06-24",12041,308
