"location","date","total_cases","total_deaths"
"Cape Verde","2020-03-21",2,0
"Cape Verde","2020-03-22",3,0
"Cape Verde","2020-03-23",3,0
"Cape Verde","2020-03-24",3,0
"Cape Verde","2020-03-25",3,1
"Cape Verde","2020-03-26",4,1
"Cape Verde","2020-03-27",5,1
"Cape Verde","2020-03-28",5,1
"Cape Verde","2020-03-29",5,1
"Cape Verde","2020-03-30",5,1
"Cape Verde","2020-03-31",5,1
"Cape Verde","2020-04-01",6,1
"Cape Verde","2020-04-02",6,1
"Cape Verde","2020-04-03",6,1
"Cape Verde","2020-04-04",6,1
"Cape Verde","2020-04-05",7,1
"Cape Verde","2020-04-06",7,1
"Cape Verde","2020-04-07",7,1
"Cape Verde","2020-04-08",7,1
"Cape Verde","2020-04-09",7,1
"Cape Verde","2020-04-10",7,1
"Cape Verde","2020-04-11",7,1
"Cape Verde","2020-04-12",8,1
"Cape Verde","2020-04-13",10,1
"Cape Verde","2020-04-14",10,1
"Cape Verde","2020-04-15",11,1
"Cape Verde","2020-04-16",55,1
"Cape Verde","2020-04-17",55,1
"Cape Verde","2020-04-18",56,1
"Cape Verde","2020-04-19",58,1
"Cape Verde","2020-04-20",61,1
"Cape Verde","2020-04-21",67,1
"Cape Verde","2020-04-22",67,1
"Cape Verde","2020-04-23",73,1
"Cape Verde","2020-04-24",82,1
"Cape Verde","2020-04-25",88,1
"Cape Verde","2020-04-26",90,1
"Cape Verde","2020-04-27",106,1
"Cape Verde","2020-04-28",109,1
"Cape Verde","2020-04-29",113,1
"Cape Verde","2020-04-30",113,1
"Cape Verde","2020-05-01",121,1
"Cape Verde","2020-05-02",123,2
"Cape Verde","2020-05-03",152,2
"Cape Verde","2020-05-04",165,2
"Cape Verde","2020-05-05",175,2
"Cape Verde","2020-05-06",186,2
"Cape Verde","2020-05-07",191,2
"Cape Verde","2020-05-08",218,2
"Cape Verde","2020-05-09",230,2
"Cape Verde","2020-05-10",236,2
"Cape Verde","2020-05-11",246,2
"Cape Verde","2020-05-12",260,2
"Cape Verde","2020-05-13",270,2
"Cape Verde","2020-05-14",289,2
"Cape Verde","2020-05-15",315,2
"Cape Verde","2020-05-16",326,2
"Cape Verde","2020-05-17",328,3
"Cape Verde","2020-05-18",328,3
"Cape Verde","2020-05-19",328,3
"Cape Verde","2020-05-20",335,3
"Cape Verde","2020-05-21",349,3
"Cape Verde","2020-05-22",356,3
"Cape Verde","2020-05-23",362,3
"Cape Verde","2020-05-24",371,3
"Cape Verde","2020-05-25",380,3
"Cape Verde","2020-05-26",390,3
"Cape Verde","2020-05-27",390,4
"Cape Verde","2020-05-28",390,4
"Cape Verde","2020-05-29",390,4
"Cape Verde","2020-05-30",405,4
"Cape Verde","2020-05-31",421,4
"Cape Verde","2020-06-01",435,4
"Cape Verde","2020-06-02",458,4
"Cape Verde","2020-06-03",466,5
"Cape Verde","2020-06-04",477,5
"Cape Verde","2020-06-05",502,5
"Cape Verde","2020-06-06",536,5
"Cape Verde","2020-06-07",542,5
"Cape Verde","2020-06-08",554,5
"Cape Verde","2020-06-09",567,5
"Cape Verde","2020-06-10",585,5
"Cape Verde","2020-06-11",615,5
"Cape Verde","2020-06-12",657,6
"Cape Verde","2020-06-13",697,6
"Cape Verde","2020-06-14",726,6
"Cape Verde","2020-06-15",750,6
"Cape Verde","2020-06-16",760,7
"Cape Verde","2020-06-17",781,7
"Cape Verde","2020-06-18",792,7
"Cape Verde","2020-06-19",823,7
"Cape Verde","2020-06-20",848,8
"Cape Verde","2020-06-21",863,8
"Cape Verde","2020-06-22",890,8
"Cape Verde","2020-06-23",944,8
"Cape Verde","2020-06-24",982,8
