"location","date","total_cases","total_deaths"
"Egypt","2019-12-31",0,0
"Egypt","2020-01-01",0,0
"Egypt","2020-01-02",0,0
"Egypt","2020-01-03",0,0
"Egypt","2020-01-04",0,0
"Egypt","2020-01-05",0,0
"Egypt","2020-01-06",0,0
"Egypt","2020-01-07",0,0
"Egypt","2020-01-08",0,0
"Egypt","2020-01-09",0,0
"Egypt","2020-01-10",0,0
"Egypt","2020-01-11",0,0
"Egypt","2020-01-12",0,0
"Egypt","2020-01-13",0,0
"Egypt","2020-01-14",0,0
"Egypt","2020-01-15",0,0
"Egypt","2020-01-16",0,0
"Egypt","2020-01-17",0,0
"Egypt","2020-01-18",0,0
"Egypt","2020-01-19",0,0
"Egypt","2020-01-20",0,0
"Egypt","2020-01-21",0,0
"Egypt","2020-01-22",0,0
"Egypt","2020-01-23",0,0
"Egypt","2020-01-24",0,0
"Egypt","2020-01-25",0,0
"Egypt","2020-01-26",0,0
"Egypt","2020-01-27",0,0
"Egypt","2020-01-28",0,0
"Egypt","2020-01-29",0,0
"Egypt","2020-01-30",0,0
"Egypt","2020-01-31",0,0
"Egypt","2020-02-01",0,0
"Egypt","2020-02-02",0,0
"Egypt","2020-02-03",0,0
"Egypt","2020-02-04",0,0
"Egypt","2020-02-05",0,0
"Egypt","2020-02-06",0,0
"Egypt","2020-02-07",0,0
"Egypt","2020-02-08",0,0
"Egypt","2020-02-09",0,0
"Egypt","2020-02-10",0,0
"Egypt","2020-02-11",0,0
"Egypt","2020-02-12",0,0
"Egypt","2020-02-13",0,0
"Egypt","2020-02-14",0,0
"Egypt","2020-02-15",1,0
"Egypt","2020-02-16",1,0
"Egypt","2020-02-17",1,0
"Egypt","2020-02-18",1,0
"Egypt","2020-02-19",1,0
"Egypt","2020-02-20",1,0
"Egypt","2020-02-21",1,0
"Egypt","2020-02-22",1,0
"Egypt","2020-02-23",1,0
"Egypt","2020-02-24",1,0
"Egypt","2020-02-25",1,0
"Egypt","2020-02-26",1,0
"Egypt","2020-02-27",1,0
"Egypt","2020-02-28",1,0
"Egypt","2020-02-29",1,0
"Egypt","2020-03-01",1,0
"Egypt","2020-03-02",2,0
"Egypt","2020-03-06",3,0
"Egypt","2020-03-07",15,0
"Egypt","2020-03-09",49,1
"Egypt","2020-03-10",55,1
"Egypt","2020-03-11",59,1
"Egypt","2020-03-12",60,1
"Egypt","2020-03-13",80,2
"Egypt","2020-03-14",93,2
"Egypt","2020-03-15",93,2
"Egypt","2020-03-16",110,2
"Egypt","2020-03-17",126,2
"Egypt","2020-03-18",166,4
"Egypt","2020-03-19",196,6
"Egypt","2020-03-20",210,6
"Egypt","2020-03-21",256,7
"Egypt","2020-03-22",285,8
"Egypt","2020-03-23",294,10
"Egypt","2020-03-24",327,14
"Egypt","2020-03-25",366,19
"Egypt","2020-03-26",442,21
"Egypt","2020-03-27",456,21
"Egypt","2020-03-28",495,24
"Egypt","2020-03-29",536,30
"Egypt","2020-03-30",576,36
"Egypt","2020-03-31",609,40
"Egypt","2020-04-01",656,41
"Egypt","2020-04-02",710,46
"Egypt","2020-04-03",779,52
"Egypt","2020-04-04",779,52
"Egypt","2020-04-05",985,66
"Egypt","2020-04-06",1070,71
"Egypt","2020-04-07",1073,78
"Egypt","2020-04-08",1322,85
"Egypt","2020-04-09",1560,103
"Egypt","2020-04-10",1699,118
"Egypt","2020-04-11",1794,135
"Egypt","2020-04-12",1939,146
"Egypt","2020-04-13",2065,159
"Egypt","2020-04-14",2190,164
"Egypt","2020-04-15",2350,178
"Egypt","2020-04-16",2505,183
"Egypt","2020-04-17",2673,196
"Egypt","2020-04-18",2844,205
"Egypt","2020-04-19",3032,224
"Egypt","2020-04-20",3144,239
"Egypt","2020-04-21",3333,250
"Egypt","2020-04-22",3490,264
"Egypt","2020-04-23",3490,264
"Egypt","2020-04-24",3659,276
"Egypt","2020-04-25",4092,294
"Egypt","2020-04-26",4319,307
"Egypt","2020-04-27",4319,307
"Egypt","2020-04-28",4782,337
"Egypt","2020-04-29",5042,359
"Egypt","2020-04-30",5268,380
"Egypt","2020-05-01",5537,392
"Egypt","2020-05-02",5895,406
"Egypt","2020-05-03",6193,415
"Egypt","2020-05-04",6465,429
"Egypt","2020-05-05",6813,436
"Egypt","2020-05-06",7201,452
"Egypt","2020-05-07",7588,469
"Egypt","2020-05-08",7981,482
"Egypt","2020-05-09",8476,503
"Egypt","2020-05-10",8964,514
"Egypt","2020-05-11",9400,525
"Egypt","2020-05-12",9746,533
"Egypt","2020-05-13",10093,544
"Egypt","2020-05-14",10431,556
"Egypt","2020-05-15",10829,571
"Egypt","2020-05-16",11228,592
"Egypt","2020-05-17",11719,612
"Egypt","2020-05-18",12229,630
"Egypt","2020-05-19",12764,645
"Egypt","2020-05-20",13484,659
"Egypt","2020-05-21",14229,680
"Egypt","2020-05-22",15003,696
"Egypt","2020-05-23",15786,707
"Egypt","2020-05-24",16613,735
"Egypt","2020-05-25",17265,764
"Egypt","2020-05-26",17967,783
"Egypt","2020-05-27",18756,797
"Egypt","2020-05-28",19666,816
"Egypt","2020-05-29",20793,845
"Egypt","2020-05-30",22082,879
"Egypt","2020-05-31",23449,913
"Egypt","2020-06-01",24985,959
"Egypt","2020-06-02",26384,1005
"Egypt","2020-06-03",27536,1052
"Egypt","2020-06-04",28615,1088
"Egypt","2020-06-05",29767,1126
"Egypt","2020-06-06",31115,1166
"Egypt","2020-06-07",32612,1198
"Egypt","2020-06-08",34079,1237
"Egypt","2020-06-09",35444,1271
"Egypt","2020-06-10",36829,1306
"Egypt","2020-06-11",38284,1342
"Egypt","2020-06-12",39726,1377
"Egypt","2020-06-13",41304,1422
"Egypt","2020-06-14",42980,1484
"Egypt","2020-06-15",44598,1575
"Egypt","2020-06-16",46289,1672
"Egypt","2020-06-17",47856,1766
"Egypt","2020-06-18",49219,1850
"Egypt","2020-06-19",50437,1938
"Egypt","2020-06-20",52211,2017
"Egypt","2020-06-21",53758,2106
"Egypt","2020-06-22",55233,2193
"Egypt","2020-06-23",56809,2278
"Egypt","2020-06-24",58141,2365
