"location","date","total_cases","total_deaths"
"El Salvador","2020-03-19",1,0
"El Salvador","2020-03-20",1,0
"El Salvador","2020-03-21",3,0
"El Salvador","2020-03-22",3,0
"El Salvador","2020-03-23",3,0
"El Salvador","2020-03-24",5,0
"El Salvador","2020-03-25",9,0
"El Salvador","2020-03-26",13,0
"El Salvador","2020-03-27",13,0
"El Salvador","2020-03-28",13,0
"El Salvador","2020-03-29",19,0
"El Salvador","2020-03-30",30,0
"El Salvador","2020-03-31",32,0
"El Salvador","2020-04-01",32,1
"El Salvador","2020-04-02",41,2
"El Salvador","2020-04-03",46,2
"El Salvador","2020-04-04",56,3
"El Salvador","2020-04-05",62,3
"El Salvador","2020-04-06",69,3
"El Salvador","2020-04-07",78,4
"El Salvador","2020-04-08",78,4
"El Salvador","2020-04-09",103,5
"El Salvador","2020-04-10",117,6
"El Salvador","2020-04-11",118,6
"El Salvador","2020-04-12",118,6
"El Salvador","2020-04-13",125,6
"El Salvador","2020-04-14",149,6
"El Salvador","2020-04-15",159,6
"El Salvador","2020-04-16",159,6
"El Salvador","2020-04-17",164,6
"El Salvador","2020-04-18",177,7
"El Salvador","2020-04-19",190,7
"El Salvador","2020-04-20",201,7
"El Salvador","2020-04-21",218,7
"El Salvador","2020-04-22",225,7
"El Salvador","2020-04-23",237,8
"El Salvador","2020-04-24",250,8
"El Salvador","2020-04-25",261,8
"El Salvador","2020-04-26",298,8
"El Salvador","2020-04-27",298,8
"El Salvador","2020-04-28",323,8
"El Salvador","2020-04-29",345,9
"El Salvador","2020-04-30",377,9
"El Salvador","2020-05-01",424,10
"El Salvador","2020-05-02",446,10
"El Salvador","2020-05-03",446,11
"El Salvador","2020-05-04",555,12
"El Salvador","2020-05-05",587,13
"El Salvador","2020-05-06",587,14
"El Salvador","2020-05-07",695,15
"El Salvador","2020-05-08",695,15
"El Salvador","2020-05-09",784,16
"El Salvador","2020-05-10",889,17
"El Salvador","2020-05-11",958,17
"El Salvador","2020-05-12",998,18
"El Salvador","2020-05-13",1037,20
"El Salvador","2020-05-14",1112,20
"El Salvador","2020-05-15",1210,23
"El Salvador","2020-05-16",1265,25
"El Salvador","2020-05-17",1265,26
"El Salvador","2020-05-18",1338,30
"El Salvador","2020-05-19",1413,30
"El Salvador","2020-05-20",1498,31
"El Salvador","2020-05-21",1571,32
"El Salvador","2020-05-22",1640,33
"El Salvador","2020-05-23",1725,33
"El Salvador","2020-05-24",1819,35
"El Salvador","2020-05-25",1915,35
"El Salvador","2020-05-26",1983,36
"El Salvador","2020-05-27",2042,36
"El Salvador","2020-05-28",2109,39
"El Salvador","2020-05-29",2194,39
"El Salvador","2020-05-30",2278,43
"El Salvador","2020-05-31",2517,46
"El Salvador","2020-06-01",2517,46
"El Salvador","2020-06-02",2582,46
"El Salvador","2020-06-03",2653,49
"El Salvador","2020-06-04",2705,51
"El Salvador","2020-06-05",2781,52
"El Salvador","2020-06-06",2849,53
"El Salvador","2020-06-07",2934,53
"El Salvador","2020-06-08",3015,55
"El Salvador","2020-06-09",3104,58
"El Salvador","2020-06-10",3191,60
"El Salvador","2020-06-11",3274,64
"El Salvador","2020-06-12",3481,68
"El Salvador","2020-06-13",3481,72
"El Salvador","2020-06-14",3603,72
"El Salvador","2020-06-15",3720,74
"El Salvador","2020-06-16",3826,76
"El Salvador","2020-06-17",3941,78
"El Salvador","2020-06-18",4066,82
"El Salvador","2020-06-19",4200,86
"El Salvador","2020-06-20",4329,93
"El Salvador","2020-06-21",4626,98
"El Salvador","2020-06-22",4626,107
"El Salvador","2020-06-23",4808,107
"El Salvador","2020-06-24",4973,113
