"location","date","total_cases","total_deaths"
"Honduras","2020-03-12",2,0
"Honduras","2020-03-14",3,0
"Honduras","2020-03-16",6,0
"Honduras","2020-03-17",8,0
"Honduras","2020-03-18",9,0
"Honduras","2020-03-19",12,0
"Honduras","2020-03-20",24,0
"Honduras","2020-03-21",24,0
"Honduras","2020-03-22",26,0
"Honduras","2020-03-23",27,0
"Honduras","2020-03-24",30,0
"Honduras","2020-03-25",36,0
"Honduras","2020-03-26",52,0
"Honduras","2020-03-27",67,1
"Honduras","2020-03-28",95,1
"Honduras","2020-03-29",110,2
"Honduras","2020-03-30",139,3
"Honduras","2020-03-31",141,7
"Honduras","2020-04-01",172,10
"Honduras","2020-04-02",219,14
"Honduras","2020-04-03",222,15
"Honduras","2020-04-04",264,15
"Honduras","2020-04-05",268,22
"Honduras","2020-04-06",298,22
"Honduras","2020-04-07",305,22
"Honduras","2020-04-08",312,22
"Honduras","2020-04-09",343,23
"Honduras","2020-04-10",382,23
"Honduras","2020-04-11",392,24
"Honduras","2020-04-12",393,25
"Honduras","2020-04-13",397,25
"Honduras","2020-04-14",407,26
"Honduras","2020-04-15",419,31
"Honduras","2020-04-16",426,35
"Honduras","2020-04-17",442,41
"Honduras","2020-04-18",457,46
"Honduras","2020-04-19",472,46
"Honduras","2020-04-20",477,46
"Honduras","2020-04-21",494,46
"Honduras","2020-04-22",510,46
"Honduras","2020-04-23",519,47
"Honduras","2020-04-24",519,47
"Honduras","2020-04-25",591,47
"Honduras","2020-04-26",627,59
"Honduras","2020-04-27",661,61
"Honduras","2020-04-28",693,61
"Honduras","2020-04-29",738,66
"Honduras","2020-04-30",771,71
"Honduras","2020-05-01",804,75
"Honduras","2020-05-02",899,75
"Honduras","2020-05-03",1010,76
"Honduras","2020-05-04",1055,82
"Honduras","2020-05-05",1178,82
"Honduras","2020-05-06",1270,93
"Honduras","2020-05-07",1461,99
"Honduras","2020-05-08",1685,105
"Honduras","2020-05-09",1771,107
"Honduras","2020-05-10",1830,108
"Honduras","2020-05-11",1972,108
"Honduras","2020-05-12",2006,116
"Honduras","2020-05-13",2080,121
"Honduras","2020-05-14",2255,123
"Honduras","2020-05-15",2318,133
"Honduras","2020-05-16",2460,134
"Honduras","2020-05-17",2565,138
"Honduras","2020-05-18",2646,142
"Honduras","2020-05-19",2798,146
"Honduras","2020-05-20",2955,147
"Honduras","2020-05-21",3100,151
"Honduras","2020-05-22",3204,156
"Honduras","2020-05-23",3477,167
"Honduras","2020-05-24",3743,174
"Honduras","2020-05-25",3950,180
"Honduras","2020-05-26",4189,182
"Honduras","2020-05-27",4401,188
"Honduras","2020-05-28",4640,194
"Honduras","2020-05-29",4752,196
"Honduras","2020-05-30",4886,199
"Honduras","2020-05-31",5094,201
"Honduras","2020-06-01",5202,212
"Honduras","2020-06-02",5362,217
"Honduras","2020-06-03",5527,225
"Honduras","2020-06-04",5690,234
"Honduras","2020-06-05",5880,243
"Honduras","2020-06-06",5971,248
"Honduras","2020-06-07",6155,250
"Honduras","2020-06-08",6327,258
"Honduras","2020-06-09",6450,262
"Honduras","2020-06-10",6935,271
"Honduras","2020-06-11",7360,290
"Honduras","2020-06-12",7669,294
"Honduras","2020-06-13",8132,306
"Honduras","2020-06-14",8455,310
"Honduras","2020-06-15",8858,312
"Honduras","2020-06-16",9178,322
"Honduras","2020-06-17",9656,330
"Honduras","2020-06-18",10299,336
"Honduras","2020-06-19",10739,343
"Honduras","2020-06-20",11258,349
"Honduras","2020-06-21",12250,358
"Honduras","2020-06-22",12769,363
"Honduras","2020-06-23",13356,395
"Honduras","2020-06-24",13943,405
