"location","date","total_cases","total_deaths"
"Mauritania","2020-03-15",1,0
"Mauritania","2020-03-16",1,0
"Mauritania","2020-03-17",1,0
"Mauritania","2020-03-18",1,0
"Mauritania","2020-03-19",1,0
"Mauritania","2020-03-20",2,0
"Mauritania","2020-03-21",2,0
"Mauritania","2020-03-22",2,0
"Mauritania","2020-03-23",2,0
"Mauritania","2020-03-24",2,0
"Mauritania","2020-03-25",2,0
"Mauritania","2020-03-26",2,0
"Mauritania","2020-03-27",3,0
"Mauritania","2020-03-28",3,0
"Mauritania","2020-03-29",5,0
"Mauritania","2020-03-30",5,0
"Mauritania","2020-03-31",5,0
"Mauritania","2020-04-01",5,0
"Mauritania","2020-04-02",5,0
"Mauritania","2020-04-03",6,1
"Mauritania","2020-04-04",6,1
"Mauritania","2020-04-05",6,1
"Mauritania","2020-04-06",6,1
"Mauritania","2020-04-07",6,1
"Mauritania","2020-04-08",6,1
"Mauritania","2020-04-09",6,1
"Mauritania","2020-04-10",7,1
"Mauritania","2020-04-11",7,1
"Mauritania","2020-04-12",7,1
"Mauritania","2020-04-13",7,1
"Mauritania","2020-04-14",7,1
"Mauritania","2020-04-15",7,1
"Mauritania","2020-04-16",7,1
"Mauritania","2020-04-17",7,1
"Mauritania","2020-04-18",7,1
"Mauritania","2020-04-19",7,1
"Mauritania","2020-04-20",7,1
"Mauritania","2020-04-21",7,1
"Mauritania","2020-04-22",7,1
"Mauritania","2020-04-23",7,1
"Mauritania","2020-04-24",7,1
"Mauritania","2020-04-25",7,1
"Mauritania","2020-04-26",7,1
"Mauritania","2020-04-27",7,1
"Mauritania","2020-04-28",7,1
"Mauritania","2020-04-29",7,1
"Mauritania","2020-04-30",7,1
"Mauritania","2020-05-01",8,1
"Mauritania","2020-05-02",8,1
"Mauritania","2020-05-03",8,1
"Mauritania","2020-05-04",8,1
"Mauritania","2020-05-05",8,1
"Mauritania","2020-05-06",8,1
"Mauritania","2020-05-07",8,1
"Mauritania","2020-05-08",8,1
"Mauritania","2020-05-09",8,1
"Mauritania","2020-05-10",8,1
"Mauritania","2020-05-11",8,1
"Mauritania","2020-05-12",8,1
"Mauritania","2020-05-13",8,1
"Mauritania","2020-05-14",9,2
"Mauritania","2020-05-15",16,2
"Mauritania","2020-05-16",29,3
"Mauritania","2020-05-17",29,3
"Mauritania","2020-05-18",62,4
"Mauritania","2020-05-19",81,4
"Mauritania","2020-05-20",81,4
"Mauritania","2020-05-21",131,4
"Mauritania","2020-05-22",173,5
"Mauritania","2020-05-23",173,5
"Mauritania","2020-05-24",227,6
"Mauritania","2020-05-25",237,6
"Mauritania","2020-05-26",237,6
"Mauritania","2020-05-27",262,9
"Mauritania","2020-05-28",292,16
"Mauritania","2020-05-29",292,16
"Mauritania","2020-05-30",423,20
"Mauritania","2020-05-31",483,21
"Mauritania","2020-06-01",530,23
"Mauritania","2020-06-02",530,23
"Mauritania","2020-06-03",668,31
"Mauritania","2020-06-04",668,31
"Mauritania","2020-06-05",784,39
"Mauritania","2020-06-06",883,43
"Mauritania","2020-06-07",947,43
"Mauritania","2020-06-08",947,43
"Mauritania","2020-06-09",947,43
"Mauritania","2020-06-10",1162,61
"Mauritania","2020-06-11",1162,61
"Mauritania","2020-06-12",1162,61
"Mauritania","2020-06-13",1439,74
"Mauritania","2020-06-14",1439,74
"Mauritania","2020-06-15",1783,87
"Mauritania","2020-06-16",1887,91
"Mauritania","2020-06-17",2057,93
"Mauritania","2020-06-18",2057,93
"Mauritania","2020-06-19",2223,95
"Mauritania","2020-06-20",2223,95
"Mauritania","2020-06-21",2813,108
"Mauritania","2020-06-22",2813,108
"Mauritania","2020-06-23",2984,111
"Mauritania","2020-06-24",2984,111
