"location","date","total_cases","total_deaths"
"Moldova","2020-03-08",1,0
"Moldova","2020-03-11",3,0
"Moldova","2020-03-12",4,0
"Moldova","2020-03-13",6,0
"Moldova","2020-03-14",8,0
"Moldova","2020-03-15",20,0
"Moldova","2020-03-16",23,0
"Moldova","2020-03-17",29,0
"Moldova","2020-03-18",30,0
"Moldova","2020-03-19",36,1
"Moldova","2020-03-20",49,1
"Moldova","2020-03-21",66,1
"Moldova","2020-03-22",80,1
"Moldova","2020-03-23",94,1
"Moldova","2020-03-24",109,1
"Moldova","2020-03-25",125,1
"Moldova","2020-03-26",149,1
"Moldova","2020-03-27",177,1
"Moldova","2020-03-28",199,2
"Moldova","2020-03-29",231,2
"Moldova","2020-03-30",263,2
"Moldova","2020-03-31",298,2
"Moldova","2020-04-01",353,4
"Moldova","2020-04-02",423,5
"Moldova","2020-04-03",505,6
"Moldova","2020-04-04",591,8
"Moldova","2020-04-05",752,12
"Moldova","2020-04-06",864,15
"Moldova","2020-04-07",965,19
"Moldova","2020-04-08",1056,22
"Moldova","2020-04-09",1174,27
"Moldova","2020-04-10",1289,29
"Moldova","2020-04-11",1438,29
"Moldova","2020-04-12",1560,30
"Moldova","2020-04-13",1662,32
"Moldova","2020-04-14",1712,36
"Moldova","2020-04-15",1934,40
"Moldova","2020-04-16",2049,46
"Moldova","2020-04-17",2154,54
"Moldova","2020-04-18",2264,56
"Moldova","2020-04-19",2351,60
"Moldova","2020-04-20",2472,67
"Moldova","2020-04-21",2548,70
"Moldova","2020-04-22",2614,73
"Moldova","2020-04-23",2778,76
"Moldova","2020-04-24",2926,80
"Moldova","2020-04-25",3110,87
"Moldova","2020-04-26",3304,94
"Moldova","2020-04-27",3408,96
"Moldova","2020-04-28",3481,102
"Moldova","2020-04-29",3638,107
"Moldova","2020-04-30",3771,111
"Moldova","2020-05-01",3897,119
"Moldova","2020-05-02",3980,122
"Moldova","2020-05-03",4052,124
"Moldova","2020-05-04",4121,125
"Moldova","2020-05-05",4248,132
"Moldova","2020-05-06",4363,136
"Moldova","2020-05-07",4476,143
"Moldova","2020-05-08",4605,145
"Moldova","2020-05-09",4728,152
"Moldova","2020-05-10",4867,161
"Moldova","2020-05-11",4927,169
"Moldova","2020-05-12",4995,175
"Moldova","2020-05-13",5154,182
"Moldova","2020-05-14",5406,185
"Moldova","2020-05-15",5553,194
"Moldova","2020-05-16",5745,197
"Moldova","2020-05-17",5934,207
"Moldova","2020-05-18",6060,211
"Moldova","2020-05-19",6138,215
"Moldova","2020-05-20",6340,221
"Moldova","2020-05-21",6553,228
"Moldova","2020-05-22",6704,233
"Moldova","2020-05-23",6847,237
"Moldova","2020-05-24",6994,242
"Moldova","2020-05-25",7093,250
"Moldova","2020-05-26",7147,261
"Moldova","2020-05-27",7305,267
"Moldova","2020-05-28",7537,274
"Moldova","2020-05-29",7725,282
"Moldova","2020-05-30",7896,288
"Moldova","2020-05-31",8098,291
"Moldova","2020-06-01",8251,295
"Moldova","2020-06-02",8360,307
"Moldova","2020-06-03",8548,307
"Moldova","2020-06-04",8795,310
"Moldova","2020-06-05",9018,315
"Moldova","2020-06-06",9247,323
"Moldova","2020-06-07",9511,331
"Moldova","2020-06-08",9700,341
"Moldova","2020-06-09",9807,353
"Moldova","2020-06-10",10025,365
"Moldova","2020-06-11",10321,371
"Moldova","2020-06-12",10727,375
"Moldova","2020-06-13",11093,385
"Moldova","2020-06-14",11459,398
"Moldova","2020-06-15",11740,406
"Moldova","2020-06-16",11879,411
"Moldova","2020-06-17",12254,423
"Moldova","2020-06-18",12732,433
"Moldova","2020-06-19",13106,444
"Moldova","2020-06-20",13556,450
"Moldova","2020-06-21",13953,464
"Moldova","2020-06-22",14200,473
"Moldova","2020-06-23",14363,480
"Moldova","2020-06-24",14714,490
"Moldova","2020-06-25",15078,495
"Moldova","2020-06-26",15453,502
"Moldova","2020-06-27",15776,515
"Moldova","2020-06-28",16080,521
"Moldova","2020-06-29",16250,530
"Moldova","2020-06-30",16357,536
"Moldova","2020-07-01",16613,545
"Moldova","2020-07-02",16898,549
"Moldova","2020-07-03",17150,560
"Moldova","2020-07-04",17445,572
"Moldova","2020-07-05",17672,580
