"location","date","total_cases","total_deaths"
"Morocco","2020-02-07",NA,NA
"Morocco","2020-02-08",NA,NA
"Morocco","2020-02-09",NA,NA
"Morocco","2020-02-10",NA,NA
"Morocco","2020-02-11",NA,NA
"Morocco","2020-02-12",NA,NA
"Morocco","2020-02-13",NA,NA
"Morocco","2020-02-14",NA,NA
"Morocco","2020-02-15",NA,NA
"Morocco","2020-02-16",NA,NA
"Morocco","2020-02-17",NA,NA
"Morocco","2020-02-18",NA,NA
"Morocco","2020-02-19",NA,NA
"Morocco","2020-02-20",NA,NA
"Morocco","2020-02-21",NA,NA
"Morocco","2020-02-22",NA,NA
"Morocco","2020-02-23",NA,NA
"Morocco","2020-02-24",NA,NA
"Morocco","2020-02-25",NA,NA
"Morocco","2020-02-26",NA,NA
"Morocco","2020-02-27",NA,NA
"Morocco","2020-02-28",NA,NA
"Morocco","2020-02-29",NA,NA
"Morocco","2020-03-01",NA,NA
"Morocco","2020-03-02",NA,NA
"Morocco","2020-03-03",1,0
"Morocco","2020-03-04",NA,NA
"Morocco","2020-03-05",NA,NA
"Morocco","2020-03-06",2,0
"Morocco","2020-03-07",NA,NA
"Morocco","2020-03-08",NA,NA
"Morocco","2020-03-09",NA,NA
"Morocco","2020-03-10",NA,NA
"Morocco","2020-03-11",NA,NA
"Morocco","2020-03-12",5,1
"Morocco","2020-03-13",6,1
"Morocco","2020-03-14",7,1
"Morocco","2020-03-15",18,1
"Morocco","2020-03-16",28,1
"Morocco","2020-03-17",37,1
"Morocco","2020-03-18",44,2
"Morocco","2020-03-19",54,2
"Morocco","2020-03-20",63,2
"Morocco","2020-03-21",86,3
"Morocco","2020-03-22",96,3
"Morocco","2020-03-23",115,4
"Morocco","2020-03-24",134,4
"Morocco","2020-03-25",170,5
"Morocco","2020-03-26",225,6
"Morocco","2020-03-27",275,10
"Morocco","2020-03-28",345,23
"Morocco","2020-03-29",358,23
"Morocco","2020-03-30",479,26
"Morocco","2020-03-31",556,33
"Morocco","2020-04-01",617,36
"Morocco","2020-04-02",654,39
"Morocco","2020-04-03",708,44
"Morocco","2020-04-04",708,44
"Morocco","2020-04-05",919,59
"Morocco","2020-04-06",1021,70
"Morocco","2020-04-07",1120,80
"Morocco","2020-04-08",1184,90
"Morocco","2020-04-09",1275,93
"Morocco","2020-04-10",1374,97
"Morocco","2020-04-11",1448,107
"Morocco","2020-04-12",1545,111
"Morocco","2020-04-13",1661,118
"Morocco","2020-04-14",1763,126
"Morocco","2020-04-15",1888,126
"Morocco","2020-04-16",2024,127
"Morocco","2020-04-17",2283,130
"Morocco","2020-04-18",2564,135
"Morocco","2020-04-19",2685,137
"Morocco","2020-04-20",2855,141
"Morocco","2020-04-21",3046,143
"Morocco","2020-04-22",3209,145
"Morocco","2020-04-23",3377,149
"Morocco","2020-04-24",3568,155
"Morocco","2020-04-25",3758,158
"Morocco","2020-04-26",3897,159
"Morocco","2020-04-27",4065,161
"Morocco","2020-04-28",4120,162
"Morocco","2020-04-29",4252,165
"Morocco","2020-04-30",4321,168
"Morocco","2020-05-01",4423,170
"Morocco","2020-05-02",4569,171
"Morocco","2020-05-03",4729,173
"Morocco","2020-05-04",4903,174
"Morocco","2020-05-05",5043,179
"Morocco","2020-05-06",5219,181
"Morocco","2020-05-07",5408,183
"Morocco","2020-05-08",5548,183
"Morocco","2020-05-09",5711,186
"Morocco","2020-05-10",5910,186
"Morocco","2020-05-11",6063,188
"Morocco","2020-05-12",6281,188
"Morocco","2020-05-13",6418,188
"Morocco","2020-05-14",6512,188
"Morocco","2020-05-15",6607,190
"Morocco","2020-05-16",6652,190
"Morocco","2020-05-17",6741,192
"Morocco","2020-05-18",6870,192
"Morocco","2020-05-19",6952,192
"Morocco","2020-05-20",7023,193
"Morocco","2020-05-21",7133,194
"Morocco","2020-05-22",7211,196
"Morocco","2020-05-23",7332,197
"Morocco","2020-05-24",7406,198
"Morocco","2020-05-25",7433,199
"Morocco","2020-05-26",7532,200
"Morocco","2020-05-27",7577,202
"Morocco","2020-05-28",7601,202
"Morocco","2020-05-29",7643,202
"Morocco","2020-05-30",7714,202
"Morocco","2020-05-31",7780,204
"Morocco","2020-06-01",7807,205
"Morocco","2020-06-02",7833,205
"Morocco","2020-06-03",7866,206
"Morocco","2020-06-04",7922,206
"Morocco","2020-06-05",8003,208
"Morocco","2020-06-06",8071,208
"Morocco","2020-06-07",8132,208
"Morocco","2020-06-08",8224,208
"Morocco","2020-06-09",8302,208
"Morocco","2020-06-10",8437,210
"Morocco","2020-06-11",8455,210
"Morocco","2020-06-12",8537,211
"Morocco","2020-06-13",8610,212
"Morocco","2020-06-14",8692,212
"Morocco","2020-06-15",8734,212
"Morocco","2020-06-16",8838,212
"Morocco","2020-06-17",8921,212
"Morocco","2020-06-18",8997,213
"Morocco","2020-06-19",9074,213
"Morocco","2020-06-20",9613,213
"Morocco","2020-06-21",9801,213
"Morocco","2020-06-22",9977,214
"Morocco","2020-06-23",10172,214
"Morocco","2020-06-24",10264,214
