"location","date","total_cases","total_deaths"
"Myanmar","2020-03-17",0,0
"Myanmar","2020-03-24",2,0
"Myanmar","2020-03-25",3,0
"Myanmar","2020-03-26",3,0
"Myanmar","2020-03-27",5,0
"Myanmar","2020-03-28",5,0
"Myanmar","2020-03-29",8,0
"Myanmar","2020-03-30",8,0
"Myanmar","2020-03-31",14,0
"Myanmar","2020-04-01",15,1
"Myanmar","2020-04-02",16,1
"Myanmar","2020-04-03",20,1
"Myanmar","2020-04-04",20,1
"Myanmar","2020-04-05",21,1
"Myanmar","2020-04-06",21,1
"Myanmar","2020-04-07",22,1
"Myanmar","2020-04-08",22,1
"Myanmar","2020-04-09",22,3
"Myanmar","2020-04-10",27,3
"Myanmar","2020-04-11",28,3
"Myanmar","2020-04-12",31,3
"Myanmar","2020-04-13",41,4
"Myanmar","2020-04-14",62,4
"Myanmar","2020-04-15",74,4
"Myanmar","2020-04-16",74,4
"Myanmar","2020-04-17",85,4
"Myanmar","2020-04-18",94,5
"Myanmar","2020-04-19",107,5
"Myanmar","2020-04-20",111,5
"Myanmar","2020-04-21",119,5
"Myanmar","2020-04-22",121,5
"Myanmar","2020-04-23",127,5
"Myanmar","2020-04-24",132,5
"Myanmar","2020-04-25",144,5
"Myanmar","2020-04-26",146,5
"Myanmar","2020-04-27",146,5
"Myanmar","2020-04-28",146,5
"Myanmar","2020-04-29",150,5
"Myanmar","2020-04-30",150,6
"Myanmar","2020-05-01",151,6
"Myanmar","2020-05-02",151,6
"Myanmar","2020-05-03",151,6
"Myanmar","2020-05-04",155,6
"Myanmar","2020-05-05",161,6
"Myanmar","2020-05-06",161,6
"Myanmar","2020-05-07",162,6
"Myanmar","2020-05-08",176,6
"Myanmar","2020-05-09",177,6
"Myanmar","2020-05-10",178,6
"Myanmar","2020-05-11",180,6
"Myanmar","2020-05-12",180,6
"Myanmar","2020-05-13",180,6
"Myanmar","2020-05-14",181,6
"Myanmar","2020-05-15",181,6
"Myanmar","2020-05-16",182,6
"Myanmar","2020-05-17",182,6
"Myanmar","2020-05-18",187,6
"Myanmar","2020-05-19",191,6
"Myanmar","2020-05-20",193,6
"Myanmar","2020-05-21",199,6
"Myanmar","2020-05-22",199,6
"Myanmar","2020-05-23",201,6
"Myanmar","2020-05-24",201,6
"Myanmar","2020-05-25",201,6
"Myanmar","2020-05-26",203,6
"Myanmar","2020-05-27",206,6
"Myanmar","2020-05-28",206,6
"Myanmar","2020-05-29",206,6
"Myanmar","2020-05-30",224,6
"Myanmar","2020-05-31",224,6
"Myanmar","2020-06-01",228,6
"Myanmar","2020-06-02",228,6
"Myanmar","2020-06-03",233,6
"Myanmar","2020-06-04",234,6
"Myanmar","2020-06-05",236,6
"Myanmar","2020-06-06",236,6
"Myanmar","2020-06-07",240,6
"Myanmar","2020-06-08",243,6
"Myanmar","2020-06-09",244,6
"Myanmar","2020-06-10",246,6
"Myanmar","2020-06-11",249,6
"Myanmar","2020-06-12",261,6
"Myanmar","2020-06-13",261,6
"Myanmar","2020-06-14",261,6
"Myanmar","2020-06-15",262,6
"Myanmar","2020-06-16",262,6
"Myanmar","2020-06-17",262,6
"Myanmar","2020-06-18",263,6
"Myanmar","2020-06-19",286,6
"Myanmar","2020-06-20",286,6
"Myanmar","2020-06-21",287,6
"Myanmar","2020-06-22",290,6
"Myanmar","2020-06-23",291,6
"Myanmar","2020-06-24",292,6
"Myanmar","2020-06-25",293,6
"Myanmar","2020-06-26",293,6
"Myanmar","2020-06-27",293,6
"Myanmar","2020-06-28",296,6
"Myanmar","2020-06-29",299,6
"Myanmar","2020-06-30",299,6
"Myanmar","2020-07-01",299,6
"Myanmar","2020-07-02",304,6
"Myanmar","2020-07-03",304,6
"Myanmar","2020-07-04",306,6
"Myanmar","2020-07-05",313,6
