"location","date","total_cases","total_deaths"
"Nicaragua","2020-03-19",1,0
"Nicaragua","2020-03-20",1,0
"Nicaragua","2020-03-21",2,0
"Nicaragua","2020-03-22",2,0
"Nicaragua","2020-03-23",2,0
"Nicaragua","2020-03-24",2,0
"Nicaragua","2020-03-25",2,0
"Nicaragua","2020-03-26",2,0
"Nicaragua","2020-03-27",2,0
"Nicaragua","2020-03-28",2,1
"Nicaragua","2020-03-29",4,1
"Nicaragua","2020-03-30",4,1
"Nicaragua","2020-03-31",4,1
"Nicaragua","2020-04-01",4,1
"Nicaragua","2020-04-02",5,1
"Nicaragua","2020-04-03",5,1
"Nicaragua","2020-04-04",5,1
"Nicaragua","2020-04-05",5,1
"Nicaragua","2020-04-06",5,1
"Nicaragua","2020-04-07",6,1
"Nicaragua","2020-04-08",6,1
"Nicaragua","2020-04-09",6,1
"Nicaragua","2020-04-10",6,1
"Nicaragua","2020-04-11",7,1
"Nicaragua","2020-04-12",7,1
"Nicaragua","2020-04-13",9,1
"Nicaragua","2020-04-14",9,1
"Nicaragua","2020-04-15",9,1
"Nicaragua","2020-04-16",9,1
"Nicaragua","2020-04-17",9,1
"Nicaragua","2020-04-18",9,1
"Nicaragua","2020-04-19",9,1
"Nicaragua","2020-04-20",9,1
"Nicaragua","2020-04-21",9,2
"Nicaragua","2020-04-22",10,2
"Nicaragua","2020-04-23",10,2
"Nicaragua","2020-04-24",10,2
"Nicaragua","2020-04-25",11,3
"Nicaragua","2020-04-26",12,3
"Nicaragua","2020-04-27",13,3
"Nicaragua","2020-04-28",13,3
"Nicaragua","2020-04-29",13,3
"Nicaragua","2020-04-30",14,4
"Nicaragua","2020-05-01",14,4
"Nicaragua","2020-05-02",14,4
"Nicaragua","2020-05-03",14,4
"Nicaragua","2020-05-04",14,5
"Nicaragua","2020-05-05",15,5
"Nicaragua","2020-05-06",16,5
"Nicaragua","2020-05-07",16,5
"Nicaragua","2020-05-08",16,5
"Nicaragua","2020-05-09",16,5
"Nicaragua","2020-05-10",16,5
"Nicaragua","2020-05-11",16,5
"Nicaragua","2020-05-12",16,5
"Nicaragua","2020-05-13",25,8
"Nicaragua","2020-05-14",25,8
"Nicaragua","2020-05-15",25,8
"Nicaragua","2020-05-16",25,8
"Nicaragua","2020-05-17",25,8
"Nicaragua","2020-05-18",25,8
"Nicaragua","2020-05-19",25,8
"Nicaragua","2020-05-20",25,8
"Nicaragua","2020-05-21",25,8
"Nicaragua","2020-05-22",25,8
"Nicaragua","2020-05-23",279,17
"Nicaragua","2020-05-24",279,17
"Nicaragua","2020-05-25",279,17
"Nicaragua","2020-05-26",279,17
"Nicaragua","2020-05-27",759,35
"Nicaragua","2020-05-28",759,35
"Nicaragua","2020-05-29",759,35
"Nicaragua","2020-05-30",759,35
"Nicaragua","2020-05-31",759,35
"Nicaragua","2020-06-01",759,35
"Nicaragua","2020-06-02",759,35
"Nicaragua","2020-06-03",1118,46
"Nicaragua","2020-06-04",1118,46
"Nicaragua","2020-06-05",1118,46
"Nicaragua","2020-06-06",1118,46
"Nicaragua","2020-06-07",1309,46
"Nicaragua","2020-06-08",1309,46
"Nicaragua","2020-06-09",1309,46
"Nicaragua","2020-06-10",1309,46
"Nicaragua","2020-06-11",1464,55
"Nicaragua","2020-06-12",1464,55
"Nicaragua","2020-06-13",1655,55
"Nicaragua","2020-06-14",1655,55
"Nicaragua","2020-06-15",1655,55
"Nicaragua","2020-06-16",1655,55
"Nicaragua","2020-06-17",1823,64
"Nicaragua","2020-06-18",2014,64
"Nicaragua","2020-06-19",2014,64
"Nicaragua","2020-06-20",2014,64
"Nicaragua","2020-06-21",2014,64
"Nicaragua","2020-06-22",2014,64
"Nicaragua","2020-06-23",2014,64
"Nicaragua","2020-06-24",2170,74
"Nicaragua","2020-06-25",2170,74
"Nicaragua","2020-06-26",2170,74
"Nicaragua","2020-06-27",2170,74
"Nicaragua","2020-06-28",2170,74
"Nicaragua","2020-06-29",2170,74
"Nicaragua","2020-06-30",2170,74
"Nicaragua","2020-07-01",2519,83
"Nicaragua","2020-07-02",2519,83
"Nicaragua","2020-07-03",2519,83
"Nicaragua","2020-07-04",2519,83
"Nicaragua","2020-07-05",2519,83
