"location","date","total_cases","total_deaths"
"Nigeria","2019-12-31",0,0
"Nigeria","2020-01-01",0,0
"Nigeria","2020-01-02",0,0
"Nigeria","2020-01-03",0,0
"Nigeria","2020-01-04",0,0
"Nigeria","2020-01-05",0,0
"Nigeria","2020-01-06",0,0
"Nigeria","2020-01-07",0,0
"Nigeria","2020-01-08",0,0
"Nigeria","2020-01-09",0,0
"Nigeria","2020-01-10",0,0
"Nigeria","2020-01-11",0,0
"Nigeria","2020-01-12",0,0
"Nigeria","2020-01-13",0,0
"Nigeria","2020-01-14",0,0
"Nigeria","2020-01-15",0,0
"Nigeria","2020-01-16",0,0
"Nigeria","2020-01-17",0,0
"Nigeria","2020-01-18",0,0
"Nigeria","2020-01-19",0,0
"Nigeria","2020-01-20",0,0
"Nigeria","2020-01-21",0,0
"Nigeria","2020-01-22",0,0
"Nigeria","2020-01-23",0,0
"Nigeria","2020-01-24",0,0
"Nigeria","2020-01-25",0,0
"Nigeria","2020-01-26",0,0
"Nigeria","2020-01-27",0,0
"Nigeria","2020-01-28",0,0
"Nigeria","2020-01-29",0,0
"Nigeria","2020-01-30",0,0
"Nigeria","2020-01-31",0,0
"Nigeria","2020-02-01",0,0
"Nigeria","2020-02-02",0,0
"Nigeria","2020-02-03",0,0
"Nigeria","2020-02-04",0,0
"Nigeria","2020-02-05",0,0
"Nigeria","2020-02-06",0,0
"Nigeria","2020-02-07",0,0
"Nigeria","2020-02-08",0,0
"Nigeria","2020-02-09",0,0
"Nigeria","2020-02-10",0,0
"Nigeria","2020-02-11",0,0
"Nigeria","2020-02-12",0,0
"Nigeria","2020-02-13",0,0
"Nigeria","2020-02-14",0,0
"Nigeria","2020-02-15",0,0
"Nigeria","2020-02-16",0,0
"Nigeria","2020-02-17",0,0
"Nigeria","2020-02-18",0,0
"Nigeria","2020-02-19",0,0
"Nigeria","2020-02-20",0,0
"Nigeria","2020-02-21",0,0
"Nigeria","2020-02-22",0,0
"Nigeria","2020-02-23",0,0
"Nigeria","2020-02-24",0,0
"Nigeria","2020-02-25",0,0
"Nigeria","2020-02-26",0,0
"Nigeria","2020-02-27",0,0
"Nigeria","2020-02-28",1,0
"Nigeria","2020-02-29",1,0
"Nigeria","2020-03-01",1,0
"Nigeria","2020-03-02",1,0
"Nigeria","2020-03-10",2,0
"Nigeria","2020-03-15",2,0
"Nigeria","2020-03-16",2,0
"Nigeria","2020-03-17",2,0
"Nigeria","2020-03-18",3,0
"Nigeria","2020-03-19",8,0
"Nigeria","2020-03-20",8,0
"Nigeria","2020-03-21",12,0
"Nigeria","2020-03-22",22,0
"Nigeria","2020-03-23",30,0
"Nigeria","2020-03-24",40,1
"Nigeria","2020-03-25",44,1
"Nigeria","2020-03-26",51,1
"Nigeria","2020-03-27",65,1
"Nigeria","2020-03-28",81,1
"Nigeria","2020-03-29",97,1
"Nigeria","2020-03-30",97,1
"Nigeria","2020-03-31",131,2
"Nigeria","2020-04-01",131,2
"Nigeria","2020-04-02",151,2
"Nigeria","2020-04-03",174,2
"Nigeria","2020-04-04",190,2
"Nigeria","2020-04-05",210,4
"Nigeria","2020-04-06",232,5
"Nigeria","2020-04-07",238,5
"Nigeria","2020-04-08",254,6
"Nigeria","2020-04-09",276,6
"Nigeria","2020-04-10",288,7
"Nigeria","2020-04-11",305,7
"Nigeria","2020-04-12",318,10
"Nigeria","2020-04-13",323,10
"Nigeria","2020-04-14",343,10
"Nigeria","2020-04-15",373,11
"Nigeria","2020-04-16",407,12
"Nigeria","2020-04-17",442,13
"Nigeria","2020-04-18",493,17
"Nigeria","2020-04-19",542,19
"Nigeria","2020-04-20",627,21
"Nigeria","2020-04-21",665,22
"Nigeria","2020-04-22",782,25
"Nigeria","2020-04-23",873,28
"Nigeria","2020-04-24",981,31
"Nigeria","2020-04-25",1095,32
"Nigeria","2020-04-26",1182,35
"Nigeria","2020-04-27",1273,40
"Nigeria","2020-04-28",1337,40
"Nigeria","2020-04-29",1532,44
"Nigeria","2020-04-30",1728,51
"Nigeria","2020-05-01",1932,58
"Nigeria","2020-05-02",2170,68
"Nigeria","2020-05-03",2388,85
"Nigeria","2020-05-04",2558,87
"Nigeria","2020-05-05",2802,93
"Nigeria","2020-05-06",2950,98
"Nigeria","2020-05-07",3145,103
"Nigeria","2020-05-08",3526,107
"Nigeria","2020-05-09",3912,117
"Nigeria","2020-05-10",4151,128
"Nigeria","2020-05-11",4399,143
"Nigeria","2020-05-12",4641,150
"Nigeria","2020-05-13",4787,158
"Nigeria","2020-05-14",4971,164
"Nigeria","2020-05-15",5162,167
"Nigeria","2020-05-16",5445,171
"Nigeria","2020-05-17",5621,176
"Nigeria","2020-05-18",5959,182
"Nigeria","2020-05-19",6175,191
"Nigeria","2020-05-20",6401,192
"Nigeria","2020-05-21",6677,200
"Nigeria","2020-05-22",7016,211
"Nigeria","2020-05-23",7261,221
"Nigeria","2020-05-24",7526,221
"Nigeria","2020-05-25",7839,226
"Nigeria","2020-05-26",8068,233
"Nigeria","2020-05-27",8344,249
"Nigeria","2020-05-28",8733,254
"Nigeria","2020-05-29",8915,259
