"location","date","total_cases","total_deaths"
"Philippines","2019-12-31",0,0
"Philippines","2020-01-01",0,0
"Philippines","2020-01-02",0,0
"Philippines","2020-01-03",0,0
"Philippines","2020-01-04",0,0
"Philippines","2020-01-05",0,0
"Philippines","2020-01-06",0,0
"Philippines","2020-01-07",0,0
"Philippines","2020-01-08",0,0
"Philippines","2020-01-09",0,0
"Philippines","2020-01-10",0,0
"Philippines","2020-01-11",0,0
"Philippines","2020-01-12",0,0
"Philippines","2020-01-13",0,0
"Philippines","2020-01-14",0,0
"Philippines","2020-01-15",0,0
"Philippines","2020-01-16",0,0
"Philippines","2020-01-17",0,0
"Philippines","2020-01-18",0,0
"Philippines","2020-01-19",0,0
"Philippines","2020-01-20",0,0
"Philippines","2020-01-21",0,0
"Philippines","2020-01-22",0,0
"Philippines","2020-01-23",0,0
"Philippines","2020-01-24",0,0
"Philippines","2020-01-25",0,0
"Philippines","2020-01-26",0,0
"Philippines","2020-01-27",0,0
"Philippines","2020-01-28",0,0
"Philippines","2020-01-29",0,0
"Philippines","2020-01-30",1,0
"Philippines","2020-01-31",1,0
"Philippines","2020-02-01",1,0
"Philippines","2020-02-02",2,1
"Philippines","2020-02-03",2,1
"Philippines","2020-02-04",2,1
"Philippines","2020-02-05",2,1
"Philippines","2020-02-06",3,1
"Philippines","2020-02-07",3,1
"Philippines","2020-02-08",3,1
"Philippines","2020-02-09",3,1
"Philippines","2020-02-10",3,1
"Philippines","2020-02-11",3,1
"Philippines","2020-02-12",3,1
"Philippines","2020-02-13",3,1
"Philippines","2020-02-14",3,1
"Philippines","2020-02-15",3,1
"Philippines","2020-02-16",3,1
"Philippines","2020-02-17",3,1
"Philippines","2020-02-18",3,1
"Philippines","2020-02-19",3,1
"Philippines","2020-02-20",3,1
"Philippines","2020-02-21",3,1
"Philippines","2020-02-22",3,1
"Philippines","2020-02-23",3,1
"Philippines","2020-02-24",3,1
"Philippines","2020-02-25",3,1
"Philippines","2020-02-26",3,1
"Philippines","2020-02-27",3,1
"Philippines","2020-02-28",3,1
"Philippines","2020-02-29",3,1
"Philippines","2020-03-01",3,1
"Philippines","2020-03-02",3,1
"Philippines","2020-03-07",5,1
"Philippines","2020-03-08",6,1
"Philippines","2020-03-09",10,1
"Philippines","2020-03-10",33,1
"Philippines","2020-03-11",33,1
"Philippines","2020-03-12",49,2
"Philippines","2020-03-13",52,2
"Philippines","2020-03-14",64,6
"Philippines","2020-03-15",111,6
"Philippines","2020-03-16",140,12
"Philippines","2020-03-17",142,12
"Philippines","2020-03-18",187,14
"Philippines","2020-03-19",202,17
"Philippines","2020-03-20",230,18
"Philippines","2020-03-21",230,18
"Philippines","2020-03-22",380,25
"Philippines","2020-03-23",380,25
"Philippines","2020-03-24",462,33
"Philippines","2020-03-25",552,35
"Philippines","2020-03-26",636,38
"Philippines","2020-03-27",707,45
"Philippines","2020-03-28",803,54
"Philippines","2020-03-29",1075,68
"Philippines","2020-03-30",1418,71
"Philippines","2020-03-31",2084,88
"Philippines","2020-04-01",2084,88
"Philippines","2020-04-02",2311,96
"Philippines","2020-04-03",2633,107
"Philippines","2020-04-04",3018,136
"Philippines","2020-04-05",3094,144
"Philippines","2020-04-06",3246,152
"Philippines","2020-04-07",3660,163
"Philippines","2020-04-08",3764,177
"Philippines","2020-04-09",3870,182
"Philippines","2020-04-10",4076,203
"Philippines","2020-04-11",4076,203
"Philippines","2020-04-12",4428,247
"Philippines","2020-04-13",4648,297
"Philippines","2020-04-14",4932,315
"Philippines","2020-04-15",5223,335
"Philippines","2020-04-16",5453,349
"Philippines","2020-04-17",5660,362
"Philippines","2020-04-18",5878,387
"Philippines","2020-04-19",6087,397
"Philippines","2020-04-20",6259,409
"Philippines","2020-04-21",6459,428
"Philippines","2020-04-22",6599,437
"Philippines","2020-04-23",6710,446
"Philippines","2020-04-24",6981,462
"Philippines","2020-04-25",7192,477
"Philippines","2020-04-26",7294,494
"Philippines","2020-04-27",7579,501
"Philippines","2020-04-28",7777,511
"Philippines","2020-04-29",7958,530
"Philippines","2020-04-30",8212,558
"Philippines","2020-05-01",8488,568
"Philippines","2020-05-02",8772,579
"Philippines","2020-05-03",8928,603
"Philippines","2020-05-04",9223,607
"Philippines","2020-05-05",9485,623
"Philippines","2020-05-06",9684,637
"Philippines","2020-05-07",10004,658
"Philippines","2020-05-08",10343,685
"Philippines","2020-05-09",10463,696
"Philippines","2020-05-10",10610,704
"Philippines","2020-05-11",10794,719
"Philippines","2020-05-12",11086,726
"Philippines","2020-05-13",11350,751
"Philippines","2020-05-14",11618,772
"Philippines","2020-05-15",11876,790
"Philippines","2020-05-16",12091,806
"Philippines","2020-05-17",12305,817
"Philippines","2020-05-18",12513,824
"Philippines","2020-05-19",12718,831
