"location","date","total_cases","total_deaths"
"Sudan","2020-03-14",1,0
"Sudan","2020-03-15",1,1
"Sudan","2020-03-16",1,1
"Sudan","2020-03-17",1,1
"Sudan","2020-03-18",1,1
"Sudan","2020-03-19",2,1
"Sudan","2020-03-20",2,1
"Sudan","2020-03-21",2,1
"Sudan","2020-03-22",2,1
"Sudan","2020-03-23",2,1
"Sudan","2020-03-24",2,1
"Sudan","2020-03-25",3,1
"Sudan","2020-03-26",3,1
"Sudan","2020-03-27",3,1
"Sudan","2020-03-28",3,1
"Sudan","2020-03-29",5,1
"Sudan","2020-03-30",5,1
"Sudan","2020-03-31",6,2
"Sudan","2020-04-01",7,2
"Sudan","2020-04-02",7,2
"Sudan","2020-04-03",7,2
"Sudan","2020-04-04",7,2
"Sudan","2020-04-05",10,2
"Sudan","2020-04-06",12,2
"Sudan","2020-04-07",12,2
"Sudan","2020-04-08",14,2
"Sudan","2020-04-09",14,2
"Sudan","2020-04-10",14,2
"Sudan","2020-04-11",15,2
"Sudan","2020-04-12",19,2
"Sudan","2020-04-13",19,2
"Sudan","2020-04-14",29,4
"Sudan","2020-04-15",32,5
"Sudan","2020-04-16",32,5
"Sudan","2020-04-17",32,5
"Sudan","2020-04-18",32,5
"Sudan","2020-04-19",66,10
"Sudan","2020-04-20",66,10
"Sudan","2020-04-21",92,12
"Sudan","2020-04-22",107,12
"Sudan","2020-04-23",140,13
"Sudan","2020-04-24",162,13
"Sudan","2020-04-25",174,16
"Sudan","2020-04-26",213,17
"Sudan","2020-04-27",237,21
"Sudan","2020-04-28",275,22
"Sudan","2020-04-29",318,25
"Sudan","2020-04-30",375,28
"Sudan","2020-05-01",442,31
"Sudan","2020-05-02",442,31
"Sudan","2020-05-03",592,41
"Sudan","2020-05-04",678,41
"Sudan","2020-05-05",678,41
"Sudan","2020-05-06",778,45
"Sudan","2020-05-07",852,49
"Sudan","2020-05-08",930,52
"Sudan","2020-05-09",1111,59
"Sudan","2020-05-10",1164,64
"Sudan","2020-05-11",1363,70
"Sudan","2020-05-12",1526,74
"Sudan","2020-05-13",1661,80
"Sudan","2020-05-14",1818,90
"Sudan","2020-05-15",1964,91
"Sudan","2020-05-16",1964,91
"Sudan","2020-05-17",1964,91
"Sudan","2020-05-18",2289,97
"Sudan","2020-05-19",2591,105
"Sudan","2020-05-20",2591,105
"Sudan","2020-05-21",2728,111
"Sudan","2020-05-22",3138,121
"Sudan","2020-05-23",3378,137
"Sudan","2020-05-24",3628,146
"Sudan","2020-05-25",3634,146
"Sudan","2020-05-26",3826,165
"Sudan","2020-05-27",3976,170
"Sudan","2020-05-28",4146,184
"Sudan","2020-05-29",4346,195
"Sudan","2020-05-30",4521,233
"Sudan","2020-05-31",4800,262
"Sudan","2020-06-01",5026,286
"Sudan","2020-06-02",5173,298
"Sudan","2020-06-03",5310,307
"Sudan","2020-06-04",5310,307
"Sudan","2020-06-05",5499,314
"Sudan","2020-06-06",5714,333
"Sudan","2020-06-07",5865,347
"Sudan","2020-06-08",6083,359
"Sudan","2020-06-09",6242,372
"Sudan","2020-06-10",6242,372
"Sudan","2020-06-11",6427,389
"Sudan","2020-06-12",6730,413
"Sudan","2020-06-13",6879,433
"Sudan","2020-06-14",6879,433
"Sudan","2020-06-15",7220,459
"Sudan","2020-06-16",7220,459
"Sudan","2020-06-17",7740,477
"Sudan","2020-06-18",8020,487
"Sudan","2020-06-19",8020,487
"Sudan","2020-06-20",8316,506
"Sudan","2020-06-21",8580,521
"Sudan","2020-06-22",8580,521
"Sudan","2020-06-23",8698,533
"Sudan","2020-06-24",8889,548
