"location","date","total_cases","total_deaths"
"Swaziland","2020-03-15",1,0
"Swaziland","2020-03-16",1,0
"Swaziland","2020-03-17",1,0
"Swaziland","2020-03-18",1,0
"Swaziland","2020-03-19",1,0
"Swaziland","2020-03-20",1,0
"Swaziland","2020-03-21",1,0
"Swaziland","2020-03-22",1,0
"Swaziland","2020-03-23",4,0
"Swaziland","2020-03-24",4,0
"Swaziland","2020-03-25",4,0
"Swaziland","2020-03-26",4,0
"Swaziland","2020-03-27",6,0
"Swaziland","2020-03-28",9,0
"Swaziland","2020-03-29",9,0
"Swaziland","2020-03-30",9,0
"Swaziland","2020-03-31",9,0
"Swaziland","2020-04-01",9,0
"Swaziland","2020-04-02",9,0
"Swaziland","2020-04-03",9,0
"Swaziland","2020-04-04",9,0
"Swaziland","2020-04-05",9,0
"Swaziland","2020-04-06",9,0
"Swaziland","2020-04-07",10,0
"Swaziland","2020-04-08",10,0
"Swaziland","2020-04-09",12,0
"Swaziland","2020-04-10",12,0
"Swaziland","2020-04-11",12,0
"Swaziland","2020-04-12",14,0
"Swaziland","2020-04-13",14,0
"Swaziland","2020-04-14",15,0
"Swaziland","2020-04-15",15,0
"Swaziland","2020-04-16",16,0
"Swaziland","2020-04-17",16,0
"Swaziland","2020-04-18",19,1
"Swaziland","2020-04-19",19,1
"Swaziland","2020-04-20",22,1
"Swaziland","2020-04-21",24,1
"Swaziland","2020-04-22",24,1
"Swaziland","2020-04-23",31,1
"Swaziland","2020-04-24",32,1
"Swaziland","2020-04-25",40,1
"Swaziland","2020-04-26",40,1
"Swaziland","2020-04-27",59,1
"Swaziland","2020-04-28",65,1
"Swaziland","2020-04-29",71,1
"Swaziland","2020-04-30",91,1
"Swaziland","2020-05-01",100,1
"Swaziland","2020-05-02",106,1
"Swaziland","2020-05-03",108,1
"Swaziland","2020-05-04",112,1
"Swaziland","2020-05-05",116,1
"Swaziland","2020-05-06",116,1
"Swaziland","2020-05-07",123,2
"Swaziland","2020-05-08",153,2
"Swaziland","2020-05-09",159,2
"Swaziland","2020-05-10",163,2
"Swaziland","2020-05-11",172,2
"Swaziland","2020-05-12",175,2
"Swaziland","2020-05-13",184,2
"Swaziland","2020-05-14",187,2
"Swaziland","2020-05-15",187,2
"Swaziland","2020-05-16",190,2
"Swaziland","2020-05-17",202,2
"Swaziland","2020-05-18",203,2
"Swaziland","2020-05-19",203,2
"Swaziland","2020-05-20",208,2
"Swaziland","2020-05-21",217,2
"Swaziland","2020-05-22",220,2
"Swaziland","2020-05-23",220,2
"Swaziland","2020-05-24",238,2
"Swaziland","2020-05-25",250,2
"Swaziland","2020-05-26",256,2
"Swaziland","2020-05-27",261,2
"Swaziland","2020-05-28",272,2
"Swaziland","2020-05-29",279,2
"Swaziland","2020-05-30",279,2
"Swaziland","2020-05-31",283,2
"Swaziland","2020-06-01",285,2
"Swaziland","2020-06-02",293,3
"Swaziland","2020-06-03",293,3
"Swaziland","2020-06-04",295,3
"Swaziland","2020-06-05",300,3
"Swaziland","2020-06-06",305,3
"Swaziland","2020-06-07",322,3
"Swaziland","2020-06-08",333,3
"Swaziland","2020-06-09",340,3
"Swaziland","2020-06-10",371,3
"Swaziland","2020-06-11",398,3
"Swaziland","2020-06-12",449,3
"Swaziland","2020-06-13",472,3
"Swaziland","2020-06-14",486,3
"Swaziland","2020-06-15",490,4
"Swaziland","2020-06-16",506,4
"Swaziland","2020-06-17",520,4
"Swaziland","2020-06-18",563,4
"Swaziland","2020-06-19",586,4
"Swaziland","2020-06-20",623,4
"Swaziland","2020-06-21",627,5
"Swaziland","2020-06-22",635,5
"Swaziland","2020-06-23",643,6
"Swaziland","2020-06-24",674,7
