"location","date","total_cases","total_deaths"
"Tunisia","2020-03-02",NA,NA
"Tunisia","2020-03-03",1,0
"Tunisia","2020-03-04",NA,NA
"Tunisia","2020-03-05",NA,NA
"Tunisia","2020-03-06",NA,NA
"Tunisia","2020-03-07",NA,NA
"Tunisia","2020-03-08",NA,NA
"Tunisia","2020-03-09",NA,NA
"Tunisia","2020-03-10",2,0
"Tunisia","2020-03-11",5,0
"Tunisia","2020-03-12",7,0
"Tunisia","2020-03-13",13,0
"Tunisia","2020-03-14",16,0
"Tunisia","2020-03-15",16,0
"Tunisia","2020-03-16",18,0
"Tunisia","2020-03-17",20,0
"Tunisia","2020-03-18",24,0
"Tunisia","2020-03-19",29,0
"Tunisia","2020-03-20",39,0
"Tunisia","2020-03-21",54,1
"Tunisia","2020-03-22",60,1
"Tunisia","2020-03-23",75,3
"Tunisia","2020-03-24",89,3
"Tunisia","2020-03-25",114,3
"Tunisia","2020-03-26",173,5
"Tunisia","2020-03-27",173,5
"Tunisia","2020-03-28",227,6
"Tunisia","2020-03-29",227,6
"Tunisia","2020-03-30",278,8
"Tunisia","2020-03-31",312,8
"Tunisia","2020-04-01",362,9
"Tunisia","2020-04-02",394,10
"Tunisia","2020-04-03",455,13
"Tunisia","2020-04-04",455,13
"Tunisia","2020-04-05",495,18
"Tunisia","2020-04-06",553,19
"Tunisia","2020-04-07",574,22
"Tunisia","2020-04-08",596,22
"Tunisia","2020-04-09",623,23
"Tunisia","2020-04-10",643,25
"Tunisia","2020-04-11",671,25
"Tunisia","2020-04-12",685,28
"Tunisia","2020-04-13",707,31
"Tunisia","2020-04-14",726,34
"Tunisia","2020-04-15",747,34
"Tunisia","2020-04-16",780,35
"Tunisia","2020-04-17",822,37
"Tunisia","2020-04-18",864,37
"Tunisia","2020-04-19",866,37
"Tunisia","2020-04-20",879,38
"Tunisia","2020-04-21",884,38
"Tunisia","2020-04-22",901,38
"Tunisia","2020-04-23",901,38
"Tunisia","2020-04-24",918,38
"Tunisia","2020-04-25",922,38
"Tunisia","2020-04-26",939,38
"Tunisia","2020-04-27",949,38
"Tunisia","2020-04-28",967,39
"Tunisia","2020-04-29",975,40
"Tunisia","2020-04-30",980,40
"Tunisia","2020-05-01",994,40
"Tunisia","2020-05-02",998,41
"Tunisia","2020-05-03",1009,42
"Tunisia","2020-05-04",1013,42
"Tunisia","2020-05-05",1018,43
"Tunisia","2020-05-06",1022,43
"Tunisia","2020-05-07",1025,43
"Tunisia","2020-05-08",1026,44
"Tunisia","2020-05-09",1030,45
"Tunisia","2020-05-10",1032,45
"Tunisia","2020-05-11",1032,45
"Tunisia","2020-05-12",1032,45
"Tunisia","2020-05-13",1032,45
"Tunisia","2020-05-14",1032,45
"Tunisia","2020-05-15",1032,45
"Tunisia","2020-05-16",1035,45
"Tunisia","2020-05-17",1035,45
"Tunisia","2020-05-18",1037,45
"Tunisia","2020-05-19",1043,46
"Tunisia","2020-05-20",1044,47
"Tunisia","2020-05-21",1045,47
"Tunisia","2020-05-22",1046,47
"Tunisia","2020-05-23",1048,47
"Tunisia","2020-05-24",1048,48
"Tunisia","2020-05-25",1051,48
"Tunisia","2020-05-26",1051,48
"Tunisia","2020-05-27",1051,48
"Tunisia","2020-05-28",1051,48
"Tunisia","2020-05-29",1068,48
"Tunisia","2020-05-30",1071,48
"Tunisia","2020-05-31",1076,48
"Tunisia","2020-06-01",1077,48
"Tunisia","2020-06-02",1084,48
"Tunisia","2020-06-03",1086,48
"Tunisia","2020-06-04",1087,49
"Tunisia","2020-06-05",1087,49
"Tunisia","2020-06-06",1087,49
"Tunisia","2020-06-07",1087,49
"Tunisia","2020-06-08",1087,49
"Tunisia","2020-06-09",1087,49
"Tunisia","2020-06-10",1087,49
"Tunisia","2020-06-11",1087,49
"Tunisia","2020-06-12",1087,49
"Tunisia","2020-06-13",1093,49
"Tunisia","2020-06-14",1094,49
"Tunisia","2020-06-15",1096,49
"Tunisia","2020-06-16",1110,49
"Tunisia","2020-06-17",1125,49
"Tunisia","2020-06-18",1128,50
"Tunisia","2020-06-19",1132,50
"Tunisia","2020-06-20",1146,50
"Tunisia","2020-06-21",1156,50
"Tunisia","2020-06-22",1157,50
"Tunisia","2020-06-23",1159,50
"Tunisia","2020-06-24",1159,50
"Tunisia","2020-06-25",1160,50
"Tunisia","2020-06-26",1162,50
"Tunisia","2020-06-27",1164,50
"Tunisia","2020-06-28",1168,50
"Tunisia","2020-06-29",1169,50
"Tunisia","2020-06-30",1172,50
"Tunisia","2020-07-01",1174,50
"Tunisia","2020-07-02",1175,50
"Tunisia","2020-07-03",1178,50
"Tunisia","2020-07-04",1181,50
"Tunisia","2020-07-05",1186,50
