"location","date","total_cases","total_deaths"
"Ukraine","2020-03-04",1,0
"Ukraine","2020-03-13",3,0
"Ukraine","2020-03-16",3,0
"Ukraine","2020-03-17",5,0
"Ukraine","2020-03-18",14,0
"Ukraine","2020-03-19",19,2
"Ukraine","2020-03-20",26,2
"Ukraine","2020-03-21",26,3
"Ukraine","2020-03-22",41,3
"Ukraine","2020-03-23",47,3
"Ukraine","2020-03-24",73,3
"Ukraine","2020-03-25",84,3
"Ukraine","2020-03-26",113,4
"Ukraine","2020-03-27",156,5
"Ukraine","2020-03-28",218,5
"Ukraine","2020-03-29",311,8
"Ukraine","2020-03-30",418,9
"Ukraine","2020-03-31",480,11
"Ukraine","2020-04-01",549,13
"Ukraine","2020-04-02",794,20
"Ukraine","2020-04-03",804,20
"Ukraine","2020-04-04",987,23
"Ukraine","2020-04-05",1096,28
"Ukraine","2020-04-06",1251,32
"Ukraine","2020-04-07",1319,38
"Ukraine","2020-04-08",1462,45
"Ukraine","2020-04-09",1668,52
"Ukraine","2020-04-10",1892,57
"Ukraine","2020-04-11",2203,69
"Ukraine","2020-04-12",2511,73
"Ukraine","2020-04-13",2777,83
"Ukraine","2020-04-14",3102,93
"Ukraine","2020-04-15",3372,98
"Ukraine","2020-04-16",4161,116
"Ukraine","2020-04-17",4462,125
"Ukraine","2020-04-18",5106,133
"Ukraine","2020-04-19",5449,141
"Ukraine","2020-04-20",5710,151
"Ukraine","2020-04-21",6125,161
"Ukraine","2020-04-22",6592,174
"Ukraine","2020-04-23",7170,187
"Ukraine","2020-04-24",7647,193
"Ukraine","2020-04-25",8125,201
"Ukraine","2020-04-26",8617,209
"Ukraine","2020-04-27",9009,220
"Ukraine","2020-04-28",9009,220
"Ukraine","2020-04-29",9410,239
"Ukraine","2020-04-30",9866,250
"Ukraine","2020-05-01",10406,250
"Ukraine","2020-05-02",10861,279
"Ukraine","2020-05-03",11411,279
"Ukraine","2020-05-04",11913,288
"Ukraine","2020-05-05",12331,303
"Ukraine","2020-05-06",12697,316
"Ukraine","2020-05-07",13184,327
"Ukraine","2020-05-08",13691,340
"Ukraine","2020-05-09",14195,361
"Ukraine","2020-05-10",14710,376
"Ukraine","2020-05-11",15232,391
"Ukraine","2020-05-12",15648,408
"Ukraine","2020-05-13",16023,425
"Ukraine","2020-05-14",16425,439
"Ukraine","2020-05-15",16847,456
"Ukraine","2020-05-16",17330,483
"Ukraine","2020-05-17",17858,497
"Ukraine","2020-05-18",18291,514
"Ukraine","2020-05-19",18616,535
"Ukraine","2020-05-20",18876,548
"Ukraine","2020-05-21",19230,564
"Ukraine","2020-05-22",19706,579
"Ukraine","2020-05-23",20148,588
"Ukraine","2020-05-24",20580,605
"Ukraine","2020-05-25",20986,617
"Ukraine","2020-05-26",21245,623
"Ukraine","2020-05-27",21584,644
"Ukraine","2020-05-28",21584,644
"Ukraine","2020-05-29",22382,669
"Ukraine","2020-05-30",23204,696
"Ukraine","2020-05-31",23204,696
"Ukraine","2020-06-01",23672,708
"Ukraine","2020-06-02",24340,727
"Ukraine","2020-06-03",24823,735
"Ukraine","2020-06-04",25411,747
"Ukraine","2020-06-05",25964,762
"Ukraine","2020-06-06",26514,777
"Ukraine","2020-06-07",26514,777
"Ukraine","2020-06-08",26999,788
"Ukraine","2020-06-09",27462,797
"Ukraine","2020-06-10",27856,810
"Ukraine","2020-06-11",28381,833
"Ukraine","2020-06-12",29070,854
"Ukraine","2020-06-13",29753,870
"Ukraine","2020-06-14",30506,880
"Ukraine","2020-06-15",31154,889
"Ukraine","2020-06-16",31810,901
"Ukraine","2020-06-17",32476,912
"Ukraine","2020-06-18",33234,943
"Ukraine","2020-06-19",34063,966
"Ukraine","2020-06-20",34984,985
"Ukraine","2020-06-21",35825,994
"Ukraine","2020-06-22",36560,1002
"Ukraine","2020-06-23",37241,1012
"Ukraine","2020-06-24",39014,1051
