"location","date","total_cases","total_deaths"
"Zimbabwe","2020-03-21",1,0
"Zimbabwe","2020-03-22",2,0
"Zimbabwe","2020-03-23",2,0
"Zimbabwe","2020-03-24",2,1
"Zimbabwe","2020-03-25",2,1
"Zimbabwe","2020-03-26",3,1
"Zimbabwe","2020-03-27",3,1
"Zimbabwe","2020-03-28",5,1
"Zimbabwe","2020-03-29",7,1
"Zimbabwe","2020-03-30",7,1
"Zimbabwe","2020-03-31",7,1
"Zimbabwe","2020-04-01",8,1
"Zimbabwe","2020-04-02",8,1
"Zimbabwe","2020-04-03",8,1
"Zimbabwe","2020-04-04",9,1
"Zimbabwe","2020-04-05",9,1
"Zimbabwe","2020-04-06",9,1
"Zimbabwe","2020-04-07",9,1
"Zimbabwe","2020-04-08",10,1
"Zimbabwe","2020-04-09",11,2
"Zimbabwe","2020-04-10",11,3
"Zimbabwe","2020-04-11",11,3
"Zimbabwe","2020-04-12",14,3
"Zimbabwe","2020-04-13",14,3
"Zimbabwe","2020-04-14",17,3
"Zimbabwe","2020-04-15",17,3
"Zimbabwe","2020-04-16",23,3
"Zimbabwe","2020-04-17",24,3
"Zimbabwe","2020-04-18",24,3
"Zimbabwe","2020-04-19",25,3
"Zimbabwe","2020-04-20",25,3
"Zimbabwe","2020-04-21",25,3
"Zimbabwe","2020-04-22",28,3
"Zimbabwe","2020-04-23",28,3
"Zimbabwe","2020-04-24",29,3
"Zimbabwe","2020-04-25",29,4
"Zimbabwe","2020-04-26",31,4
"Zimbabwe","2020-04-27",31,4
"Zimbabwe","2020-04-28",32,4
"Zimbabwe","2020-04-29",32,4
"Zimbabwe","2020-04-30",34,4
"Zimbabwe","2020-05-01",34,4
"Zimbabwe","2020-05-02",34,4
"Zimbabwe","2020-05-03",34,4
"Zimbabwe","2020-05-04",34,4
"Zimbabwe","2020-05-05",34,4
"Zimbabwe","2020-05-06",34,4
"Zimbabwe","2020-05-07",34,4
"Zimbabwe","2020-05-08",34,4
"Zimbabwe","2020-05-09",35,4
"Zimbabwe","2020-05-10",36,4
"Zimbabwe","2020-05-11",36,4
"Zimbabwe","2020-05-12",37,4
"Zimbabwe","2020-05-13",37,4
"Zimbabwe","2020-05-14",37,4
"Zimbabwe","2020-05-15",37,4
"Zimbabwe","2020-05-16",42,4
"Zimbabwe","2020-05-17",44,4
"Zimbabwe","2020-05-18",46,4
"Zimbabwe","2020-05-19",46,4
"Zimbabwe","2020-05-20",46,4
"Zimbabwe","2020-05-21",48,4
"Zimbabwe","2020-05-22",51,4
"Zimbabwe","2020-05-23",56,4
"Zimbabwe","2020-05-24",56,4
"Zimbabwe","2020-05-25",56,4
"Zimbabwe","2020-05-26",56,4
"Zimbabwe","2020-05-27",56,4
"Zimbabwe","2020-05-28",132,4
"Zimbabwe","2020-05-29",149,4
"Zimbabwe","2020-05-30",160,4
"Zimbabwe","2020-05-31",174,4
"Zimbabwe","2020-06-01",178,4
"Zimbabwe","2020-06-02",203,4
"Zimbabwe","2020-06-03",206,4
"Zimbabwe","2020-06-04",222,4
"Zimbabwe","2020-06-05",237,4
"Zimbabwe","2020-06-06",265,4
"Zimbabwe","2020-06-07",279,4
"Zimbabwe","2020-06-08",282,4
"Zimbabwe","2020-06-09",287,4
"Zimbabwe","2020-06-10",314,4
"Zimbabwe","2020-06-11",320,4
"Zimbabwe","2020-06-12",332,4
"Zimbabwe","2020-06-13",343,4
"Zimbabwe","2020-06-14",356,4
"Zimbabwe","2020-06-15",383,4
"Zimbabwe","2020-06-16",387,4
"Zimbabwe","2020-06-17",394,4
"Zimbabwe","2020-06-18",401,4
"Zimbabwe","2020-06-19",463,4
"Zimbabwe","2020-06-20",479,4
"Zimbabwe","2020-06-21",486,6
"Zimbabwe","2020-06-22",489,6
"Zimbabwe","2020-06-23",512,6
"Zimbabwe","2020-06-24",525,6
"Zimbabwe","2020-06-25",530,6
"Zimbabwe","2020-06-26",551,6
"Zimbabwe","2020-06-27",561,6
"Zimbabwe","2020-06-28",567,6
"Zimbabwe","2020-06-29",567,6
"Zimbabwe","2020-06-30",574,7
"Zimbabwe","2020-07-01",591,7
"Zimbabwe","2020-07-02",605,7
"Zimbabwe","2020-07-03",617,7
"Zimbabwe","2020-07-04",625,7
"Zimbabwe","2020-07-05",698,8
