"date","location","total_cases","total_deaths"
"2020-03-22","Angola",2,0
"2020-03-23","Angola",2,0
"2020-03-24","Angola",2,0
"2020-03-25","Angola",2,0
"2020-03-26","Angola",2,0
"2020-03-27","Angola",3,0
"2020-03-28","Angola",4,0
"2020-03-29","Angola",4,0
"2020-03-30","Angola",7,2
"2020-03-31","Angola",7,2
"2020-04-01","Angola",7,2
"2020-04-02","Angola",8,2
"2020-04-03","Angola",8,2
"2020-04-04","Angola",8,2
"2020-04-05","Angola",10,2
"2020-04-06","Angola",14,2
"2020-04-07","Angola",16,2
"2020-04-08","Angola",17,2
"2020-04-09","Angola",19,2
"2020-04-10","Angola",19,2
"2020-04-11","Angola",19,2
"2020-04-12","Angola",19,2
"2020-04-13","Angola",19,2
"2020-04-14","Angola",19,2
"2020-04-15","Angola",19,2
"2020-04-16","Angola",19,2
"2020-04-17","Angola",19,2
"2020-04-18","Angola",19,2
"2020-04-19","Angola",24,2
"2020-04-20","Angola",24,2
"2020-04-21","Angola",24,2
"2020-04-22","Angola",24,2
"2020-04-23","Angola",24,2
"2020-04-24","Angola",25,2
"2020-04-25","Angola",25,2
"2020-04-26","Angola",25,2
"2020-04-27","Angola",26,2
"2020-04-28","Angola",27,2
"2020-04-29","Angola",27,2
"2020-04-30","Angola",27,2
"2020-05-01","Angola",27,2
"2020-05-02","Angola",29,2
"2020-05-03","Angola",35,2
"2020-05-04","Angola",35,2
"2020-05-05","Angola",35,2
"2020-05-06","Angola",36,2
"2020-05-07","Angola",36,2
"2020-05-08","Angola",36,2
"2020-05-09","Angola",43,2
"2020-05-10","Angola",43,2
"2020-05-11","Angola",45,2
"2020-05-12","Angola",45,2
"2020-05-13","Angola",45,2
"2020-05-14","Angola",45,2
"2020-05-15","Angola",48,2
"2020-05-16","Angola",48,2
"2020-05-17","Angola",48,2
"2020-05-18","Angola",48,2
"2020-05-19","Angola",48,2
"2020-05-20","Angola",50,2
"2020-05-21","Angola",52,3
"2020-05-22","Angola",58,3
"2020-05-23","Angola",60,3
"2020-05-24","Angola",60,3
"2020-05-25","Angola",69,4
"2020-05-26","Angola",69,4
"2020-05-27","Angola",71,4
"2020-05-28","Angola",71,4
"2020-05-29","Angola",73,4
"2020-05-30","Angola",77,4
"2020-05-31","Angola",84,4
"2020-06-01","Angola",86,4
"2020-06-02","Angola",86,4
"2020-06-03","Angola",86,4
"2020-06-04","Angola",86,4
"2020-06-05","Angola",86,4
"2020-06-06","Angola",86,4
"2020-06-07","Angola",86,4
"2020-06-08","Angola",91,4
"2020-06-09","Angola",92,4
"2020-06-10","Angola",96,4
"2020-06-11","Angola",113,4
"2020-06-12","Angola",118,5
"2020-06-13","Angola",130,5
"2020-06-14","Angola",138,6
"2020-06-15","Angola",140,6
"2020-06-16","Angola",142,6
"2020-06-17","Angola",142,6
"2020-06-18","Angola",155,7
"2020-06-19","Angola",155,7
"2020-06-20","Angola",166,8
"2020-06-21","Angola",172,8
"2020-06-22","Angola",176,9
"2020-06-23","Angola",183,9
"2020-06-24","Angola",186,10
