"date","location","total_cases","total_deaths"
"04-03-2020","Bangladesh",0,0
"05-03-2020","Bangladesh",0,0
"06-03-2020","Bangladesh",0,0
"07-03-2020","Bangladesh",0,0
"08-03-2020","Bangladesh",0,0
"09-03-2020","Bangladesh",3,0
"10-03-2020","Bangladesh",3,0
"11-03-2020","Bangladesh",3,0
"12-03-2020","Bangladesh",3,0
"13-03-2020","Bangladesh",3,0
"14-03-2020","Bangladesh",3,0
"15-03-2020","Bangladesh",3,0
"16-03-2020","Bangladesh",3,0
"17-03-2020","Bangladesh",5,0
"18-03-2020","Bangladesh",8,0
"19-03-2020","Bangladesh",10,0
"20-03-2020","Bangladesh",10,0
"21-03-2020","Bangladesh",17,0
"22-03-2020","Bangladesh",24,2
"23-03-2020","Bangladesh",27,3
"24-03-2020","Bangladesh",33,3
"25-03-2020","Bangladesh",39,4
"26-03-2020","Bangladesh",39,5
"27-03-2020","Bangladesh",48,5
"28-03-2020","Bangladesh",48,5
"29-03-2020","Bangladesh",48,5
"30-03-2020","Bangladesh",49,5
"31-03-2020","Bangladesh",49,5
"01-04-2020","Bangladesh",51,5
"02-04-2020","Bangladesh",54,6
"03-04-2020","Bangladesh",56,6
"04-04-2020","Bangladesh",61,6
"05-04-2020","Bangladesh",70,8
"06-04-2020","Bangladesh",88,9
"07-04-2020","Bangladesh",123,12
"08-04-2020","Bangladesh",164,17
"09-04-2020","Bangladesh",218,20
"10-04-2020","Bangladesh",330,21
"11-04-2020","Bangladesh",424,27
"12-04-2020","Bangladesh",482,30
"13-04-2020","Bangladesh",621,34
"14-04-2020","Bangladesh",803,39
"15-04-2020","Bangladesh",1012,46
"16-04-2020","Bangladesh",1231,50
"17-04-2020","Bangladesh",1572,60
"18-04-2020","Bangladesh",1838,75
"19-04-2020","Bangladesh",2144,84
"20-04-2020","Bangladesh",2456,91
"21-04-2020","Bangladesh",2948,101
"22-04-2020","Bangladesh",3382,110
"23-04-2020","Bangladesh",3772,120
"24-04-2020","Bangladesh",4186,127
"25-04-2020","Bangladesh",4689,131
"26-04-2020","Bangladesh",4998,140
"27-04-2020","Bangladesh",5416,145
"28-04-2020","Bangladesh",5913,152
"29-04-2020","Bangladesh",6462,155
"30-04-2020","Bangladesh",7103,163
"01-05-2020","Bangladesh",7667,168
"02-05-2020","Bangladesh",8238,170
"03-05-2020","Bangladesh",8790,175
"04-05-2020","Bangladesh",9455,177
"05-05-2020","Bangladesh",10143,182
"06-05-2020","Bangladesh",10929,183
"07-05-2020","Bangladesh",11719,186
"08-05-2020","Bangladesh",12425,199
"09-05-2020","Bangladesh",13134,206
"10-05-2020","Bangladesh",13770,214
"11-05-2020","Bangladesh",14657,228
"12-05-2020","Bangladesh",15691,239
"13-05-2020","Bangladesh",16660,250
"14-05-2020","Bangladesh",17822,269
"15-05-2020","Bangladesh",18863,283
"16-05-2020","Bangladesh",20065,298
"17-05-2020","Bangladesh",20995,314
"18-05-2020","Bangladesh",22268,328
"19-05-2020","Bangladesh",23870,349
"20-05-2020","Bangladesh",25121,370
"21-05-2020","Bangladesh",26738,386
"22-05-2020","Bangladesh",28511,408
"23-05-2020","Bangladesh",30205,432
"24-05-2020","Bangladesh",32078,452
"25-05-2020","Bangladesh",33610,480
"26-05-2020","Bangladesh",35585,501
"27-05-2020","Bangladesh",36751,522
"28-05-2020","Bangladesh",38292,544
"29-05-2020","Bangladesh",40321,559
"30-05-2020","Bangladesh",42844,582
"31-05-2020","Bangladesh",44608,610
"01-06-2020","Bangladesh",47153,650
"02-06-2020","Bangladesh",49534,672
"03-06-2020","Bangladesh",52445,709
"04-06-2020","Bangladesh",55140,746
"05-06-2020","Bangladesh",57563,781
"06-06-2020","Bangladesh",60391,811
"07-06-2020","Bangladesh",63026,846
"08-06-2020","Bangladesh",65769,888
"09-06-2020","Bangladesh",68504,930
"10-06-2020","Bangladesh",71675,975
"11-06-2020","Bangladesh",74865,1012
"12-06-2020","Bangladesh",78052,1049
"13-06-2020","Bangladesh",81523,1095
"14-06-2020","Bangladesh",84379,1139
"15-06-2020","Bangladesh",87520,1171
"16-06-2020","Bangladesh",90619,1209
"17-06-2020","Bangladesh",94481,1262
"18-06-2020","Bangladesh",98489,1305
"19-06-2020","Bangladesh",102292,1343
"20-06-2020","Bangladesh",105535,1388
"21-06-2020","Bangladesh",108775,1425
"22-06-2020","Bangladesh",112306,1464
"23-06-2020","Bangladesh",115786,1502
"24-06-2020","Bangladesh",119198,1545
"25-06-2020","Bangladesh",122660,1582
"26-06-2020","Bangladesh",126606,1621
"27-06-2020","Bangladesh",130474,1661
"28-06-2020","Bangladesh",133978,1695
"29-06-2020","Bangladesh",137787,1738
"30-06-2020","Bangladesh",141801,1783
"01-07-2020","Bangladesh",145483,1847
"02-07-2020","Bangladesh",149258,1888
"03-07-2020","Bangladesh",153277,1926
"04-07-2020","Bangladesh",156391,1968
"05-07-2020","Bangladesh",159679,1997
