"date","location","total_cases","total_deaths"
"2020-03-12","Bolivia",2,0
"2020-03-13","Bolivia",3,0
"2020-03-14","Bolivia",10,0
"2020-03-15","Bolivia",10,0
"2020-03-16","Bolivia",10,0
"2020-03-17","Bolivia",11,0
"2020-03-18","Bolivia",12,0
"2020-03-19","Bolivia",12,0
"2020-03-20","Bolivia",15,0
"2020-03-21","Bolivia",19,0
"2020-03-22","Bolivia",20,0
"2020-03-23","Bolivia",27,0
"2020-03-24","Bolivia",28,0
"2020-03-25","Bolivia",32,0
"2020-03-26","Bolivia",39,0
"2020-03-27","Bolivia",61,0
"2020-03-28","Bolivia",74,0
"2020-03-29","Bolivia",81,0
"2020-03-30","Bolivia",96,3
"2020-03-31","Bolivia",107,6
"2020-04-01","Bolivia",115,7
"2020-04-02","Bolivia",123,8
"2020-04-03","Bolivia",132,9
"2020-04-04","Bolivia",139,10
"2020-04-05","Bolivia",157,10
"2020-04-06","Bolivia",183,11
"2020-04-07","Bolivia",194,14
"2020-04-08","Bolivia",210,15
"2020-04-09","Bolivia",264,18
"2020-04-10","Bolivia",268,19
"2020-04-11","Bolivia",276,20
"2020-04-12","Bolivia",300,24
"2020-04-13","Bolivia",330,27
"2020-04-14","Bolivia",354,28
"2020-04-15","Bolivia",397,28
"2020-04-16","Bolivia",441,29
"2020-04-17","Bolivia",465,31
"2020-04-18","Bolivia",493,31
"2020-04-19","Bolivia",520,32
"2020-04-20","Bolivia",564,33
"2020-04-21","Bolivia",598,34
"2020-04-22","Bolivia",609,37
"2020-04-23","Bolivia",672,40
"2020-04-24","Bolivia",703,43
"2020-04-25","Bolivia",807,44
"2020-04-26","Bolivia",866,46
"2020-04-27","Bolivia",950,50
"2020-04-28","Bolivia",1014,53
"2020-04-29","Bolivia",1053,55
"2020-04-30","Bolivia",1110,59
"2020-05-01","Bolivia",1167,62
"2020-05-02","Bolivia",1229,66
"2020-05-03","Bolivia",1470,71
"2020-05-04","Bolivia",1594,76
"2020-05-05","Bolivia",1681,82
"2020-05-06","Bolivia",1802,86
"2020-05-07","Bolivia",1886,91
"2020-05-08","Bolivia",2081,102
"2020-05-09","Bolivia",2266,106
"2020-05-10","Bolivia",2437,114
"2020-05-11","Bolivia",2556,118
"2020-05-12","Bolivia",2831,122
"2020-05-13","Bolivia",2964,128
"2020-05-14","Bolivia",3148,142
"2020-05-15","Bolivia",3372,152
"2020-05-16","Bolivia",3577,164
"2020-05-17","Bolivia",3826,165
"2020-05-18","Bolivia",4088,169
"2020-05-19","Bolivia",4263,174
"2020-05-20","Bolivia",4481,189
"2020-05-21","Bolivia",4919,199
"2020-05-22","Bolivia",5187,215
"2020-05-23","Bolivia",5579,230
"2020-05-24","Bolivia",5915,240
"2020-05-25","Bolivia",6263,250
"2020-05-26","Bolivia",6660,261
"2020-05-27","Bolivia",7136,274
"2020-05-28","Bolivia",7768,280
"2020-05-29","Bolivia",8387,293
"2020-05-30","Bolivia",8731,300
"2020-05-31","Bolivia",9592,310
"2020-06-01","Bolivia",9982,313
"2020-06-02","Bolivia",10531,343
"2020-06-03","Bolivia",10991,376
"2020-06-04","Bolivia",11638,400
"2020-06-05","Bolivia",12245,415
"2020-06-06","Bolivia",12728,427
"2020-06-07","Bolivia",13358,454
"2020-06-08","Bolivia",13643,465
"2020-06-09","Bolivia",13949,475
"2020-06-10","Bolivia",14644,487
"2020-06-11","Bolivia",15281,512
"2020-06-12","Bolivia",16165,533
"2020-06-13","Bolivia",16929,559
"2020-06-14","Bolivia",17842,585
"2020-06-15","Bolivia",18459,611
"2020-06-16","Bolivia",19073,632
"2020-06-17","Bolivia",19883,659
"2020-06-18","Bolivia",20685,679
"2020-06-19","Bolivia",21499,697
"2020-06-20","Bolivia",22476,715
"2020-06-21","Bolivia",23512,740
"2020-06-22","Bolivia",24388,773
"2020-06-23","Bolivia",25493,820
"2020-06-24","Bolivia",26389,846
"2020-06-25","Bolivia",27487,876
"2020-06-26","Bolivia",28503,913
"2020-06-27","Bolivia",29423,934
"2020-06-28","Bolivia",30676,970
"2020-06-29","Bolivia",31524,1014
"2020-06-30","Bolivia",32125,1071
"2020-07-01","Bolivia",33219,1123
"2020-07-02","Bolivia",34227,1201
"2020-07-03","Bolivia",35528,1271
"2020-07-04","Bolivia",36818,1320
"2020-07-05","Bolivia",38071,1378
