"date","location","total_cases","total_deaths"
"2020-03-07","Cameroon","1","0"
"2020-03-08","Cameroon","    1","  0"
"2020-03-09","Cameroon","2","0"
"2020-03-10","Cameroon","    2","  0"
"2020-03-11","Cameroon","    2","  0"
"2020-03-12","Cameroon","    2","  0"
"2020-03-13","Cameroon","    2","  0"
"2020-03-14","Cameroon","    2","  0"
"2020-03-15","Cameroon","3","0"
"2020-03-16","Cameroon","4","0"
"2020-03-17","Cameroon","4","0"
"2020-03-18","Cameroon","10","0"
"2020-03-19","Cameroon","10","0"
"2020-03-20","Cameroon","14","0"
"2020-03-21","Cameroon","27","0"
"2020-03-22","Cameroon","27","0"
"2020-03-23","Cameroon","27","0"
"2020-03-24","Cameroon","56","0"
"2020-03-25","Cameroon","72","1"
"2020-03-26","Cameroon","72","1"
"2020-03-27","Cameroon","88","1"
"2020-03-28","Cameroon","88","1"
"2020-03-29","Cameroon","99","2"
"2020-03-30","Cameroon","99","2"
"2020-03-31","Cameroon","142","2"
"2020-04-01","Cameroon","193","6"
"2020-04-02","Cameroon","233","6"
"2020-04-03","Cameroon","271","7"
"2020-04-04","Cameroon","509","8"
"2020-04-05","Cameroon","555","9"
"2020-04-06","Cameroon","650","9"
"2020-04-07","Cameroon","658","9"
"2020-04-08","Cameroon","685","9"
"2020-04-09","Cameroon","730","10"
"2020-04-10","Cameroon","730","10"
"2020-04-11","Cameroon","803","10"
"2020-04-12","Cameroon","820","11"
"2020-04-13","Cameroon","820","12"
"2020-04-14","Cameroon","820","12"
"2020-04-15","Cameroon","855","17"
"2020-04-16","Cameroon","855","17"
"2020-04-17","Cameroon","855","21"
"2020-04-18","Cameroon","1016","21"
"2020-04-19","Cameroon","1016","21"
"2020-04-20","Cameroon","1016","42"
"2020-04-21","Cameroon","1017","42"
"2020-04-22","Cameroon","1163","42"
"2020-04-23","Cameroon","1163","43"
"2020-04-24","Cameroon","1401","49"
"2020-04-25","Cameroon","1403","49"
"2020-04-26","Cameroon","1518","53"
"2020-04-27","Cameroon","1621","56"
"2020-04-28","Cameroon","1621","58"
"2020-04-29","Cameroon","1806","59"
"2020-04-30","Cameroon","1832","61"
"2020-05-01","Cameroon","1832","61"
"2020-05-02","Cameroon","2069","61"
"2020-05-03","Cameroon","2077","64"
"2020-05-04","Cameroon","2077","64"
"2020-05-05","Cameroon","2104","64"
"2020-05-06","Cameroon","2104","64"
"2020-05-07","Cameroon","2265","108"
"2020-05-08","Cameroon","2265","108"
"2020-05-09","Cameroon","2265","108"
"2020-05-10","Cameroon","2274","108"
"2020-05-11","Cameroon","2579","114"
"2020-05-12","Cameroon","2689","125"
"2020-05-13","Cameroon","2689","125"
"2020-05-14","Cameroon","2800","136"
"2020-05-15","Cameroon","2954","139"
"2020-05-16","Cameroon","3105","140"
"2020-05-17","Cameroon","3292","140"
"2020-05-18","Cameroon","3292","140"
"2020-05-19","Cameroon","3292","140"
"2020-05-20","Cameroon","3529","140"
"2020-05-21","Cameroon","3733","146"
"2020-05-22","Cameroon","4288","156"
"2020-05-23","Cameroon","4400","159"
"2020-05-24","Cameroon","4597","159"
"2020-05-25","Cameroon","4890","165"
"2020-05-26","Cameroon","5044","171"
"2020-05-27","Cameroon","5356","175"
"2020-05-28","Cameroon","5356","177"
"2020-05-29","Cameroon","5356","177"
"2020-05-30","Cameroon","5436","177"
"2020-05-31","Cameroon","5904","191"
"2020-06-01","Cameroon","5904","191"
"2020-06-02","Cameroon","6397","199"
"2020-06-03","Cameroon","6585","200"
"2020-06-04","Cameroon","6752","200"
"2020-06-05","Cameroon","6789","203"
"2020-06-06","Cameroon","7599","203"
"2020-06-07","Cameroon","7599","203"
"2020-06-08","Cameroon","7908","203"
"2020-06-09","Cameroon","8312","208"
"2020-06-10","Cameroon","8681","208"
"2020-06-11","Cameroon","8929","214"
"2020-06-12","Cameroon","8929","214"
"2020-06-13","Cameroon","9196","273"
"2020-06-14","Cameroon","9572","275"
"2020-06-15","Cameroon","9864","276"
"2020-06-16","Cameroon","9864","276"
"2020-06-17","Cameroon","9864","276"
"2020-06-18","Cameroon","9864","276"
"2020-06-19","Cameroon","10638","282"
"2020-06-20","Cameroon","11281","300"
"2020-06-21","Cameroon","11281","300"
"2020-06-22","Cameroon","11610","301"
"2020-06-23","Cameroon","11892","303"
"2020-06-24","Cameroon","12041","308"
