"date","location","total_cases","total_deaths"
"2020-03-21","Cape Verde",2,0
"2020-03-22","Cape Verde",3,0
"2020-03-23","Cape Verde",3,0
"2020-03-24","Cape Verde",3,0
"2020-03-25","Cape Verde",3,1
"2020-03-26","Cape Verde",4,1
"2020-03-27","Cape Verde",5,1
"2020-03-28","Cape Verde",5,1
"2020-03-29","Cape Verde",5,1
"2020-03-30","Cape Verde",5,1
"2020-03-31","Cape Verde",5,1
"2020-04-01","Cape Verde",6,1
"2020-04-02","Cape Verde",6,1
"2020-04-03","Cape Verde",6,1
"2020-04-04","Cape Verde",6,1
"2020-04-05","Cape Verde",7,1
"2020-04-06","Cape Verde",7,1
"2020-04-07","Cape Verde",7,1
"2020-04-08","Cape Verde",7,1
"2020-04-09","Cape Verde",7,1
"2020-04-10","Cape Verde",7,1
"2020-04-11","Cape Verde",7,1
"2020-04-12","Cape Verde",8,1
"2020-04-13","Cape Verde",10,1
"2020-04-14","Cape Verde",10,1
"2020-04-15","Cape Verde",11,1
"2020-04-16","Cape Verde",55,1
"2020-04-17","Cape Verde",55,1
"2020-04-18","Cape Verde",56,1
"2020-04-19","Cape Verde",58,1
"2020-04-20","Cape Verde",61,1
"2020-04-21","Cape Verde",67,1
"2020-04-22","Cape Verde",67,1
"2020-04-23","Cape Verde",73,1
"2020-04-24","Cape Verde",82,1
"2020-04-25","Cape Verde",88,1
"2020-04-26","Cape Verde",90,1
"2020-04-27","Cape Verde",106,1
"2020-04-28","Cape Verde",109,1
"2020-04-29","Cape Verde",113,1
"2020-04-30","Cape Verde",113,1
"2020-05-01","Cape Verde",121,1
"2020-05-02","Cape Verde",123,2
"2020-05-03","Cape Verde",152,2
"2020-05-04","Cape Verde",165,2
"2020-05-05","Cape Verde",175,2
"2020-05-06","Cape Verde",186,2
"2020-05-07","Cape Verde",191,2
"2020-05-08","Cape Verde",218,2
"2020-05-09","Cape Verde",230,2
"2020-05-10","Cape Verde",236,2
"2020-05-11","Cape Verde",246,2
"2020-05-12","Cape Verde",260,2
"2020-05-13","Cape Verde",270,2
"2020-05-14","Cape Verde",289,2
"2020-05-15","Cape Verde",315,2
"2020-05-16","Cape Verde",326,2
"2020-05-17","Cape Verde",328,3
"2020-05-18","Cape Verde",328,3
"2020-05-19","Cape Verde",328,3
"2020-05-20","Cape Verde",335,3
"2020-05-21","Cape Verde",349,3
"2020-05-22","Cape Verde",356,3
"2020-05-23","Cape Verde",362,3
"2020-05-24","Cape Verde",371,3
"2020-05-25","Cape Verde",380,3
"2020-05-26","Cape Verde",390,3
"2020-05-27","Cape Verde",390,4
"2020-05-28","Cape Verde",390,4
"2020-05-29","Cape Verde",390,4
"2020-05-30","Cape Verde",405,4
"2020-05-31","Cape Verde",421,4
"2020-06-01","Cape Verde",435,4
"2020-06-02","Cape Verde",458,4
"2020-06-03","Cape Verde",466,5
"2020-06-04","Cape Verde",477,5
"2020-06-05","Cape Verde",502,5
"2020-06-06","Cape Verde",536,5
"2020-06-07","Cape Verde",542,5
"2020-06-08","Cape Verde",554,5
"2020-06-09","Cape Verde",567,5
"2020-06-10","Cape Verde",585,5
"2020-06-11","Cape Verde",615,5
"2020-06-12","Cape Verde",657,6
"2020-06-13","Cape Verde",697,6
"2020-06-14","Cape Verde",726,6
"2020-06-15","Cape Verde",750,6
"2020-06-16","Cape Verde",760,7
"2020-06-17","Cape Verde",781,7
"2020-06-18","Cape Verde",792,7
"2020-06-19","Cape Verde",823,7
"2020-06-20","Cape Verde",848,8
"2020-06-21","Cape Verde",863,8
"2020-06-22","Cape Verde",890,8
"2020-06-23","Cape Verde",944,8
"2020-06-24","Cape Verde",982,8
"2020-06-25","Cape Verde",999,8
"2020-06-26","Cape Verde",1003,8
"2020-06-27","Cape Verde",1027,10
"2020-06-28","Cape Verde",1091,12
"2020-06-29","Cape Verde",1155,12
"2020-06-30","Cape Verde",1165,12
"2020-07-01","Cape Verde",1227,15
"2020-07-02","Cape Verde",1267,15
"2020-07-03","Cape Verde",1301,15
"2020-07-04","Cape Verde",1382,15
"2020-07-05","Cape Verde",1420,16
