"date","location","total_cases","total_deaths"
"2020-03-16","Congo",1,0
"2020-03-17","Congo",1,0
"2020-03-18","Congo",1,0
"2020-03-19","Congo",3,0
"2020-03-20","Congo",3,0
"2020-03-21","Congo",3,0
"2020-03-22","Congo",4,0
"2020-03-23","Congo",4,0
"2020-03-24","Congo",4,0
"2020-03-25","Congo",4,0
"2020-03-26","Congo",4,0
"2020-03-27","Congo",4,0
"2020-03-28","Congo",4,0
"2020-03-29","Congo",19,0
"2020-03-30","Congo",19,0
"2020-03-31","Congo",19,0
"2020-04-01","Congo",22,2
"2020-04-02","Congo",22,2
"2020-04-03","Congo",41,3
"2020-04-04","Congo",41,3
"2020-04-05","Congo",45,5
"2020-04-06","Congo",45,5
"2020-04-07","Congo",45,5
"2020-04-08","Congo",45,5
"2020-04-09","Congo",60,5
"2020-04-10","Congo",60,5
"2020-04-11","Congo",60,5
"2020-04-12","Congo",60,5
"2020-04-13","Congo",70,5
"2020-04-14","Congo",70,5
"2020-04-15","Congo",74,5
"2020-04-16","Congo",117,5
"2020-04-17","Congo",117,5
"2020-04-18","Congo",143,6
"2020-04-19","Congo",143,6
"2020-04-20","Congo",160,6
"2020-04-21","Congo",160,6
"2020-04-22","Congo",165,6
"2020-04-23","Congo",186,6
"2020-04-24","Congo",186,6
"2020-04-25","Congo",200,6
"2020-04-26","Congo",200,8
"2020-04-27","Congo",200,8
"2020-04-28","Congo",207,8
"2020-04-29","Congo",207,8
"2020-04-30","Congo",220,9
"2020-05-01","Congo",220,9
"2020-05-02","Congo",229,10
"2020-05-03","Congo",229,10
"2020-05-04","Congo",229,10
"2020-05-05","Congo",236,10
"2020-05-06","Congo",236,10
"2020-05-07","Congo",264,10
"2020-05-08","Congo",274,10
"2020-05-09","Congo",287,10
"2020-05-10","Congo",287,10
"2020-05-11","Congo",287,10
"2020-05-12","Congo",333,11
"2020-05-13","Congo",333,11
"2020-05-14","Congo",341,11
"2020-05-15","Congo",391,15
"2020-05-16","Congo",391,15
"2020-05-17","Congo",412,15
"2020-05-18","Congo",412,15
"2020-05-19","Congo",412,15
"2020-05-20","Congo",420,15
"2020-05-21","Congo",420,15
"2020-05-22","Congo",469,16
"2020-05-23","Congo",469,16
"2020-05-24","Congo",487,16
"2020-05-25","Congo",487,16
"2020-05-26","Congo",531,17
"2020-05-27","Congo",569,19
"2020-05-28","Congo",571,19
"2020-05-29","Congo",571,19
"2020-05-30","Congo",587,19
"2020-05-31","Congo",587,19
"2020-06-01","Congo",611,20
"2020-06-02","Congo",611,20
"2020-06-03","Congo",611,20
"2020-06-04","Congo",618,20
"2020-06-05","Congo",635,20
"2020-06-06","Congo",639,20
"2020-06-07","Congo",683,22
"2020-06-08","Congo",683,22
"2020-06-09","Congo",683,22
"2020-06-10","Congo",728,24
"2020-06-11","Congo",745,25
"2020-06-12","Congo",745,25
"2020-06-13","Congo",745,25
"2020-06-14","Congo",779,25
"2020-06-15","Congo",779,25
"2020-06-16","Congo",883,27
"2020-06-17","Congo",883,27
"2020-06-18","Congo",883,27
"2020-06-19","Congo",883,27
"2020-06-20","Congo",883,27
"2020-06-21","Congo",1013,28
"2020-06-22","Congo",1013,28
"2020-06-23","Congo",1087,37
"2020-06-24","Congo",1087,37
"2020-06-25","Congo",1087,37
"2020-06-26","Congo",1204,38
"2020-06-27","Congo",1204,38
"2020-06-28","Congo",1245,40
"2020-06-29","Congo",1245,40
"2020-06-30","Congo",1245,40
"2020-07-01","Congo",1245,40
"2020-07-02","Congo",1382,41
"2020-07-03","Congo",1382,41
"2020-07-04","Congo",1557,44
"2020-07-05","Congo",1557,44
