"date","location","total_cases","total_deaths"
"2020-03-12","Cote d'Ivoire","1","0"
"2020-03-13","Cote d'Ivoire","   1"," 0"
"2020-03-14","Cote d'Ivoire","   1"," 0"
"2020-03-15","Cote d'Ivoire","4","0"
"2020-03-16","Cote d'Ivoire","4","0"
"2020-03-17","Cote d'Ivoire","5","0"
"2020-03-18","Cote d'Ivoire","5","0"
"2020-03-19","Cote d'Ivoire","6","0"
"2020-03-20","Cote d'Ivoire","9","0"
"2020-03-21","Cote d'Ivoire","14","0"
"2020-03-22","Cote d'Ivoire","17","0"
"2020-03-23","Cote d'Ivoire","25","0"
"2020-03-24","Cote d'Ivoire","25","0"
"2020-03-25","Cote d'Ivoire","73","0"
"2020-03-26","Cote d'Ivoire","80","0"
"2020-03-27","Cote d'Ivoire","96","0"
"2020-03-28","Cote d'Ivoire","101","0"
"2020-03-29","Cote d'Ivoire","140","0"
"2020-03-30","Cote d'Ivoire","165","1"
"2020-03-31","Cote d'Ivoire","168","1"
"2020-04-01","Cote d'Ivoire","168","1"
"2020-04-02","Cote d'Ivoire","190","1"
"2020-04-03","Cote d'Ivoire","194","1"
"2020-04-04","Cote d'Ivoire","218","1"
"2020-04-05","Cote d'Ivoire","245","2"
"2020-04-06","Cote d'Ivoire","261","3"
"2020-04-07","Cote d'Ivoire","323","3"
"2020-04-08","Cote d'Ivoire","349","3"
"2020-04-09","Cote d'Ivoire","384","3"
"2020-04-10","Cote d'Ivoire","444","3"
"2020-04-11","Cote d'Ivoire","480","3"
"2020-04-12","Cote d'Ivoire","533","4"
"2020-04-13","Cote d'Ivoire","574","5"
"2020-04-14","Cote d'Ivoire","626","6"
"2020-04-15","Cote d'Ivoire","626","6"
"2020-04-16","Cote d'Ivoire","654","6"
"2020-04-17","Cote d'Ivoire","688","6"
"2020-04-18","Cote d'Ivoire","742","6"
"2020-04-19","Cote d'Ivoire","801","8"
"2020-04-20","Cote d'Ivoire","847","9"
"2020-04-21","Cote d'Ivoire","879","10"
"2020-04-22","Cote d'Ivoire","916","13"
"2020-04-23","Cote d'Ivoire","952","14"
"2020-04-24","Cote d'Ivoire","1004","14"
"2020-04-25","Cote d'Ivoire","1077","14"
"2020-04-26","Cote d'Ivoire","1111","14"
"2020-04-27","Cote d'Ivoire","1150","14"
"2020-04-28","Cote d'Ivoire","1164","14"
"2020-04-29","Cote d'Ivoire","1183","14"
"2020-04-30","Cote d'Ivoire","1238","14"
"2020-05-01","Cote d'Ivoire","1275","14"
"2020-05-02","Cote d'Ivoire","1333","15"
"2020-05-03","Cote d'Ivoire","1362","15"
"2020-05-04","Cote d'Ivoire","1398","17"
"2020-05-05","Cote d'Ivoire","1432","17"
"2020-05-06","Cote d'Ivoire","1464","18"
"2020-05-07","Cote d'Ivoire","1516","18"
"2020-05-08","Cote d'Ivoire","1571","20"
"2020-05-09","Cote d'Ivoire","1602","20"
"2020-05-10","Cote d'Ivoire","1667","21"
"2020-05-11","Cote d'Ivoire","1700","21"
"2020-05-12","Cote d'Ivoire","1730","21"
"2020-05-13","Cote d'Ivoire","1857","21"
"2020-05-14","Cote d'Ivoire","1912","24"
"2020-05-15","Cote d'Ivoire","1971","24"
"2020-05-16","Cote d'Ivoire","2017","24"
"2020-05-17","Cote d'Ivoire","2061","25"
"2020-05-18","Cote d'Ivoire","2109","27"
"2020-05-19","Cote d'Ivoire","2119","28"
"2020-05-20","Cote d'Ivoire","2153","28"
"2020-05-21","Cote d'Ivoire","2231","29"
"2020-05-22","Cote d'Ivoire","2231","29"
"2020-05-23","Cote d'Ivoire","2301","29"
"2020-05-24","Cote d'Ivoire","2366","30"
"2020-05-25","Cote d'Ivoire","2376","30"
"2020-05-26","Cote d'Ivoire","2423","30"
"2020-05-27","Cote d'Ivoire","2477","30"
"2020-05-28","Cote d'Ivoire","2556","31"
"2020-05-29","Cote d'Ivoire","2641","32"
"2020-05-30","Cote d'Ivoire","2750","32"
"2020-05-31","Cote d'Ivoire","2799","33"
"2020-06-01","Cote d'Ivoire","2833","33"
"2020-06-02","Cote d'Ivoire","2951","33"
"2020-06-03","Cote d'Ivoire","3024","33"
"2020-06-04","Cote d'Ivoire","3024","33"
"2020-06-05","Cote d'Ivoire","3262","35"
"2020-06-06","Cote d'Ivoire","3431","36"
"2020-06-07","Cote d'Ivoire","3557","36"
"2020-06-08","Cote d'Ivoire","3739","36"
"2020-06-09","Cote d'Ivoire","3881","38"
"2020-06-10","Cote d'Ivoire","3995","38"
"2020-06-11","Cote d'Ivoire","4181","41"
"2020-06-12","Cote d'Ivoire","4404","41"
"2020-06-13","Cote d'Ivoire","4684","45"
"2020-06-14","Cote d'Ivoire","4848","45"
"2020-06-15","Cote d'Ivoire","5084","45"
"2020-06-16","Cote d'Ivoire","5439","46"
"2020-06-17","Cote d'Ivoire","5679","46"
"2020-06-18","Cote d'Ivoire","6063","48"
"2020-06-19","Cote d'Ivoire","6063","48"
"2020-06-20","Cote d'Ivoire","6444","49"
"2020-06-21","Cote d'Ivoire","6874","49"
"2020-06-22","Cote d'Ivoire","7492","51"
"2020-06-23","Cote d'Ivoire","7492","54"
"2020-06-24","Cote d'Ivoire","7904","58"
