"date","location","total_cases","total_deaths"
"2020-03-19","Djibouti",1,0
"2020-03-20","Djibouti",1,0
"2020-03-21","Djibouti",1,0
"2020-03-22","Djibouti",1,0
"2020-03-23","Djibouti",1,0
"2020-03-24","Djibouti",3,0
"2020-03-25","Djibouti",3,0
"2020-03-26","Djibouti",12,0
"2020-03-27","Djibouti",12,0
"2020-03-28","Djibouti",13,0
"2020-03-29","Djibouti",15,0
"2020-03-30","Djibouti",19,0
"2020-03-31","Djibouti",26,0
"2020-04-01","Djibouti",31,0
"2020-04-02","Djibouti",34,0
"2020-04-03","Djibouti",41,0
"2020-04-04","Djibouti",41,0
"2020-04-05","Djibouti",51,0
"2020-04-06","Djibouti",59,0
"2020-04-07","Djibouti",90,0
"2020-04-08","Djibouti",121,0
"2020-04-09","Djibouti",135,0
"2020-04-10","Djibouti",140,1
"2020-04-11","Djibouti",150,1
"2020-04-12","Djibouti",187,2
"2020-04-13","Djibouti",214,2
"2020-04-14","Djibouti",298,2
"2020-04-15","Djibouti",363,2
"2020-04-16","Djibouti",435,2
"2020-04-17","Djibouti",591,2
"2020-04-18","Djibouti",732,2
"2020-04-19","Djibouti",732,2
"2020-04-20","Djibouti",846,2
"2020-04-21","Djibouti",846,2
"2020-04-22","Djibouti",945,2
"2020-04-23","Djibouti",974,2
"2020-04-24","Djibouti",986,2
"2020-04-25","Djibouti",999,2
"2020-04-26","Djibouti",1008,2
"2020-04-27","Djibouti",1023,2
"2020-04-28","Djibouti",1035,2
"2020-04-29","Djibouti",1072,2
"2020-04-30","Djibouti",1077,2
"2020-05-01","Djibouti",1089,2
"2020-05-02","Djibouti",1097,2
"2020-05-03","Djibouti",1112,2
"2020-05-04","Djibouti",1112,2
"2020-05-05","Djibouti",1116,2
"2020-05-06","Djibouti",1120,2
"2020-05-07","Djibouti",1120,3
"2020-05-08","Djibouti",1133,3
"2020-05-09","Djibouti",1135,3
"2020-05-10","Djibouti",1189,3
"2020-05-11","Djibouti",1210,3
"2020-05-12","Djibouti",1227,3
"2020-05-13","Djibouti",1256,3
"2020-05-14","Djibouti",1268,3
"2020-05-15","Djibouti",1284,3
"2020-05-16","Djibouti",1309,4
"2020-05-17","Djibouti",1331,4
"2020-05-18","Djibouti",1401,4
"2020-05-19","Djibouti",1518,7
"2020-05-20","Djibouti",1518,7
"2020-05-21","Djibouti",1828,9
"2020-05-22","Djibouti",2047,10
"2020-05-23","Djibouti",2270,10
"2020-05-24","Djibouti",2270,10
"2020-05-25","Djibouti",2270,10
"2020-05-26","Djibouti",2468,14
"2020-05-27","Djibouti",2468,14
"2020-05-28","Djibouti",2697,18
"2020-05-29","Djibouti",2914,20
"2020-05-30","Djibouti",2914,20
"2020-05-31","Djibouti",3194,22
"2020-06-01","Djibouti",3354,24
"2020-06-02","Djibouti",3569,24
"2020-06-03","Djibouti",3779,25
"2020-06-04","Djibouti",3935,26
"2020-06-05","Djibouti",4054,26
"2020-06-06","Djibouti",4123,26
"2020-06-07","Djibouti",4169,26
"2020-06-08","Djibouti",4207,28
"2020-06-09","Djibouti",4278,31
"2020-06-10","Djibouti",4331,34
"2020-06-11","Djibouti",4373,34
"2020-06-12","Djibouti",4398,37
"2020-06-13","Djibouti",4441,38
"2020-06-14","Djibouti",4449,41
"2020-06-15","Djibouti",4465,43
"2020-06-16","Djibouti",4501,43
"2020-06-17","Djibouti",4539,43
"2020-06-18","Djibouti",4545,43
"2020-06-19","Djibouti",4557,43
"2020-06-20","Djibouti",4565,45
"2020-06-21","Djibouti",4565,45
"2020-06-22","Djibouti",4582,45
"2020-06-23","Djibouti",4599,48
"2020-06-24","Djibouti",4617,49
