"date","location","total_cases","total_deaths"
"2019-12-31","Egypt",0,0
"2020-01-01","Egypt",0,0
"2020-01-02","Egypt",0,0
"2020-01-03","Egypt",0,0
"2020-01-04","Egypt",0,0
"2020-01-05","Egypt",0,0
"2020-01-06","Egypt",0,0
"2020-01-07","Egypt",0,0
"2020-01-08","Egypt",0,0
"2020-01-09","Egypt",0,0
"2020-01-10","Egypt",0,0
"2020-01-11","Egypt",0,0
"2020-01-12","Egypt",0,0
"2020-01-13","Egypt",0,0
"2020-01-14","Egypt",0,0
"2020-01-15","Egypt",0,0
"2020-01-16","Egypt",0,0
"2020-01-17","Egypt",0,0
"2020-01-18","Egypt",0,0
"2020-01-19","Egypt",0,0
"2020-01-20","Egypt",0,0
"2020-01-21","Egypt",0,0
"2020-01-22","Egypt",0,0
"2020-01-23","Egypt",0,0
"2020-01-24","Egypt",0,0
"2020-01-25","Egypt",0,0
"2020-01-26","Egypt",0,0
"2020-01-27","Egypt",0,0
"2020-01-28","Egypt",0,0
"2020-01-29","Egypt",0,0
"2020-01-30","Egypt",0,0
"2020-01-31","Egypt",0,0
"2020-02-01","Egypt",0,0
"2020-02-02","Egypt",0,0
"2020-02-03","Egypt",0,0
"2020-02-04","Egypt",0,0
"2020-02-05","Egypt",0,0
"2020-02-06","Egypt",0,0
"2020-02-07","Egypt",0,0
"2020-02-08","Egypt",0,0
"2020-02-09","Egypt",0,0
"2020-02-10","Egypt",0,0
"2020-02-11","Egypt",0,0
"2020-02-12","Egypt",0,0
"2020-02-13","Egypt",0,0
"2020-02-14","Egypt",0,0
"2020-02-15","Egypt",1,0
"2020-02-16","Egypt",1,0
"2020-02-17","Egypt",1,0
"2020-02-18","Egypt",1,0
"2020-02-19","Egypt",1,0
"2020-02-20","Egypt",1,0
"2020-02-21","Egypt",1,0
"2020-02-22","Egypt",1,0
"2020-02-23","Egypt",1,0
"2020-02-24","Egypt",1,0
"2020-02-25","Egypt",1,0
"2020-02-26","Egypt",1,0
"2020-02-27","Egypt",1,0
"2020-02-28","Egypt",1,0
"2020-02-29","Egypt",1,0
"2020-03-01","Egypt",1,0
"2020-03-02","Egypt",2,0
"2020-03-03","Egypt",2,0
"2020-03-04","Egypt",2,0
"2020-03-05","Egypt",2,0
"2020-03-06","Egypt",3,0
"2020-03-07","Egypt",15,0
"2020-03-08","Egypt",15,0
"2020-03-09","Egypt",49,1
"2020-03-10","Egypt",55,1
"2020-03-11","Egypt",59,1
"2020-03-12","Egypt",60,1
"2020-03-13","Egypt",80,2
"2020-03-14","Egypt",93,2
"2020-03-15","Egypt",93,2
"2020-03-16","Egypt",110,2
"2020-03-17","Egypt",126,2
"2020-03-18","Egypt",166,4
"2020-03-19","Egypt",196,6
"2020-03-20","Egypt",210,6
"2020-03-21","Egypt",256,7
"2020-03-22","Egypt",285,8
"2020-03-23","Egypt",294,10
"2020-03-24","Egypt",327,14
"2020-03-25","Egypt",366,19
"2020-03-26","Egypt",442,21
"2020-03-27","Egypt",456,21
"2020-03-28","Egypt",495,24
"2020-03-29","Egypt",536,30
"2020-03-30","Egypt",576,36
"2020-03-31","Egypt",609,40
"2020-04-01","Egypt",656,41
"2020-04-02","Egypt",710,46
"2020-04-03","Egypt",779,52
"2020-04-04","Egypt",779,52
"2020-04-05","Egypt",985,66
"2020-04-06","Egypt",1070,71
"2020-04-07","Egypt",1073,78
"2020-04-08","Egypt",1322,85
"2020-04-09","Egypt",1560,103
"2020-04-10","Egypt",1699,118
"2020-04-11","Egypt",1794,135
"2020-04-12","Egypt",1939,146
"2020-04-13","Egypt",2065,159
"2020-04-14","Egypt",2190,164
"2020-04-15","Egypt",2350,178
"2020-04-16","Egypt",2505,183
"2020-04-17","Egypt",2673,196
"2020-04-18","Egypt",2844,205
"2020-04-19","Egypt",3032,224
"2020-04-20","Egypt",3144,239
"2020-04-21","Egypt",3333,250
"2020-04-22","Egypt",3490,264
"2020-04-23","Egypt",3490,264
"2020-04-24","Egypt",3659,276
"2020-04-25","Egypt",4092,294
"2020-04-26","Egypt",4319,307
"2020-04-27","Egypt",4319,307
"2020-04-28","Egypt",4782,337
"2020-04-29","Egypt",5042,359
"2020-04-30","Egypt",5268,380
"2020-05-01","Egypt",5537,392
"2020-05-02","Egypt",5895,406
"2020-05-03","Egypt",6193,415
"2020-05-04","Egypt",6465,429
"2020-05-05","Egypt",6813,436
"2020-05-06","Egypt",7201,452
"2020-05-07","Egypt",7588,469
"2020-05-08","Egypt",7981,482
"2020-05-09","Egypt",8476,503
"2020-05-10","Egypt",8964,514
"2020-05-11","Egypt",9400,525
"2020-05-12","Egypt",9746,533
"2020-05-13","Egypt",10093,544
"2020-05-14","Egypt",10431,556
"2020-05-15","Egypt",10829,571
"2020-05-16","Egypt",11228,592
"2020-05-17","Egypt",11719,612
"2020-05-18","Egypt",12229,630
"2020-05-19","Egypt",12764,645
"2020-05-20","Egypt",13484,659
"2020-05-21","Egypt",14229,680
"2020-05-22","Egypt",15003,696
"2020-05-23","Egypt",15786,707
"2020-05-24","Egypt",16613,735
"2020-05-25","Egypt",17265,764
"2020-05-26","Egypt",17967,783
"2020-05-27","Egypt",18756,797
"2020-05-28","Egypt",19666,816
"2020-05-29","Egypt",20793,845
"2020-05-30","Egypt",22082,879
"2020-05-31","Egypt",23449,913
"2020-06-01","Egypt",24985,959
"2020-06-02","Egypt",26384,1005
"2020-06-03","Egypt",27536,1052
"2020-06-04","Egypt",28615,1088
"2020-06-05","Egypt",29767,1126
"2020-06-06","Egypt",31115,1166
"2020-06-07","Egypt",32612,1198
"2020-06-08","Egypt",34079,1237
"2020-06-09","Egypt",35444,1271
"2020-06-10","Egypt",36829,1306
"2020-06-11","Egypt",38284,1342
"2020-06-12","Egypt",39726,1377
"2020-06-13","Egypt",41304,1422
"2020-06-14","Egypt",42980,1484
"2020-06-15","Egypt",44598,1575
"2020-06-16","Egypt",46289,1672
"2020-06-17","Egypt",47856,1766
"2020-06-18","Egypt",49219,1850
"2020-06-19","Egypt",50437,1938
"2020-06-20","Egypt",52211,2017
"2020-06-21","Egypt",53758,2106
"2020-06-22","Egypt",55233,2193
"2020-06-23","Egypt",56809,2278
"2020-06-24","Egypt",58141,2365
"2020-06-25","Egypt",58141,2365
"2020-06-26","Egypt",61130,2533
"2020-06-27","Egypt",62755,2620
"2020-06-28","Egypt",63923,2708
"2020-06-29","Egypt",65188,2789
"2020-06-30","Egypt",66754,2872
"2020-07-01","Egypt",68311,2953
"2020-07-02","Egypt",69814,3034
"2020-07-03","Egypt",71299,3120
"2020-07-04","Egypt",72711,3201
"2020-07-05","Egypt",74035,3280
