"date","location","total_cases","total_deaths"
"2020-03-12","Honduras",2,0
"2020-03-13","Honduras",2,0
"2020-03-14","Honduras",3,0
"2020-03-15","Honduras",3,0
"2020-03-16","Honduras",6,0
"2020-03-17","Honduras",8,0
"2020-03-18","Honduras",9,0
"2020-03-19","Honduras",12,0
"2020-03-20","Honduras",24,0
"2020-03-21","Honduras",24,0
"2020-03-22","Honduras",26,0
"2020-03-23","Honduras",27,0
"2020-03-24","Honduras",30,0
"2020-03-25","Honduras",36,0
"2020-03-26","Honduras",52,0
"2020-03-27","Honduras",67,1
"2020-03-28","Honduras",95,1
"2020-03-29","Honduras",110,2
"2020-03-30","Honduras",139,3
"2020-03-31","Honduras",141,7
"2020-04-01","Honduras",172,10
"2020-04-02","Honduras",219,14
"2020-04-03","Honduras",222,15
"2020-04-04","Honduras",264,15
"2020-04-05","Honduras",268,22
"2020-04-06","Honduras",298,22
"2020-04-07","Honduras",305,22
"2020-04-08","Honduras",312,22
"2020-04-09","Honduras",343,23
"2020-04-10","Honduras",382,23
"2020-04-11","Honduras",392,24
"2020-04-12","Honduras",393,25
"2020-04-13","Honduras",397,25
"2020-04-14","Honduras",407,26
"2020-04-15","Honduras",419,31
"2020-04-16","Honduras",426,35
"2020-04-17","Honduras",442,41
"2020-04-18","Honduras",457,46
"2020-04-19","Honduras",472,46
"2020-04-20","Honduras",477,46
"2020-04-21","Honduras",494,46
"2020-04-22","Honduras",510,46
"2020-04-23","Honduras",519,47
"2020-04-24","Honduras",519,47
"2020-04-25","Honduras",591,47
"2020-04-26","Honduras",627,59
"2020-04-27","Honduras",661,61
"2020-04-28","Honduras",693,61
"2020-04-29","Honduras",738,66
"2020-04-30","Honduras",771,71
"2020-05-01","Honduras",804,75
"2020-05-02","Honduras",899,75
"2020-05-03","Honduras",1010,76
"2020-05-04","Honduras",1055,82
"2020-05-05","Honduras",1178,82
"2020-05-06","Honduras",1270,93
"2020-05-07","Honduras",1461,99
"2020-05-08","Honduras",1685,105
"2020-05-09","Honduras",1771,107
"2020-05-10","Honduras",1830,108
"2020-05-11","Honduras",1972,108
"2020-05-12","Honduras",2006,116
"2020-05-13","Honduras",2080,121
"2020-05-14","Honduras",2255,123
"2020-05-15","Honduras",2318,133
"2020-05-16","Honduras",2460,134
"2020-05-17","Honduras",2565,138
"2020-05-18","Honduras",2646,142
"2020-05-19","Honduras",2798,146
"2020-05-20","Honduras",2955,147
"2020-05-21","Honduras",3100,151
"2020-05-22","Honduras",3204,156
"2020-05-23","Honduras",3477,167
"2020-05-24","Honduras",3743,174
"2020-05-25","Honduras",3950,180
"2020-05-26","Honduras",4189,182
"2020-05-27","Honduras",4401,188
"2020-05-28","Honduras",4640,194
"2020-05-29","Honduras",4752,196
"2020-05-30","Honduras",4886,199
"2020-05-31","Honduras",5094,201
"2020-06-01","Honduras",5202,212
"2020-06-02","Honduras",5362,217
"2020-06-03","Honduras",5527,225
"2020-06-04","Honduras",5690,234
"2020-06-05","Honduras",5880,243
"2020-06-06","Honduras",5971,248
"2020-06-07","Honduras",6155,250
"2020-06-08","Honduras",6327,258
"2020-06-09","Honduras",6450,262
"2020-06-10","Honduras",6935,271
"2020-06-11","Honduras",7360,290
"2020-06-12","Honduras",7669,294
"2020-06-13","Honduras",8132,306
"2020-06-14","Honduras",8455,310
"2020-06-15","Honduras",8858,312
"2020-06-16","Honduras",9178,322
"2020-06-17","Honduras",9656,330
"2020-06-18","Honduras",10299,336
"2020-06-19","Honduras",10739,343
"2020-06-20","Honduras",11258,349
"2020-06-21","Honduras",12250,358
"2020-06-22","Honduras",12769,363
"2020-06-23","Honduras",13356,395
"2020-06-24","Honduras",13943,405
"2020-06-25","Honduras",14571,417
"2020-06-26","Honduras",15366,426
"2020-06-27","Honduras",15994,471
"2020-06-28","Honduras",17007,479
"2020-06-29","Honduras",18082,479
"2020-06-30","Honduras",18818,485
"2020-07-01","Honduras",19558,497
"2020-07-02","Honduras",20262,542
"2020-07-03","Honduras",21120,591
"2020-07-04","Honduras",22116,605
"2020-07-05","Honduras",22921,629
