"date","location","total_cases","total_deaths"
"2019-12-31","Indonesia",0,0
"2020-01-01","Indonesia",0,0
"2020-01-02","Indonesia",0,0
"2020-01-03","Indonesia",0,0
"2020-01-04","Indonesia",0,0
"2020-01-05","Indonesia",0,0
"2020-01-06","Indonesia",0,0
"2020-01-07","Indonesia",0,0
"2020-01-08","Indonesia",0,0
"2020-01-09","Indonesia",0,0
"2020-01-10","Indonesia",0,0
"2020-01-11","Indonesia",0,0
"2020-01-12","Indonesia",0,0
"2020-01-13","Indonesia",0,0
"2020-01-14","Indonesia",0,0
"2020-01-15","Indonesia",0,0
"2020-01-16","Indonesia",0,0
"2020-01-17","Indonesia",0,0
"2020-01-18","Indonesia",0,0
"2020-01-19","Indonesia",0,0
"2020-01-20","Indonesia",0,0
"2020-01-21","Indonesia",0,0
"2020-01-22","Indonesia",0,0
"2020-01-23","Indonesia",0,0
"2020-01-24","Indonesia",0,0
"2020-01-25","Indonesia",0,0
"2020-01-26","Indonesia",0,0
"2020-01-27","Indonesia",0,0
"2020-01-28","Indonesia",0,0
"2020-01-29","Indonesia",0,0
"2020-01-30","Indonesia",0,0
"2020-01-31","Indonesia",0,0
"2020-02-01","Indonesia",0,0
"2020-02-02","Indonesia",0,0
"2020-02-03","Indonesia",0,0
"2020-02-04","Indonesia",0,0
"2020-02-05","Indonesia",0,0
"2020-02-06","Indonesia",0,0
"2020-02-07","Indonesia",0,0
"2020-02-08","Indonesia",0,0
"2020-02-09","Indonesia",0,0
"2020-02-10","Indonesia",0,0
"2020-02-11","Indonesia",0,0
"2020-02-12","Indonesia",0,0
"2020-02-13","Indonesia",0,0
"2020-02-14","Indonesia",0,0
"2020-02-15","Indonesia",0,0
"2020-02-16","Indonesia",0,0
"2020-02-17","Indonesia",0,0
"2020-02-18","Indonesia",0,0
"2020-02-19","Indonesia",0,0
"2020-02-20","Indonesia",0,0
"2020-02-21","Indonesia",0,0
"2020-02-22","Indonesia",0,0
"2020-02-23","Indonesia",0,0
"2020-02-24","Indonesia",0,0
"2020-02-25","Indonesia",0,0
"2020-02-26","Indonesia",0,0
"2020-02-27","Indonesia",0,0
"2020-02-28","Indonesia",0,0
"2020-02-29","Indonesia",0,0
"2020-03-01","Indonesia",0,0
"2020-03-02","Indonesia",2,0
"2020-03-03","Indonesia",2,0
"2020-03-04","Indonesia",2,0
"2020-03-05","Indonesia",2,0
"2020-03-06","Indonesia",2,0
"2020-03-07","Indonesia",4,0
"2020-03-08","Indonesia",4,0
"2020-03-09","Indonesia",6,0
"2020-03-10","Indonesia",6,0
"2020-03-11","Indonesia",19,0
"2020-03-12","Indonesia",34,1
"2020-03-13","Indonesia",34,1
"2020-03-14","Indonesia",69,4
"2020-03-15","Indonesia",96,4
