"date","location","total_cases","total_deaths"
"06-03-2020","Kenya",0,0
"07-03-2020","Kenya",0,0
"08-03-2020","Kenya",0,0
"09-03-2020","Kenya",0,0
"10-03-2020","Kenya",0,0
"11-03-2020","Kenya",0,0
"12-03-2020","Kenya",0,0
"13-03-2020","Kenya",0,0
"14-03-2020","Kenya",1,0
"15-03-2020","Kenya",1,0
"16-03-2020","Kenya",3,0
"17-03-2020","Kenya",3,0
"18-03-2020","Kenya",4,0
"19-03-2020","Kenya",7,0
"20-03-2020","Kenya",7,0
"21-03-2020","Kenya",7,0
"22-03-2020","Kenya",7,0
"23-03-2020","Kenya",15,0
"24-03-2020","Kenya",16,0
"25-03-2020","Kenya",25,0
"26-03-2020","Kenya",25,0
"27-03-2020","Kenya",31,1
"28-03-2020","Kenya",31,1
"29-03-2020","Kenya",38,1
"30-03-2020","Kenya",42,1
"31-03-2020","Kenya",50,1
"01-04-2020","Kenya",59,1
"02-04-2020","Kenya",81,1
"03-04-2020","Kenya",110,3
"04-04-2020","Kenya",122,4
"05-04-2020","Kenya",126,4
"06-04-2020","Kenya",142,4
"07-04-2020","Kenya",158,4
"08-04-2020","Kenya",172,6
"09-04-2020","Kenya",179,6
"10-04-2020","Kenya",184,7
"11-04-2020","Kenya",189,7
"12-04-2020","Kenya",191,7
"13-04-2020","Kenya",197,8
"14-04-2020","Kenya",208,9
"15-04-2020","Kenya",216,9
"16-04-2020","Kenya",225,10
"17-04-2020","Kenya",234,11
"18-04-2020","Kenya",246,11
"19-04-2020","Kenya",262,12
"20-04-2020","Kenya",270,14
"21-04-2020","Kenya",281,14
"22-04-2020","Kenya",281,14
"23-04-2020","Kenya",303,14
"24-04-2020","Kenya",320,14
"25-04-2020","Kenya",336,14
"26-04-2020","Kenya",343,14
"27-04-2020","Kenya",355,14
"28-04-2020","Kenya",363,14
"29-04-2020","Kenya",374,14
"30-04-2020","Kenya",384,15
"01-05-2020","Kenya",396,17
"02-05-2020","Kenya",411,21
"03-05-2020","Kenya",435,22
"04-05-2020","Kenya",465,24
"05-05-2020","Kenya",490,24
"06-05-2020","Kenya",535,24
"07-05-2020","Kenya",582,26
"08-05-2020","Kenya",607,29
"09-05-2020","Kenya",621,29
"10-05-2020","Kenya",649,30
"11-05-2020","Kenya",672,32
"12-05-2020","Kenya",700,33
"13-05-2020","Kenya",715,36
"14-05-2020","Kenya",737,40
"15-05-2020","Kenya",758,42
"16-05-2020","Kenya",781,45
"17-05-2020","Kenya",830,50
"18-05-2020","Kenya",887,50
"19-05-2020","Kenya",912,50
"20-05-2020","Kenya",963,50
"21-05-2020","Kenya",1029,50
"22-05-2020","Kenya",1109,50
"23-05-2020","Kenya",1161,50
"24-05-2020","Kenya",1192,50
"25-05-2020","Kenya",1214,51
"26-05-2020","Kenya",1286,52
"27-05-2020","Kenya",1348,52
"28-05-2020","Kenya",1471,55
"29-05-2020","Kenya",1618,58
"30-05-2020","Kenya",1745,62
"31-05-2020","Kenya",1888,63
"01-06-2020","Kenya",1962,64
"02-06-2020","Kenya",2021,69
"03-06-2020","Kenya",2093,71
"04-06-2020","Kenya",2216,74
"05-06-2020","Kenya",2340,78
"06-06-2020","Kenya",2474,79
"07-06-2020","Kenya",2600,83
"08-06-2020","Kenya",2767,84
"09-06-2020","Kenya",2862,85
"10-06-2020","Kenya",2989,88
"11-06-2020","Kenya",3094,89
"12-06-2020","Kenya",3215,92
"13-06-2020","Kenya",3305,96
"14-06-2020","Kenya",3457,100
"15-06-2020","Kenya",3594,103
"16-06-2020","Kenya",3727,104
"17-06-2020","Kenya",3860,105
"18-06-2020","Kenya",4044,107
"19-06-2020","Kenya",4257,117
"20-06-2020","Kenya",4374,119
"21-06-2020","Kenya",4478,121
"22-06-2020","Kenya",4738,123
"23-06-2020","Kenya",4797,125
"24-06-2020","Kenya",4952,128
"25-06-2020","Kenya",5206,130
"26-06-2020","Kenya",5384,132
"27-06-2020","Kenya",5533,137
"28-06-2020","Kenya",5811,141
"29-06-2020","Kenya",6070,143
"30-06-2020","Kenya",6190,144
"01-07-2020","Kenya",6366,148
"02-07-2020","Kenya",6673,149
"03-07-2020","Kenya",6941,152
"04-07-2020","Kenya",7188,154
"05-07-2020","Kenya",7577,159
