date,location,total_cases,total_deaths
2020-03-19,Kyrgyzstan,3,0
2020-03-20,Kyrgyzstan,6,0
2020-03-21,Kyrgyzstan,6,0
2020-03-22,Kyrgyzstan,14,0
2020-03-23,Kyrgyzstan,14,0
2020-03-24,Kyrgyzstan,16,0
2020-03-25,Kyrgyzstan,42,0
2020-03-26,Kyrgyzstan,44,0
2020-03-27,Kyrgyzstan,44,0
2020-03-28,Kyrgyzstan,58,0
2020-03-29,Kyrgyzstan,84,0
2020-03-30,Kyrgyzstan,84,0
2020-03-31,Kyrgyzstan,84,0
2020-04-01,Kyrgyzstan,107,0
2020-04-02,Kyrgyzstan,112,1
2020-04-03,Kyrgyzstan,125,1
2020-04-04,Kyrgyzstan,144,1
2020-04-05,Kyrgyzstan,144,1
2020-04-06,Kyrgyzstan,216,4
2020-04-07,Kyrgyzstan,228,4
2020-04-08,Kyrgyzstan,270,4
2020-04-09,Kyrgyzstan,280,4
2020-04-10,Kyrgyzstan,298,5
2020-04-11,Kyrgyzstan,339,5
2020-04-12,Kyrgyzstan,377,5
2020-04-13,Kyrgyzstan,419,5
2020-04-14,Kyrgyzstan,430,5
2020-04-15,Kyrgyzstan,449,5
2020-04-16,Kyrgyzstan,466,5
2020-04-17,Kyrgyzstan,489,5
2020-04-18,Kyrgyzstan,506,5
2020-04-19,Kyrgyzstan,554,5
2020-04-20,Kyrgyzstan,568,7
2020-04-21,Kyrgyzstan,590,7
2020-04-22,Kyrgyzstan,612,7
2020-04-23,Kyrgyzstan,631,8
2020-04-24,Kyrgyzstan,656,8
2020-04-25,Kyrgyzstan,665,8
2020-04-26,Kyrgyzstan,682,8
2020-04-27,Kyrgyzstan,695,8
2020-04-28,Kyrgyzstan,708,8
2020-04-29,Kyrgyzstan,729,8
2020-04-30,Kyrgyzstan,746,8
2020-05-01,Kyrgyzstan,746,8
2020-05-02,Kyrgyzstan,769,8
2020-05-03,Kyrgyzstan,795,10
2020-05-04,Kyrgyzstan,830,10
2020-05-05,Kyrgyzstan,843,11
2020-05-06,Kyrgyzstan,871,12
2020-05-07,Kyrgyzstan,895,12
2020-05-08,Kyrgyzstan,906,12
2020-05-09,Kyrgyzstan,931,12
2020-05-10,Kyrgyzstan,1002,12
2020-05-11,Kyrgyzstan,1016,12
2020-05-12,Kyrgyzstan,1037,12
2020-05-13,Kyrgyzstan,1044,12
2020-05-14,Kyrgyzstan,1082,12
2020-05-15,Kyrgyzstan,1111,14
2020-05-16,Kyrgyzstan,1117,14
2020-05-17,Kyrgyzstan,1138,14
2020-05-18,Kyrgyzstan,1216,14
2020-05-19,Kyrgyzstan,1243,14
2020-05-20,Kyrgyzstan,1270,14
2020-05-21,Kyrgyzstan,1313,14
2020-05-22,Kyrgyzstan,1350,14
2020-05-23,Kyrgyzstan,1364,14
2020-05-24,Kyrgyzstan,1403,14
2020-05-25,Kyrgyzstan,1433,16
2020-05-26,Kyrgyzstan,1468,16
2020-05-27,Kyrgyzstan,1520,16
2020-05-28,Kyrgyzstan,1594,16
2020-05-29,Kyrgyzstan,1662,16
2020-05-30,Kyrgyzstan,1722,16
2020-05-31,Kyrgyzstan,1748,16
2020-06-01,Kyrgyzstan,1817,16
2020-06-02,Kyrgyzstan,1845,17
2020-06-03,Kyrgyzstan,1871,20
2020-06-04,Kyrgyzstan,1899,20
2020-06-05,Kyrgyzstan,1936,22
2020-06-06,Kyrgyzstan,1974,22
2020-06-07,Kyrgyzstan,2007,22
2020-06-08,Kyrgyzstan,2032,23
2020-06-09,Kyrgyzstan,2055,24
2020-06-10,Kyrgyzstan,2093,26
2020-06-11,Kyrgyzstan,2129,26
2020-06-12,Kyrgyzstan,2166,26
2020-06-13,Kyrgyzstan,2207,27
2020-06-14,Kyrgyzstan,2285,27
2020-06-15,Kyrgyzstan,2372,27
2020-06-16,Kyrgyzstan,2472,28
2020-06-17,Kyrgyzstan,2562,30
2020-06-18,Kyrgyzstan,2657,31
2020-06-19,Kyrgyzstan,2789,32
2020-06-20,Kyrgyzstan,2981,35
2020-06-21,Kyrgyzstan,3151,37
2020-06-22,Kyrgyzstan,3356,40
2020-06-23,Kyrgyzstan,3519,41
2020-06-24,Kyrgyzstan,3726,42
