"date","location","total_cases","total_deaths"
"2020-03-25","Laos",2,0
"2020-03-26","Laos",2,0
"2020-03-27","Laos",6,0
"2020-03-28","Laos",6,0
"2020-03-29","Laos",6,0
"2020-03-30","Laos",6,0
"2020-03-31","Laos",9,0
"2020-04-01","Laos",9,0
"2020-04-02","Laos",10,0
"2020-04-03","Laos",10,0
"2020-04-04","Laos",10,0
"2020-04-05","Laos",10,0
"2020-04-06","Laos",11,0
"2020-04-07","Laos",12,0
"2020-04-08","Laos",12,0
"2020-04-09","Laos",15,0
"2020-04-10","Laos",16,0
"2020-04-11","Laos",16,0
"2020-04-12","Laos",18,0
"2020-04-13","Laos",19,0
"2020-04-14","Laos",19,0
"2020-04-15","Laos",19,0
"2020-04-16","Laos",19,0
"2020-04-17","Laos",19,0
"2020-04-18","Laos",19,0
"2020-04-19","Laos",19,0
"2020-04-20","Laos",19,0
"2020-04-21","Laos",19,0
"2020-04-22","Laos",19,0
"2020-04-23","Laos",19,0
"2020-04-24","Laos",19,0
"2020-04-25","Laos",19,0
"2020-04-26","Laos",19,0
"2020-04-27","Laos",19,0
"2020-04-28","Laos",19,0
"2020-04-29","Laos",19,0
"2020-04-30","Laos",19,0
"2020-05-01","Laos",19,0
"2020-05-02","Laos",19,0
"2020-05-03","Laos",19,0
"2020-05-04","Laos",19,0
"2020-05-05","Laos",19,0
"2020-05-06","Laos",19,0
"2020-05-07","Laos",19,0
"2020-05-08","Laos",19,0
"2020-05-09","Laos",19,0
"2020-05-10","Laos",19,0
"2020-05-11","Laos",19,0
"2020-05-12","Laos",19,0
"2020-05-13","Laos",19,0
"2020-05-14","Laos",19,0
"2020-05-15","Laos",19,0
"2020-05-16","Laos",19,0
"2020-05-17","Laos",19,0
"2020-05-18","Laos",19,0
"2020-05-19","Laos",19,0
"2020-05-20","Laos",19,0
"2020-05-21","Laos",19,0
"2020-05-22","Laos",19,0
"2020-05-23","Laos",19,0
"2020-05-24","Laos",19,0
"2020-05-25","Laos",19,0
"2020-05-26","Laos",19,0
"2020-05-27","Laos",19,0
"2020-05-28","Laos",19,0
"2020-05-29","Laos",19,0
"2020-05-30","Laos",19,0
"2020-05-31","Laos",19,0
"2020-06-01","Laos",19,0
"2020-06-02","Laos",19,0
"2020-06-03","Laos",19,0
"2020-06-04","Laos",19,0
"2020-06-05","Laos",19,0
"2020-06-06","Laos",19,0
"2020-06-07","Laos",19,0
"2020-06-08","Laos",19,0
"2020-06-09","Laos",19,0
"2020-06-10","Laos",19,0
"2020-06-11","Laos",19,0
"2020-06-12","Laos",19,0
"2020-06-13","Laos",19,0
"2020-06-14","Laos",19,0
"2020-06-15","Laos",19,0
"2020-06-16","Laos",19,0
"2020-06-17","Laos",19,0
"2020-06-18","Laos",19,0
"2020-06-19","Laos",19,0
"2020-06-20","Laos",19,0
"2020-06-21","Laos",19,0
"2020-06-22","Laos",19,0
"2020-06-23","Laos",19,0
"2020-06-24","Laos",19,0
