"date","location","total_cases","total_deaths"
"2020-03-08","Moldova",1,0
"2020-03-09","Moldova",1,0
"2020-03-10","Moldova",1,0
"2020-03-11","Moldova",3,0
"2020-03-12","Moldova",4,0
"2020-03-13","Moldova",6,0
"2020-03-14","Moldova",8,0
"2020-03-15","Moldova",20,0
"2020-03-16","Moldova",23,0
"2020-03-17","Moldova",29,0
"2020-03-18","Moldova",30,0
"2020-03-19","Moldova",36,1
"2020-03-20","Moldova",49,1
"2020-03-21","Moldova",66,1
"2020-03-22","Moldova",80,1
"2020-03-23","Moldova",94,1
"2020-03-24","Moldova",109,1
"2020-03-25","Moldova",125,1
"2020-03-26","Moldova",149,1
"2020-03-27","Moldova",177,1
"2020-03-28","Moldova",199,2
"2020-03-29","Moldova",231,2
"2020-03-30","Moldova",263,2
"2020-03-31","Moldova",298,2
"2020-04-01","Moldova",353,4
"2020-04-02","Moldova",423,5
"2020-04-03","Moldova",505,6
"2020-04-04","Moldova",591,8
"2020-04-05","Moldova",752,12
"2020-04-06","Moldova",864,15
"2020-04-07","Moldova",965,19
"2020-04-08","Moldova",1056,22
"2020-04-09","Moldova",1174,27
"2020-04-10","Moldova",1289,29
"2020-04-11","Moldova",1438,29
"2020-04-12","Moldova",1560,30
"2020-04-13","Moldova",1662,32
"2020-04-14","Moldova",1712,36
"2020-04-15","Moldova",1934,40
"2020-04-16","Moldova",2049,46
"2020-04-17","Moldova",2154,54
"2020-04-18","Moldova",2264,56
"2020-04-19","Moldova",2351,60
"2020-04-20","Moldova",2472,67
"2020-04-21","Moldova",2548,70
"2020-04-22","Moldova",2614,73
"2020-04-23","Moldova",2778,76
"2020-04-24","Moldova",2926,80
"2020-04-25","Moldova",3110,87
"2020-04-26","Moldova",3304,94
"2020-04-27","Moldova",3408,96
"2020-04-28","Moldova",3481,102
"2020-04-29","Moldova",3638,107
"2020-04-30","Moldova",3771,111
"2020-05-01","Moldova",3897,119
"2020-05-02","Moldova",3980,122
"2020-05-03","Moldova",4052,124
"2020-05-04","Moldova",4121,125
"2020-05-05","Moldova",4248,132
"2020-05-06","Moldova",4363,136
"2020-05-07","Moldova",4476,143
"2020-05-08","Moldova",4605,145
"2020-05-09","Moldova",4728,152
"2020-05-10","Moldova",4867,161
"2020-05-11","Moldova",4927,169
"2020-05-12","Moldova",4995,175
"2020-05-13","Moldova",5154,182
"2020-05-14","Moldova",5406,185
"2020-05-15","Moldova",5553,194
"2020-05-16","Moldova",5745,197
"2020-05-17","Moldova",5934,207
"2020-05-18","Moldova",6060,211
"2020-05-19","Moldova",6138,215
"2020-05-20","Moldova",6340,221
"2020-05-21","Moldova",6553,228
"2020-05-22","Moldova",6704,233
"2020-05-23","Moldova",6847,237
"2020-05-24","Moldova",6994,242
"2020-05-25","Moldova",7093,250
"2020-05-26","Moldova",7147,261
"2020-05-27","Moldova",7305,267
"2020-05-28","Moldova",7537,274
"2020-05-29","Moldova",7725,282
"2020-05-30","Moldova",7896,288
"2020-05-31","Moldova",8098,291
"2020-06-01","Moldova",8251,295
"2020-06-02","Moldova",8360,307
"2020-06-03","Moldova",8548,307
"2020-06-04","Moldova",8795,310
"2020-06-05","Moldova",9018,315
"2020-06-06","Moldova",9247,323
"2020-06-07","Moldova",9511,331
"2020-06-08","Moldova",9700,341
"2020-06-09","Moldova",9807,353
"2020-06-10","Moldova",10025,365
"2020-06-11","Moldova",10321,371
"2020-06-12","Moldova",10727,375
"2020-06-13","Moldova",11093,385
"2020-06-14","Moldova",11459,398
"2020-06-15","Moldova",11740,406
"2020-06-16","Moldova",11879,411
"2020-06-17","Moldova",12254,423
"2020-06-18","Moldova",12732,433
"2020-06-19","Moldova",13106,444
"2020-06-20","Moldova",13556,450
"2020-06-21","Moldova",13953,464
"2020-06-22","Moldova",14200,473
"2020-06-23","Moldova",14363,480
"2020-06-24","Moldova",14714,490
"2020-06-25","Moldova",15078,495
"2020-06-26","Moldova",15453,502
"2020-06-27","Moldova",15776,515
"2020-06-28","Moldova",16080,521
"2020-06-29","Moldova",16250,530
"2020-06-30","Moldova",16357,536
"2020-07-01","Moldova",16613,545
"2020-07-02","Moldova",16898,549
"2020-07-03","Moldova",17150,560
"2020-07-04","Moldova",17445,572
"2020-07-05","Moldova",17672,580
