date,location,total_cases,total_deaths
2020-03-10,Mongolia,1.0,0.0
2020-03-11,Mongolia,NA,NA
2020-03-12,Mongolia,NA,NA
2020-03-13,Mongolia,NA,NA
2020-03-14,Mongolia,NA,NA
2020-03-15,Mongolia,1.0,0.0
2020-03-16,Mongolia,NA,NA
2020-03-17,Mongolia,NA,NA
2020-03-18,Mongolia,4.0,0.0
2020-03-19,Mongolia,5.0,0.0
2020-03-20,Mongolia,5.0,0.0
2020-03-21,Mongolia,6.0,0.0
2020-03-22,Mongolia,10.0,0.0
2020-03-23,Mongolia,10.0,0.0
2020-03-24,Mongolia,10.0,0.0
2020-03-25,Mongolia,10.0,0.0
2020-03-26,Mongolia,10.0,0.0
2020-03-27,Mongolia,11.0,0.0
2020-03-28,Mongolia,11.0,0.0
2020-03-29,Mongolia,12.0,0.0
2020-03-30,Mongolia,12.0,0.0
2020-03-31,Mongolia,12.0,0.0
2020-04-01,Mongolia,12.0,0.0
2020-04-02,Mongolia,14.0,0.0
2020-04-03,Mongolia,14.0,0.0
2020-04-04,Mongolia,14.0,0.0
2020-04-05,Mongolia,14.0,0.0
2020-04-06,Mongolia,14.0,0.0
2020-04-07,Mongolia,15.0,0.0
2020-04-08,Mongolia,15.0,0.0
2020-04-09,Mongolia,16.0,0.0
2020-04-10,Mongolia,16.0,0.0
2020-04-11,Mongolia,16.0,0.0
2020-04-12,Mongolia,16.0,0.0
2020-04-13,Mongolia,16.0,0.0
2020-04-14,Mongolia,16.0,0.0
2020-04-15,Mongolia,30.0,0.0
2020-04-16,Mongolia,30.0,0.0
2020-04-17,Mongolia,31.0,0.0
2020-04-18,Mongolia,31.0,0.0
2020-04-19,Mongolia,31.0,0.0
2020-04-20,Mongolia,32.0,0.0
2020-04-21,Mongolia,34.0,0.0
2020-04-22,Mongolia,35.0,0.0
2020-04-23,Mongolia,35.0,0.0
2020-04-24,Mongolia,36.0,0.0
2020-04-25,Mongolia,36.0,0.0
2020-04-26,Mongolia,38.0,0.0
2020-04-27,Mongolia,38.0,0.0
2020-04-28,Mongolia,38.0,0.0
2020-04-29,Mongolia,38.0,0.0
2020-04-30,Mongolia,38.0,0.0
2020-05-01,Mongolia,38.0,0.0
2020-05-02,Mongolia,39.0,0.0
2020-05-03,Mongolia,39.0,0.0
2020-05-04,Mongolia,40.0,0.0
2020-05-05,Mongolia,41.0,0.0
2020-05-06,Mongolia,41.0,0.0
2020-05-07,Mongolia,41.0,0.0
2020-05-08,Mongolia,42.0,0.0
2020-05-09,Mongolia,42.0,0.0
2020-05-10,Mongolia,42.0,0.0
2020-05-11,Mongolia,42.0,0.0
2020-05-12,Mongolia,42.0,0.0
2020-05-13,Mongolia,42.0,0.0
2020-05-14,Mongolia,61.0,0.0
2020-05-15,Mongolia,61.0,0.0
2020-05-16,Mongolia,135.0,0.0
2020-05-17,Mongolia,136.0,0.0
2020-05-18,Mongolia,140.0,0.0
2020-05-19,Mongolia,140.0,0.0
2020-05-20,Mongolia,140.0,0.0
2020-05-21,Mongolia,140.0,0.0
2020-05-22,Mongolia,141.0,0.0
2020-05-23,Mongolia,141.0,0.0
2020-05-24,Mongolia,141.0,0.0
2020-05-25,Mongolia,141.0,0.0
2020-05-26,Mongolia,141.0,0.0
2020-05-27,Mongolia,148.0,0.0
2020-05-28,Mongolia,161.0,0.0
2020-05-29,Mongolia,179.0,0.0
2020-05-30,Mongolia,179.0,0.0
2020-05-31,Mongolia,179.0,0.0
2020-06-01,Mongolia,185.0,0.0
2020-06-02,Mongolia,185.0,0.0
2020-06-03,Mongolia,185.0,0.0
2020-06-04,Mongolia,186.0,0.0
2020-06-05,Mongolia,191.0,0.0
2020-06-06,Mongolia,191.0,0.0
2020-06-07,Mongolia,193.0,0.0
2020-06-08,Mongolia,194.0,0.0
2020-06-09,Mongolia,194.0,0.0
2020-06-10,Mongolia,194.0,0.0
2020-06-11,Mongolia,194.0,0.0
2020-06-12,Mongolia,197.0,0.0
2020-06-13,Mongolia,197.0,0.0
2020-06-14,Mongolia,197.0,0.0
2020-06-15,Mongolia,197.0,0.0
2020-06-16,Mongolia,197.0,0.0
2020-06-17,Mongolia,197.0,0.0
2020-06-18,Mongolia,201.0,0.0
2020-06-19,Mongolia,204.0,0.0
2020-06-20,Mongolia,204.0,0.0
2020-06-21,Mongolia,206.0,0.0
2020-06-22,Mongolia,213.0,0.0
2020-06-23,Mongolia,215.0,0.0
2020-06-24,Mongolia,215.0,0.0
