"date","location","total_cases","total_deaths"
"07-02-2020","Morocco","0","0"
"08-02-2020","Morocco","    0","  0"
"09-02-2020","Morocco","    0","  0"
"10-02-2020","Morocco","    0","  0"
"11-02-2020","Morocco","    0","  0"
"12-02-2020","Morocco","    0","  0"
"13-02-2020","Morocco","    0","  0"
"14-02-2020","Morocco","    0","  0"
"15-02-2020","Morocco","    0","  0"
"16-02-2020","Morocco","    0","  0"
"17-02-2020","Morocco","    0","  0"
"18-02-2020","Morocco","    0","  0"
"19-02-2020","Morocco","    0","  0"
"20-02-2020","Morocco","    0","  0"
"21-02-2020","Morocco","    0","  0"
"22-02-2020","Morocco","    0","  0"
"23-02-2020","Morocco","    0","  0"
"24-02-2020","Morocco","    0","  0"
"25-02-2020","Morocco","    0","  0"
"26-02-2020","Morocco","    0","  0"
"27-02-2020","Morocco","    0","  0"
"28-02-2020","Morocco","    0","  0"
"29-02-2020","Morocco","    0","  0"
"01-03-2020","Morocco","    0","  0"
"02-03-2020","Morocco","    0","  0"
"03-03-2020","Morocco","1","0"
"04-03-2020","Morocco","    1","  0"
"05-03-2020","Morocco","    1","  0"
"06-03-2020","Morocco","2","0"
"07-03-2020","Morocco","    2","  0"
"08-03-2020","Morocco","    2","  0"
"09-03-2020","Morocco","    2","  0"
"10-03-2020","Morocco","    2","  0"
"11-03-2020","Morocco","    2","  0"
"12-03-2020","Morocco","5","1"
"13-03-2020","Morocco","6","1"
"14-03-2020","Morocco","7","1"
"15-03-2020","Morocco","18","1"
"16-03-2020","Morocco","28","1"
"17-03-2020","Morocco","37","1"
"18-03-2020","Morocco","44","2"
"19-03-2020","Morocco","54","2"
"20-03-2020","Morocco","63","2"
"21-03-2020","Morocco","86","3"
"22-03-2020","Morocco","96","3"
"23-03-2020","Morocco","115","4"
"24-03-2020","Morocco","134","4"
"25-03-2020","Morocco","170","5"
"26-03-2020","Morocco","225","6"
"27-03-2020","Morocco","275","10"
"28-03-2020","Morocco","345","23"
"29-03-2020","Morocco","358","23"
"30-03-2020","Morocco","479","26"
"31-03-2020","Morocco","556","33"
"01-04-2020","Morocco","617","36"
"02-04-2020","Morocco","654","39"
"03-04-2020","Morocco","708","44"
"04-04-2020","Morocco","708","44"
"05-04-2020","Morocco","919","59"
"06-04-2020","Morocco","1021","70"
"07-04-2020","Morocco","1120","80"
"08-04-2020","Morocco","1184","90"
"09-04-2020","Morocco","1275","93"
"10-04-2020","Morocco","1374","97"
"11-04-2020","Morocco","1448","107"
"12-04-2020","Morocco","1545","111"
"13-04-2020","Morocco","1661","118"
"14-04-2020","Morocco","1763","126"
"15-04-2020","Morocco","1888","126"
"16-04-2020","Morocco","2024","127"
"17-04-2020","Morocco","2283","130"
"18-04-2020","Morocco","2564","135"
"19-04-2020","Morocco","2685","137"
"20-04-2020","Morocco","2855","141"
"21-04-2020","Morocco","3046","143"
"22-04-2020","Morocco","3209","145"
"23-04-2020","Morocco","3377","149"
"24-04-2020","Morocco","3568","155"
"25-04-2020","Morocco","3758","158"
"26-04-2020","Morocco","3897","159"
"27-04-2020","Morocco","4065","161"
"28-04-2020","Morocco","4120","162"
"29-04-2020","Morocco","4252","165"
"30-04-2020","Morocco","4321","168"
"01-05-2020","Morocco","4423","170"
"02-05-2020","Morocco","4569","171"
"03-05-2020","Morocco","4729","173"
"04-05-2020","Morocco","4903","174"
"05-05-2020","Morocco","5043","179"
"06-05-2020","Morocco","5219","181"
"07-05-2020","Morocco","5408","183"
"08-05-2020","Morocco","5548","183"
"09-05-2020","Morocco","5711","186"
"10-05-2020","Morocco","5910","186"
"11-05-2020","Morocco","6063","188"
"12-05-2020","Morocco","6281","188"
"13-05-2020","Morocco","6418","188"
"14-05-2020","Morocco","6512","188"
"15-05-2020","Morocco","6607","190"
"16-05-2020","Morocco","6652","190"
"17-05-2020","Morocco","6741","192"
"18-05-2020","Morocco","6870","192"
"19-05-2020","Morocco","6952","192"
"20-05-2020","Morocco","7023","193"
"21-05-2020","Morocco","7133","194"
"22-05-2020","Morocco","7211","196"
"23-05-2020","Morocco","7332","197"
"24-05-2020","Morocco","7406","198"
"25-05-2020","Morocco","7433","199"
"26-05-2020","Morocco","7532","200"
"27-05-2020","Morocco","7577","202"
"28-05-2020","Morocco","7601","202"
"29-05-2020","Morocco","7643","202"
"30-05-2020","Morocco","7714","202"
"31-05-2020","Morocco","7780","204"
"01-06-2020","Morocco","7807","205"
"02-06-2020","Morocco","7833","205"
"03-06-2020","Morocco","7866","206"
"04-06-2020","Morocco","7922","206"
"05-06-2020","Morocco","8003","208"
"06-06-2020","Morocco","8071","208"
"07-06-2020","Morocco","8132","208"
"08-06-2020","Morocco","8224","208"
"09-06-2020","Morocco","8302","208"
"10-06-2020","Morocco","8437","210"
"11-06-2020","Morocco","8455","210"
"12-06-2020","Morocco","8537","211"
"13-06-2020","Morocco","8610","212"
"14-06-2020","Morocco","8692","212"
"15-06-2020","Morocco","8734","212"
"16-06-2020","Morocco","8838","212"
"17-06-2020","Morocco","8921","212"
"18-06-2020","Morocco","8997","213"
"19-06-2020","Morocco","9074","213"
"20-06-2020","Morocco","9613","213"
"21-06-2020","Morocco","9801","213"
"22-06-2020","Morocco","9977","214"
"23-06-2020","Morocco","10172","214"
"24-06-2020","Morocco","10264","214"
