"date","location","total_cases","total_deaths"
"2020-03-17","Myanmar","0","0"
"2020-03-18","Myanmar","  0","0"
"2020-03-19","Myanmar","  0","0"
"2020-03-20","Myanmar","  0","0"
"2020-03-21","Myanmar","  0","0"
"2020-03-22","Myanmar","  0","0"
"2020-03-23","Myanmar","  0","0"
"2020-03-24","Myanmar","2","0"
"2020-03-25","Myanmar","3","0"
"2020-03-26","Myanmar","3","0"
"2020-03-27","Myanmar","5","0"
"2020-03-28","Myanmar","5","0"
"2020-03-29","Myanmar","8","0"
"2020-03-30","Myanmar","8","0"
"2020-03-31","Myanmar","14","0"
"2020-04-01","Myanmar","15","1"
"2020-04-02","Myanmar","16","1"
"2020-04-03","Myanmar","20","1"
"2020-04-04","Myanmar","20","1"
"2020-04-05","Myanmar","21","1"
"2020-04-06","Myanmar","21","1"
"2020-04-07","Myanmar","22","1"
"2020-04-08","Myanmar","22","1"
"2020-04-09","Myanmar","22","3"
"2020-04-10","Myanmar","27","3"
"2020-04-11","Myanmar","28","3"
"2020-04-12","Myanmar","31","3"
"2020-04-13","Myanmar","41","4"
"2020-04-14","Myanmar","62","4"
"2020-04-15","Myanmar","74","4"
"2020-04-16","Myanmar","74","4"
"2020-04-17","Myanmar","85","4"
"2020-04-18","Myanmar","94","5"
"2020-04-19","Myanmar","107","5"
"2020-04-20","Myanmar","111","5"
"2020-04-21","Myanmar","119","5"
"2020-04-22","Myanmar","121","5"
"2020-04-23","Myanmar","127","5"
"2020-04-24","Myanmar","132","5"
"2020-04-25","Myanmar","144","5"
"2020-04-26","Myanmar","146","5"
"2020-04-27","Myanmar","146","5"
"2020-04-28","Myanmar","146","5"
"2020-04-29","Myanmar","150","5"
"2020-04-30","Myanmar","150","6"
"2020-05-01","Myanmar","151","6"
"2020-05-02","Myanmar","151","6"
"2020-05-03","Myanmar","151","6"
"2020-05-04","Myanmar","155","6"
"2020-05-05","Myanmar","161","6"
"2020-05-06","Myanmar","161","6"
"2020-05-07","Myanmar","162","6"
"2020-05-08","Myanmar","176","6"
"2020-05-09","Myanmar","177","6"
"2020-05-10","Myanmar","178","6"
"2020-05-11","Myanmar","180","6"
"2020-05-12","Myanmar","180","6"
"2020-05-13","Myanmar","180","6"
"2020-05-14","Myanmar","181","6"
"2020-05-15","Myanmar","181","6"
"2020-05-16","Myanmar","182","6"
"2020-05-17","Myanmar","182","6"
"2020-05-18","Myanmar","187","6"
"2020-05-19","Myanmar","191","6"
"2020-05-20","Myanmar","193","6"
"2020-05-21","Myanmar","199","6"
"2020-05-22","Myanmar","199","6"
"2020-05-23","Myanmar","201","6"
"2020-05-24","Myanmar","201","6"
"2020-05-25","Myanmar","201","6"
"2020-05-26","Myanmar","203","6"
"2020-05-27","Myanmar","206","6"
"2020-05-28","Myanmar","206","6"
"2020-05-29","Myanmar","206","6"
"2020-05-30","Myanmar","224","6"
"2020-05-31","Myanmar","224","6"
"2020-06-01","Myanmar","228","6"
"2020-06-02","Myanmar","228","6"
"2020-06-03","Myanmar","233","6"
"2020-06-04","Myanmar","234","6"
"2020-06-05","Myanmar","236","6"
"2020-06-06","Myanmar","236","6"
"2020-06-07","Myanmar","240","6"
"2020-06-08","Myanmar","243","6"
"2020-06-09","Myanmar","244","6"
"2020-06-10","Myanmar","246","6"
"2020-06-11","Myanmar","249","6"
"2020-06-12","Myanmar","261","6"
"2020-06-13","Myanmar","261","6"
"2020-06-14","Myanmar","261","6"
"2020-06-15","Myanmar","262","6"
"2020-06-16","Myanmar","262","6"
"2020-06-17","Myanmar","262","6"
"2020-06-18","Myanmar","263","6"
"2020-06-19","Myanmar","286","6"
"2020-06-20","Myanmar","286","6"
"2020-06-21","Myanmar","287","6"
"2020-06-22","Myanmar","290","6"
"2020-06-23","Myanmar","291","6"
"2020-06-24","Myanmar","292","6"
