"date","location","total_cases","total_deaths"
"2020-03-19","Nicaragua",1,0
"2020-03-20","Nicaragua",1,0
"2020-03-21","Nicaragua",2,0
"2020-03-22","Nicaragua",2,0
"2020-03-23","Nicaragua",2,0
"2020-03-24","Nicaragua",2,0
"2020-03-25","Nicaragua",2,0
"2020-03-26","Nicaragua",2,0
"2020-03-27","Nicaragua",2,0
"2020-03-28","Nicaragua",2,1
"2020-03-29","Nicaragua",4,1
"2020-03-30","Nicaragua",4,1
"2020-03-31","Nicaragua",4,1
"2020-04-01","Nicaragua",4,1
"2020-04-02","Nicaragua",5,1
"2020-04-03","Nicaragua",5,1
"2020-04-04","Nicaragua",5,1
"2020-04-05","Nicaragua",5,1
"2020-04-06","Nicaragua",5,1
"2020-04-07","Nicaragua",6,1
"2020-04-08","Nicaragua",6,1
"2020-04-09","Nicaragua",6,1
"2020-04-10","Nicaragua",6,1
"2020-04-11","Nicaragua",7,1
"2020-04-12","Nicaragua",7,1
"2020-04-13","Nicaragua",9,1
"2020-04-14","Nicaragua",9,1
"2020-04-15","Nicaragua",9,1
"2020-04-16","Nicaragua",9,1
"2020-04-17","Nicaragua",9,1
"2020-04-18","Nicaragua",9,1
"2020-04-19","Nicaragua",9,1
"2020-04-20","Nicaragua",9,1
"2020-04-21","Nicaragua",9,2
"2020-04-22","Nicaragua",10,2
"2020-04-23","Nicaragua",10,2
"2020-04-24","Nicaragua",10,2
"2020-04-25","Nicaragua",11,3
"2020-04-26","Nicaragua",12,3
"2020-04-27","Nicaragua",13,3
"2020-04-28","Nicaragua",13,3
"2020-04-29","Nicaragua",13,3
"2020-04-30","Nicaragua",14,4
"2020-05-01","Nicaragua",14,4
"2020-05-02","Nicaragua",14,4
"2020-05-03","Nicaragua",14,4
"2020-05-04","Nicaragua",14,5
"2020-05-05","Nicaragua",15,5
"2020-05-06","Nicaragua",16,5
"2020-05-07","Nicaragua",16,5
"2020-05-08","Nicaragua",16,5
"2020-05-09","Nicaragua",16,5
"2020-05-10","Nicaragua",16,5
"2020-05-11","Nicaragua",16,5
"2020-05-12","Nicaragua",16,5
"2020-05-13","Nicaragua",25,8
"2020-05-14","Nicaragua",25,8
"2020-05-15","Nicaragua",25,8
"2020-05-16","Nicaragua",25,8
"2020-05-17","Nicaragua",25,8
"2020-05-18","Nicaragua",25,8
"2020-05-19","Nicaragua",25,8
"2020-05-20","Nicaragua",25,8
"2020-05-21","Nicaragua",25,8
"2020-05-22","Nicaragua",25,8
"2020-05-23","Nicaragua",279,17
"2020-05-24","Nicaragua",279,17
"2020-05-25","Nicaragua",279,17
"2020-05-26","Nicaragua",279,17
"2020-05-27","Nicaragua",759,35
"2020-05-28","Nicaragua",759,35
"2020-05-29","Nicaragua",759,35
"2020-05-30","Nicaragua",759,35
"2020-05-31","Nicaragua",759,35
"2020-06-01","Nicaragua",759,35
"2020-06-02","Nicaragua",759,35
"2020-06-03","Nicaragua",1118,46
"2020-06-04","Nicaragua",1118,46
"2020-06-05","Nicaragua",1118,46
"2020-06-06","Nicaragua",1118,46
"2020-06-07","Nicaragua",1309,46
"2020-06-08","Nicaragua",1309,46
"2020-06-09","Nicaragua",1309,46
"2020-06-10","Nicaragua",1309,46
"2020-06-11","Nicaragua",1464,55
"2020-06-12","Nicaragua",1464,55
"2020-06-13","Nicaragua",1655,55
"2020-06-14","Nicaragua",1655,55
"2020-06-15","Nicaragua",1655,55
"2020-06-16","Nicaragua",1655,55
"2020-06-17","Nicaragua",1823,64
"2020-06-18","Nicaragua",2014,64
"2020-06-19","Nicaragua",2014,64
"2020-06-20","Nicaragua",2014,64
"2020-06-21","Nicaragua",2014,64
"2020-06-22","Nicaragua",2014,64
"2020-06-23","Nicaragua",2014,64
"2020-06-24","Nicaragua",2170,74
