"date","location","total_cases","total_deaths"
"2019-12-31","Nigeria",0,0
"2020-01-01","Nigeria",0,0
"2020-01-02","Nigeria",0,0
"2020-01-03","Nigeria",0,0
"2020-01-04","Nigeria",0,0
"2020-01-05","Nigeria",0,0
"2020-01-06","Nigeria",0,0
"2020-01-07","Nigeria",0,0
"2020-01-08","Nigeria",0,0
"2020-01-09","Nigeria",0,0
"2020-01-10","Nigeria",0,0
"2020-01-11","Nigeria",0,0
"2020-01-12","Nigeria",0,0
"2020-01-13","Nigeria",0,0
"2020-01-14","Nigeria",0,0
"2020-01-15","Nigeria",0,0
"2020-01-16","Nigeria",0,0
"2020-01-17","Nigeria",0,0
"2020-01-18","Nigeria",0,0
"2020-01-19","Nigeria",0,0
"2020-01-20","Nigeria",0,0
"2020-01-21","Nigeria",0,0
"2020-01-22","Nigeria",0,0
"2020-01-23","Nigeria",0,0
"2020-01-24","Nigeria",0,0
"2020-01-25","Nigeria",0,0
"2020-01-26","Nigeria",0,0
"2020-01-27","Nigeria",0,0
"2020-01-28","Nigeria",0,0
"2020-01-29","Nigeria",0,0
"2020-01-30","Nigeria",0,0
"2020-01-31","Nigeria",0,0
"2020-02-01","Nigeria",0,0
"2020-02-02","Nigeria",0,0
"2020-02-03","Nigeria",0,0
"2020-02-04","Nigeria",0,0
"2020-02-05","Nigeria",0,0
"2020-02-06","Nigeria",0,0
"2020-02-07","Nigeria",0,0
"2020-02-08","Nigeria",0,0
"2020-02-09","Nigeria",0,0
"2020-02-10","Nigeria",0,0
"2020-02-11","Nigeria",0,0
"2020-02-12","Nigeria",0,0
"2020-02-13","Nigeria",0,0
"2020-02-14","Nigeria",0,0
"2020-02-15","Nigeria",0,0
"2020-02-16","Nigeria",0,0
"2020-02-17","Nigeria",0,0
"2020-02-18","Nigeria",0,0
"2020-02-19","Nigeria",0,0
"2020-02-20","Nigeria",0,0
"2020-02-21","Nigeria",0,0
"2020-02-22","Nigeria",0,0
"2020-02-23","Nigeria",0,0
"2020-02-24","Nigeria",0,0
"2020-02-25","Nigeria",0,0
"2020-02-26","Nigeria",0,0
"2020-02-27","Nigeria",0,0
"2020-02-28","Nigeria",1,0
"2020-02-29","Nigeria",1,0
"2020-03-01","Nigeria",1,0
"2020-03-02","Nigeria",1,0
"2020-03-03","Nigeria",1,0
"2020-03-04","Nigeria",1,0
"2020-03-05","Nigeria",1,0
"2020-03-06","Nigeria",1,0
"2020-03-07","Nigeria",1,0
"2020-03-08","Nigeria",1,0
"2020-03-09","Nigeria",1,0
"2020-03-10","Nigeria",2,0
"2020-03-11","Nigeria",2,0
"2020-03-12","Nigeria",2,0
"2020-03-13","Nigeria",2,0
"2020-03-14","Nigeria",2,0
"2020-03-15","Nigeria",2,0
"2020-03-16","Nigeria",2,0
"2020-03-17","Nigeria",2,0
"2020-03-18","Nigeria",3,0
"2020-03-19","Nigeria",8,0
"2020-03-20","Nigeria",8,0
"2020-03-21","Nigeria",12,0
"2020-03-22","Nigeria",22,0
"2020-03-23","Nigeria",30,0
"2020-03-24","Nigeria",40,1
"2020-03-25","Nigeria",44,1
"2020-03-26","Nigeria",51,1
"2020-03-27","Nigeria",65,1
"2020-03-28","Nigeria",81,1
"2020-03-29","Nigeria",97,1
"2020-03-30","Nigeria",97,1
"2020-03-31","Nigeria",131,2
"2020-04-01","Nigeria",131,2
"2020-04-02","Nigeria",151,2
"2020-04-03","Nigeria",174,2
"2020-04-04","Nigeria",190,2
"2020-04-05","Nigeria",210,4
"2020-04-06","Nigeria",232,5
"2020-04-07","Nigeria",238,5
"2020-04-08","Nigeria",254,6
"2020-04-09","Nigeria",276,6
"2020-04-10","Nigeria",288,7
"2020-04-11","Nigeria",305,7
"2020-04-12","Nigeria",318,10
"2020-04-13","Nigeria",323,10
"2020-04-14","Nigeria",343,10
"2020-04-15","Nigeria",373,11
"2020-04-16","Nigeria",407,12
"2020-04-17","Nigeria",442,13
"2020-04-18","Nigeria",493,17
"2020-04-19","Nigeria",542,19
"2020-04-20","Nigeria",627,21
"2020-04-21","Nigeria",665,22
"2020-04-22","Nigeria",782,25
"2020-04-23","Nigeria",873,28
"2020-04-24","Nigeria",981,31
"2020-04-25","Nigeria",1095,32
"2020-04-26","Nigeria",1182,35
"2020-04-27","Nigeria",1273,40
"2020-04-28","Nigeria",1337,40
"2020-04-29","Nigeria",1532,44
"2020-04-30","Nigeria",1728,51
"2020-05-01","Nigeria",1932,58
"2020-05-02","Nigeria",2170,68
"2020-05-03","Nigeria",2388,85
"2020-05-04","Nigeria",2558,87
"2020-05-05","Nigeria",2802,93
"2020-05-06","Nigeria",2950,98
"2020-05-07","Nigeria",3145,103
"2020-05-08","Nigeria",3526,107
"2020-05-09","Nigeria",3912,117
"2020-05-10","Nigeria",4151,128
"2020-05-11","Nigeria",4399,143
"2020-05-12","Nigeria",4641,150
"2020-05-13","Nigeria",4787,158
"2020-05-14","Nigeria",4971,164
"2020-05-15","Nigeria",5162,167
"2020-05-16","Nigeria",5445,171
"2020-05-17","Nigeria",5621,176
"2020-05-18","Nigeria",5959,182
"2020-05-19","Nigeria",6175,191
"2020-05-20","Nigeria",6401,192
"2020-05-21","Nigeria",6677,200
"2020-05-22","Nigeria",7016,211
"2020-05-23","Nigeria",7261,221
"2020-05-24","Nigeria",7526,221
"2020-05-25","Nigeria",7839,226
"2020-05-26","Nigeria",8068,233
"2020-05-27","Nigeria",8344,249
