"date","location","total_cases","total_deaths"
"2019-12-31","Pakistan",0,0
"2020-01-01","Pakistan",0,0
"2020-01-02","Pakistan",0,0
"2020-01-03","Pakistan",0,0
"2020-01-04","Pakistan",0,0
"2020-01-05","Pakistan",0,0
"2020-01-06","Pakistan",0,0
"2020-01-07","Pakistan",0,0
"2020-01-08","Pakistan",0,0
"2020-01-09","Pakistan",0,0
"2020-01-10","Pakistan",0,0
"2020-01-11","Pakistan",0,0
"2020-01-12","Pakistan",0,0
"2020-01-13","Pakistan",0,0
"2020-01-14","Pakistan",0,0
"2020-01-15","Pakistan",0,0
"2020-01-16","Pakistan",0,0
"2020-01-17","Pakistan",0,0
"2020-01-18","Pakistan",0,0
"2020-01-19","Pakistan",0,0
"2020-01-20","Pakistan",0,0
"2020-01-21","Pakistan",0,0
"2020-01-22","Pakistan",0,0
"2020-01-23","Pakistan",0,0
"2020-01-24","Pakistan",0,0
"2020-01-25","Pakistan",0,0
"2020-01-26","Pakistan",0,0
"2020-01-27","Pakistan",0,0
"2020-01-28","Pakistan",0,0
"2020-01-29","Pakistan",0,0
"2020-01-30","Pakistan",0,0
"2020-01-31","Pakistan",0,0
"2020-02-01","Pakistan",0,0
"2020-02-02","Pakistan",0,0
"2020-02-03","Pakistan",0,0
"2020-02-04","Pakistan",0,0
"2020-02-05","Pakistan",0,0
"2020-02-06","Pakistan",0,0
"2020-02-07","Pakistan",0,0
"2020-02-08","Pakistan",0,0
"2020-02-09","Pakistan",0,0
"2020-02-10","Pakistan",0,0
"2020-02-11","Pakistan",0,0
"2020-02-12","Pakistan",0,0
"2020-02-13","Pakistan",0,0
"2020-02-14","Pakistan",0,0
"2020-02-15","Pakistan",0,0
"2020-02-16","Pakistan",0,0
"2020-02-17","Pakistan",0,0
"2020-02-18","Pakistan",0,0
"2020-02-19","Pakistan",0,0
"2020-02-20","Pakistan",0,0
"2020-02-21","Pakistan",0,0
"2020-02-22","Pakistan",0,0
"2020-02-23","Pakistan",0,0
"2020-02-24","Pakistan",0,0
"2020-02-25","Pakistan",0,0
"2020-02-26","Pakistan",0,0
"2020-02-27","Pakistan",2,0
"2020-02-28","Pakistan",2,0
"2020-02-29","Pakistan",2,0
"2020-03-01","Pakistan",4,0
"2020-03-02","Pakistan",4,0
"2020-03-03","Pakistan",4,0
"2020-03-04","Pakistan",5,0
"2020-03-05","Pakistan",5,0
"2020-03-06","Pakistan",5,0
"2020-03-07","Pakistan",6,0
"2020-03-08","Pakistan",6,0
"2020-03-09","Pakistan",6,0
"2020-03-10","Pakistan",16,0
"2020-03-11","Pakistan",16,0
"2020-03-12","Pakistan",20,0
"2020-03-13","Pakistan",21,0
"2020-03-14","Pakistan",21,0
"2020-03-15","Pakistan",30,0
"2020-03-16","Pakistan",31,0
"2020-03-17","Pakistan",187,0
"2020-03-18","Pakistan",187,0
"2020-03-19","Pakistan",302,0
"2020-03-20","Pakistan",478,2
"2020-03-21","Pakistan",495,3
"2020-03-22","Pakistan",646,3
"2020-03-23","Pakistan",784,5
"2020-03-24","Pakistan",887,6
"2020-03-25","Pakistan",991,7
"2020-03-26","Pakistan",1057,8
"2020-03-27","Pakistan",1197,9
"2020-03-28","Pakistan",1197,9
"2020-03-29","Pakistan",1408,11
"2020-03-30","Pakistan",1526,13
"2020-03-31","Pakistan",1625,18
"2020-04-01","Pakistan",2039,26
"2020-04-02","Pakistan",2291,31
"2020-04-03","Pakistan",2291,31
"2020-04-04","Pakistan",2291,31
"2020-04-05","Pakistan",2450,35
"2020-04-06","Pakistan",3277,50
"2020-04-07","Pakistan",3864,54
"2020-04-08","Pakistan",4072,58
"2020-04-09","Pakistan",4322,63
"2020-04-10","Pakistan",4601,66
"2020-04-11","Pakistan",4788,71
"2020-04-12","Pakistan",5038,86
"2020-04-13","Pakistan",5374,93
"2020-04-14","Pakistan",5716,96
"2020-04-15","Pakistan",5988,107
"2020-04-16","Pakistan",6505,124
"2020-04-17","Pakistan",7025,135
"2020-04-18","Pakistan",7481,143
"2020-04-19","Pakistan",7993,159
"2020-04-20","Pakistan",8418,176
"2020-04-21","Pakistan",9216,192
"2020-04-22","Pakistan",9749,209
"2020-04-23","Pakistan",9749,209
"2020-04-24","Pakistan",11155,237
"2020-04-25","Pakistan",11940,253
"2020-04-26","Pakistan",12723,269
"2020-04-27","Pakistan",13328,281
"2020-04-28","Pakistan",14079,301
"2020-04-29","Pakistan",14885,327
"2020-04-30","Pakistan",15759,346
"2020-05-01","Pakistan",16817,385
"2020-05-02","Pakistan",18114,417
"2020-05-03","Pakistan",19103,440
"2020-05-04","Pakistan",20186,462
"2020-05-05","Pakistan",21501,486
"2020-05-06","Pakistan",22550,526
"2020-05-07","Pakistan",24073,564
"2020-05-08","Pakistan",25837,594
"2020-05-09","Pakistan",27474,618
"2020-05-10","Pakistan",29465,639
"2020-05-11","Pakistan",30941,667
"2020-05-12","Pakistan",32081,706
"2020-05-13","Pakistan",34336,737
"2020-05-14","Pakistan",35788,770
"2020-05-15","Pakistan",37218,803
"2020-05-16","Pakistan",38799,834
"2020-05-17","Pakistan",40151,873
"2020-05-18","Pakistan",42125,903
"2020-05-19","Pakistan",43966,939
"2020-05-20","Pakistan",45898,985
"2020-05-21","Pakistan",48091,1017
"2020-05-22","Pakistan",50694,1067
"2020-05-23","Pakistan",52437,1101
"2020-05-24","Pakistan",54601,1133
"2020-05-25","Pakistan",56349,1167
"2020-05-26","Pakistan",57705,1197
"2020-05-27","Pakistan",59151,1225
"2020-05-28","Pakistan",61227,1260
"2020-05-29","Pakistan",64028,1317
"2020-05-30","Pakistan",66457,1395
"2020-05-31","Pakistan",69496,1483
"2020-06-01","Pakistan",72460,1543
"2020-06-02","Pakistan",76398,1621
"2020-06-03","Pakistan",80463,1688
"2020-06-04","Pakistan",85264,1770
"2020-06-05","Pakistan",89249,1838
"2020-06-06","Pakistan",93983,1935
"2020-06-07","Pakistan",98943,2002
"2020-06-08","Pakistan",103671,2067
"2020-06-09","Pakistan",108317,2172
"2020-06-10","Pakistan",113702,2255
"2020-06-11","Pakistan",119536,2356
"2020-06-12","Pakistan",125933,2463
"2020-06-13","Pakistan",132405,2551
"2020-06-14","Pakistan",139230,2632
"2020-06-15","Pakistan",144478,2729
"2020-06-16","Pakistan",148921,2839
