"date","location","total_cases","total_deaths"
"2019-12-31","Philippines",0,0
"2020-01-01","Philippines",0,0
"2020-01-02","Philippines",0,0
"2020-01-03","Philippines",0,0
"2020-01-04","Philippines",0,0
"2020-01-05","Philippines",0,0
"2020-01-06","Philippines",0,0
"2020-01-07","Philippines",0,0
"2020-01-08","Philippines",0,0
"2020-01-09","Philippines",0,0
"2020-01-10","Philippines",0,0
"2020-01-11","Philippines",0,0
"2020-01-12","Philippines",0,0
"2020-01-13","Philippines",0,0
"2020-01-14","Philippines",0,0
"2020-01-15","Philippines",0,0
"2020-01-16","Philippines",0,0
"2020-01-17","Philippines",0,0
"2020-01-18","Philippines",0,0
"2020-01-19","Philippines",0,0
"2020-01-20","Philippines",0,0
"2020-01-21","Philippines",0,0
"2020-01-22","Philippines",0,0
"2020-01-23","Philippines",0,0
"2020-01-24","Philippines",0,0
"2020-01-25","Philippines",0,0
"2020-01-26","Philippines",0,0
"2020-01-27","Philippines",0,0
"2020-01-28","Philippines",0,0
"2020-01-29","Philippines",0,0
"2020-01-30","Philippines",1,0
"2020-01-31","Philippines",1,0
"2020-02-01","Philippines",1,0
"2020-02-02","Philippines",2,1
"2020-02-03","Philippines",2,1
"2020-02-04","Philippines",2,1
"2020-02-05","Philippines",2,1
"2020-02-06","Philippines",3,1
"2020-02-07","Philippines",3,1
"2020-02-08","Philippines",3,1
"2020-02-09","Philippines",3,1
"2020-02-10","Philippines",3,1
"2020-02-11","Philippines",3,1
"2020-02-12","Philippines",3,1
"2020-02-13","Philippines",3,1
"2020-02-14","Philippines",3,1
"2020-02-15","Philippines",3,1
"2020-02-16","Philippines",3,1
"2020-02-17","Philippines",3,1
"2020-02-18","Philippines",3,1
"2020-02-19","Philippines",3,1
"2020-02-20","Philippines",3,1
"2020-02-21","Philippines",3,1
"2020-02-22","Philippines",3,1
"2020-02-23","Philippines",3,1
"2020-02-24","Philippines",3,1
"2020-02-25","Philippines",3,1
"2020-02-26","Philippines",3,1
"2020-02-27","Philippines",3,1
"2020-02-28","Philippines",3,1
"2020-02-29","Philippines",3,1
"2020-03-01","Philippines",3,1
"2020-03-02","Philippines",3,1
"2020-03-03","Philippines",3,1
"2020-03-04","Philippines",3,1
"2020-03-05","Philippines",3,1
"2020-03-06","Philippines",3,1
"2020-03-07","Philippines",5,1
"2020-03-08","Philippines",6,1
"2020-03-09","Philippines",10,1
"2020-03-10","Philippines",33,1
"2020-03-11","Philippines",33,1
"2020-03-12","Philippines",49,2
"2020-03-13","Philippines",52,2
"2020-03-14","Philippines",64,6
"2020-03-15","Philippines",111,6
"2020-03-16","Philippines",140,12
"2020-03-17","Philippines",142,12
"2020-03-18","Philippines",187,14
"2020-03-19","Philippines",202,17
"2020-03-20","Philippines",230,18
"2020-03-21","Philippines",230,18
"2020-03-22","Philippines",380,25
"2020-03-23","Philippines",380,25
"2020-03-24","Philippines",462,33
"2020-03-25","Philippines",552,35
"2020-03-26","Philippines",636,38
"2020-03-27","Philippines",707,45
"2020-03-28","Philippines",803,54
"2020-03-29","Philippines",1075,68
"2020-03-30","Philippines",1418,71
"2020-03-31","Philippines",2084,88
"2020-04-01","Philippines",2084,88
"2020-04-02","Philippines",2311,96
"2020-04-03","Philippines",2633,107
"2020-04-04","Philippines",3018,136
"2020-04-05","Philippines",3094,144
"2020-04-06","Philippines",3246,152
"2020-04-07","Philippines",3660,163
"2020-04-08","Philippines",3764,177
"2020-04-09","Philippines",3870,182
"2020-04-10","Philippines",4076,203
"2020-04-11","Philippines",4076,203
"2020-04-12","Philippines",4428,247
"2020-04-13","Philippines",4648,297
"2020-04-14","Philippines",4932,315
"2020-04-15","Philippines",5223,335
"2020-04-16","Philippines",5453,349
"2020-04-17","Philippines",5660,362
