"date","location","total_cases","total_deaths"
"02-03-2020","Senegal","0","0"
"03-03-2020","Senegal","1","0"
"04-03-2020","Senegal","   1"," 0"
"05-03-2020","Senegal","3","0"
"06-03-2020","Senegal","4","0"
"07-03-2020","Senegal","   4"," 0"
"08-03-2020","Senegal","   4"," 0"
"09-03-2020","Senegal","   4"," 0"
"10-03-2020","Senegal","   4"," 0"
"11-03-2020","Senegal","   4"," 0"
"12-03-2020","Senegal","   4"," 0"
"13-03-2020","Senegal","6","0"
"14-03-2020","Senegal","19","0"
"15-03-2020","Senegal","21","0"
"16-03-2020","Senegal","26","0"
"17-03-2020","Senegal","27","0"
"18-03-2020","Senegal","31","0"
"19-03-2020","Senegal","36","0"
"20-03-2020","Senegal","36","0"
"21-03-2020","Senegal","47","0"
"22-03-2020","Senegal","56","0"
"23-03-2020","Senegal","67","0"
"24-03-2020","Senegal","79","0"
"25-03-2020","Senegal","86","0"
"26-03-2020","Senegal","99","0"
"27-03-2020","Senegal","105","0"
"28-03-2020","Senegal","119","0"
"29-03-2020","Senegal","130","0"
"30-03-2020","Senegal","142","0"
"31-03-2020","Senegal","162","0"
"01-04-2020","Senegal","175","0"
"02-04-2020","Senegal","190","1"
"03-04-2020","Senegal","195","1"
"04-04-2020","Senegal","207","1"
"05-04-2020","Senegal","219","2"
"06-04-2020","Senegal","222","2"
"07-04-2020","Senegal","226","2"
"08-04-2020","Senegal","237","2"
"09-04-2020","Senegal","244","2"
"10-04-2020","Senegal","250","2"
"11-04-2020","Senegal","265","2"
"12-04-2020","Senegal","278","2"
"13-04-2020","Senegal","280","2"
"14-04-2020","Senegal","291","2"
"15-04-2020","Senegal","299","2"
"16-04-2020","Senegal","314","2"
"17-04-2020","Senegal","335","2"
"18-04-2020","Senegal","342","3"
"19-04-2020","Senegal","350","3"
"20-04-2020","Senegal","367","4"
"21-04-2020","Senegal","377","5"
"22-04-2020","Senegal","412","5"
"23-04-2020","Senegal","442","6"
"24-04-2020","Senegal","479","6"
"25-04-2020","Senegal","545","7"
"26-04-2020","Senegal","614","7"
"27-04-2020","Senegal","671","9"
"28-04-2020","Senegal","735","9"
"29-04-2020","Senegal","823","9"
"30-04-2020","Senegal","882","9"
"01-05-2020","Senegal","933","9"
"02-05-2020","Senegal","1024","9"
"03-05-2020","Senegal","1115","9"
"04-05-2020","Senegal","1182","9"
"05-05-2020","Senegal","1271","10"
"06-05-2020","Senegal","1329","11"
"07-05-2020","Senegal","1433","12"
"08-05-2020","Senegal","1492","13"
"09-05-2020","Senegal","1551","14"
"10-05-2020","Senegal","1634","17"
"11-05-2020","Senegal","1709","19"
"12-05-2020","Senegal","1886","19"
"13-05-2020","Senegal","1995","19"
"14-05-2020","Senegal","2105","22"
"15-05-2020","Senegal","2189","23"
"16-05-2020","Senegal","2310","25"
"17-05-2020","Senegal","2429","25"
"18-05-2020","Senegal","2480","26"
"19-05-2020","Senegal","2544","26"
"20-05-2020","Senegal","2617","30"
"21-05-2020","Senegal","2714","30"
"22-05-2020","Senegal","2812","33"
"23-05-2020","Senegal","2909","33"
"24-05-2020","Senegal","2976","35"
"25-05-2020","Senegal","3047","35"
"26-05-2020","Senegal","3130","36"
"27-05-2020","Senegal","3161","37"
"28-05-2020","Senegal","3253","39"
"29-05-2020","Senegal","3348","41"
"30-05-2020","Senegal","3429","41"
"31-05-2020","Senegal","3535","42"
"01-06-2020","Senegal","3645","42"
"02-06-2020","Senegal","3739","42"
"03-06-2020","Senegal","3836","43"
"04-06-2020","Senegal","3932","45"
"05-06-2020","Senegal","4021","45"
"06-06-2020","Senegal","4155","45"
"07-06-2020","Senegal","4249","47"
"08-06-2020","Senegal","4328","49"
"09-06-2020","Senegal","4427","52"
"10-06-2020","Senegal","4516","52"
"11-06-2020","Senegal","4640","54"
"12-06-2020","Senegal","4759","56"
"13-06-2020","Senegal","4851","56"
"14-06-2020","Senegal","4996","60"
"15-06-2020","Senegal","5090","60"
"16-06-2020","Senegal","5173","64"
"17-06-2020","Senegal","5247","70"
"18-06-2020","Senegal","5369","73"
"19-06-2020","Senegal","5475","76"
"20-06-2020","Senegal","5639","79"
"21-06-2020","Senegal","5738","82"
"22-06-2020","Senegal","5888","84"
"23-06-2020","Senegal","5970","86"
"24-06-2020","Senegal","6034","89"
