"date","location","total_cases","total_deaths"
"2020-03-14","Sudan",1,0
"2020-03-15","Sudan",1,1
"2020-03-16","Sudan",1,1
"2020-03-17","Sudan",1,1
"2020-03-18","Sudan",1,1
"2020-03-19","Sudan",2,1
"2020-03-20","Sudan",2,1
"2020-03-21","Sudan",2,1
"2020-03-22","Sudan",2,1
"2020-03-23","Sudan",2,1
"2020-03-24","Sudan",2,1
"2020-03-25","Sudan",3,1
"2020-03-26","Sudan",3,1
"2020-03-27","Sudan",3,1
"2020-03-28","Sudan",3,1
"2020-03-29","Sudan",5,1
"2020-03-30","Sudan",5,1
"2020-03-31","Sudan",6,2
"2020-04-01","Sudan",7,2
"2020-04-02","Sudan",7,2
"2020-04-03","Sudan",7,2
"2020-04-04","Sudan",7,2
"2020-04-05","Sudan",10,2
"2020-04-06","Sudan",12,2
"2020-04-07","Sudan",12,2
"2020-04-08","Sudan",14,2
"2020-04-09","Sudan",14,2
"2020-04-10","Sudan",14,2
"2020-04-11","Sudan",15,2
"2020-04-12","Sudan",19,2
"2020-04-13","Sudan",19,2
"2020-04-14","Sudan",29,4
"2020-04-15","Sudan",32,5
"2020-04-16","Sudan",32,5
"2020-04-17","Sudan",32,5
"2020-04-18","Sudan",32,5
"2020-04-19","Sudan",66,10
"2020-04-20","Sudan",66,10
"2020-04-21","Sudan",92,12
"2020-04-22","Sudan",107,12
"2020-04-23","Sudan",140,13
"2020-04-24","Sudan",162,13
"2020-04-25","Sudan",174,16
"2020-04-26","Sudan",213,17
"2020-04-27","Sudan",237,21
"2020-04-28","Sudan",275,22
"2020-04-29","Sudan",318,25
"2020-04-30","Sudan",375,28
"2020-05-01","Sudan",442,31
"2020-05-02","Sudan",442,31
"2020-05-03","Sudan",592,41
"2020-05-04","Sudan",678,41
"2020-05-05","Sudan",678,41
"2020-05-06","Sudan",778,45
"2020-05-07","Sudan",852,49
"2020-05-08","Sudan",930,52
"2020-05-09","Sudan",1111,59
"2020-05-10","Sudan",1164,64
"2020-05-11","Sudan",1363,70
"2020-05-12","Sudan",1526,74
"2020-05-13","Sudan",1661,80
"2020-05-14","Sudan",1818,90
"2020-05-15","Sudan",1964,91
"2020-05-16","Sudan",1964,91
"2020-05-17","Sudan",1964,91
"2020-05-18","Sudan",2289,97
"2020-05-19","Sudan",2591,105
"2020-05-20","Sudan",2591,105
"2020-05-21","Sudan",2728,111
"2020-05-22","Sudan",3138,121
"2020-05-23","Sudan",3378,137
"2020-05-24","Sudan",3628,146
"2020-05-25","Sudan",3634,146
"2020-05-26","Sudan",3826,165
"2020-05-27","Sudan",3976,170
"2020-05-28","Sudan",4146,184
"2020-05-29","Sudan",4346,195
"2020-05-30","Sudan",4521,233
"2020-05-31","Sudan",4800,262
"2020-06-01","Sudan",5026,286
"2020-06-02","Sudan",5173,298
"2020-06-03","Sudan",5310,307
"2020-06-04","Sudan",5310,307
"2020-06-05","Sudan",5499,314
"2020-06-06","Sudan",5714,333
"2020-06-07","Sudan",5865,347
"2020-06-08","Sudan",6083,359
"2020-06-09","Sudan",6242,372
"2020-06-10","Sudan",6242,372
"2020-06-11","Sudan",6427,389
"2020-06-12","Sudan",6730,413
"2020-06-13","Sudan",6879,433
"2020-06-14","Sudan",6879,433
"2020-06-15","Sudan",7220,459
"2020-06-16","Sudan",7220,459
"2020-06-17","Sudan",7740,477
"2020-06-18","Sudan",8020,487
"2020-06-19","Sudan",8020,487
"2020-06-20","Sudan",8316,506
"2020-06-21","Sudan",8580,521
"2020-06-22","Sudan",8580,521
"2020-06-23","Sudan",8698,533
"2020-06-24","Sudan",8889,548
