date,location,total_cases,total_deaths
2020-03-15,Swaziland,1,0
2020-03-16,Swaziland,1,0
2020-03-17,Swaziland,1,0
2020-03-18,Swaziland,1,0
2020-03-19,Swaziland,1,0
2020-03-20,Swaziland,1,0
2020-03-21,Swaziland,1,0
2020-03-22,Swaziland,1,0
2020-03-23,Swaziland,4,0
2020-03-24,Swaziland,4,0
2020-03-25,Swaziland,4,0
2020-03-26,Swaziland,4,0
2020-03-27,Swaziland,6,0
2020-03-28,Swaziland,9,0
2020-03-29,Swaziland,9,0
2020-03-30,Swaziland,9,0
2020-03-31,Swaziland,9,0
2020-04-01,Swaziland,9,0
2020-04-02,Swaziland,9,0
2020-04-03,Swaziland,9,0
2020-04-04,Swaziland,9,0
2020-04-05,Swaziland,9,0
2020-04-06,Swaziland,9,0
2020-04-07,Swaziland,10,0
2020-04-08,Swaziland,10,0
2020-04-09,Swaziland,12,0
2020-04-10,Swaziland,12,0
2020-04-11,Swaziland,12,0
2020-04-12,Swaziland,14,0
2020-04-13,Swaziland,14,0
2020-04-14,Swaziland,15,0
2020-04-15,Swaziland,15,0
2020-04-16,Swaziland,16,0
2020-04-17,Swaziland,16,0
2020-04-18,Swaziland,19,1
2020-04-19,Swaziland,19,1
2020-04-20,Swaziland,22,1
2020-04-21,Swaziland,24,1
2020-04-22,Swaziland,24,1
2020-04-23,Swaziland,31,1
2020-04-24,Swaziland,32,1
2020-04-25,Swaziland,40,1
2020-04-26,Swaziland,40,1
2020-04-27,Swaziland,59,1
2020-04-28,Swaziland,65,1
2020-04-29,Swaziland,71,1
2020-04-30,Swaziland,91,1
2020-05-01,Swaziland,100,1
2020-05-02,Swaziland,106,1
2020-05-03,Swaziland,108,1
2020-05-04,Swaziland,112,1
2020-05-05,Swaziland,116,1
2020-05-06,Swaziland,116,1
2020-05-07,Swaziland,123,2
2020-05-08,Swaziland,153,2
2020-05-09,Swaziland,159,2
2020-05-10,Swaziland,163,2
2020-05-11,Swaziland,172,2
2020-05-12,Swaziland,175,2
2020-05-13,Swaziland,184,2
2020-05-14,Swaziland,187,2
2020-05-15,Swaziland,187,2
2020-05-16,Swaziland,190,2
2020-05-17,Swaziland,202,2
2020-05-18,Swaziland,203,2
2020-05-19,Swaziland,203,2
2020-05-20,Swaziland,208,2
2020-05-21,Swaziland,217,2
2020-05-22,Swaziland,220,2
2020-05-23,Swaziland,220,2
2020-05-24,Swaziland,238,2
2020-05-25,Swaziland,250,2
2020-05-26,Swaziland,256,2
2020-05-27,Swaziland,261,2
2020-05-28,Swaziland,272,2
2020-05-29,Swaziland,279,2
2020-05-30,Swaziland,279,2
2020-05-31,Swaziland,283,2
2020-06-01,Swaziland,285,2
2020-06-02,Swaziland,293,3
2020-06-03,Swaziland,293,3
2020-06-04,Swaziland,295,3
2020-06-05,Swaziland,300,3
2020-06-06,Swaziland,305,3
2020-06-07,Swaziland,322,3
2020-06-08,Swaziland,333,3
2020-06-09,Swaziland,340,3
2020-06-10,Swaziland,371,3
2020-06-11,Swaziland,398,3
2020-06-12,Swaziland,449,3
2020-06-13,Swaziland,472,3
2020-06-14,Swaziland,486,3
2020-06-15,Swaziland,490,4
2020-06-16,Swaziland,506,4
2020-06-17,Swaziland,520,4
2020-06-18,Swaziland,563,4
2020-06-19,Swaziland,586,4
2020-06-20,Swaziland,623,4
2020-06-21,Swaziland,627,5
2020-06-22,Swaziland,635,5
2020-06-23,Swaziland,643,6
2020-06-24,Swaziland,674,7
