"date","location","total_cases","total_deaths"
"2020-03-22","Timor",1,0
"2020-03-23","Timor",1,0
"2020-03-24","Timor",1,0
"2020-03-25","Timor",1,0
"2020-03-26","Timor",1,0
"2020-03-27","Timor",1,0
"2020-03-28","Timor",1,0
"2020-03-29","Timor",1,0
"2020-03-30","Timor",1,0
"2020-03-31","Timor",1,0
"2020-04-01","Timor",1,0
"2020-04-02","Timor",1,0
"2020-04-03","Timor",1,0
"2020-04-04","Timor",1,0
"2020-04-05","Timor",1,0
"2020-04-06","Timor",1,0
"2020-04-07","Timor",1,0
"2020-04-08","Timor",1,0
"2020-04-09","Timor",1,0
"2020-04-10","Timor",2,0
"2020-04-11","Timor",2,0
"2020-04-12","Timor",2,0
"2020-04-13","Timor",2,0
"2020-04-14","Timor",4,0
"2020-04-15","Timor",6,0
"2020-04-16","Timor",6,0
"2020-04-17","Timor",18,0
"2020-04-18","Timor",18,0
"2020-04-19","Timor",18,0
"2020-04-20","Timor",19,0
"2020-04-21","Timor",22,0
"2020-04-22","Timor",23,0
"2020-04-23","Timor",23,0
"2020-04-24","Timor",23,0
"2020-04-25","Timor",24,0
"2020-04-26","Timor",24,0
"2020-04-27","Timor",24,0
"2020-04-28","Timor",24,0
"2020-04-29","Timor",24,0
"2020-04-30","Timor",24,0
"2020-05-01","Timor",24,0
"2020-05-02","Timor",24,0
"2020-05-03","Timor",24,0
"2020-05-04","Timor",24,0
"2020-05-05","Timor",24,0
"2020-05-06","Timor",24,0
"2020-05-07","Timor",24,0
"2020-05-08","Timor",24,0
"2020-05-09","Timor",24,0
"2020-05-10","Timor",24,0
"2020-05-11","Timor",24,0
"2020-05-12","Timor",24,0
"2020-05-13","Timor",24,0
"2020-05-14","Timor",24,0
"2020-05-15","Timor",24,0
"2020-05-16","Timor",24,0
"2020-05-17","Timor",24,0
"2020-05-18","Timor",24,0
"2020-05-19","Timor",24,0
"2020-05-20","Timor",24,0
"2020-05-21","Timor",24,0
"2020-05-22","Timor",24,0
"2020-05-23","Timor",24,0
"2020-05-24","Timor",24,0
"2020-05-25","Timor",24,0
"2020-05-26","Timor",24,0
"2020-05-27","Timor",24,0
"2020-05-28","Timor",24,0
"2020-05-29","Timor",24,0
"2020-05-30","Timor",24,0
"2020-05-31","Timor",24,0
"2020-06-01","Timor",24,0
"2020-06-02","Timor",24,0
"2020-06-03","Timor",24,0
"2020-06-04","Timor",24,0
"2020-06-05","Timor",24,0
"2020-06-06","Timor",24,0
"2020-06-07","Timor",24,0
"2020-06-08","Timor",24,0
"2020-06-09","Timor",24,0
"2020-06-10","Timor",24,0
"2020-06-11","Timor",24,0
"2020-06-12","Timor",24,0
"2020-06-13","Timor",24,0
"2020-06-14","Timor",24,0
"2020-06-15","Timor",24,0
"2020-06-16","Timor",24,0
"2020-06-17","Timor",24,0
"2020-06-18","Timor",24,0
"2020-06-19","Timor",24,0
"2020-06-20","Timor",24,0
"2020-06-21","Timor",24,0
"2020-06-22","Timor",24,0
"2020-06-23","Timor",24,0
"2020-06-24","Timor",24,0
