"date","location","total_cases","total_deaths"
"2020-03-04","Ukraine","1","0"
"2020-03-05","Ukraine","    1","   0"
"2020-03-06","Ukraine","    1","   0"
"2020-03-07","Ukraine","    1","   0"
"2020-03-08","Ukraine","    1","   0"
"2020-03-09","Ukraine","    1","   0"
"2020-03-10","Ukraine","    1","   0"
"2020-03-11","Ukraine","    1","   0"
"2020-03-12","Ukraine","    1","   0"
"2020-03-13","Ukraine","3","0"
"2020-03-14","Ukraine","    3","   0"
"2020-03-15","Ukraine","    3","   0"
"2020-03-16","Ukraine","3","0"
"2020-03-17","Ukraine","5","0"
"2020-03-18","Ukraine","14","0"
"2020-03-19","Ukraine","19","2"
"2020-03-20","Ukraine","26","2"
"2020-03-21","Ukraine","26","3"
"2020-03-22","Ukraine","41","3"
"2020-03-23","Ukraine","47","3"
"2020-03-24","Ukraine","73","3"
"2020-03-25","Ukraine","84","3"
"2020-03-26","Ukraine","113","4"
"2020-03-27","Ukraine","156","5"
"2020-03-28","Ukraine","218","5"
"2020-03-29","Ukraine","311","8"
"2020-03-30","Ukraine","418","9"
"2020-03-31","Ukraine","480","11"
"2020-04-01","Ukraine","549","13"
"2020-04-02","Ukraine","794","20"
"2020-04-03","Ukraine","804","20"
"2020-04-04","Ukraine","987","23"
"2020-04-05","Ukraine","1096","28"
"2020-04-06","Ukraine","1251","32"
"2020-04-07","Ukraine","1319","38"
"2020-04-08","Ukraine","1462","45"
"2020-04-09","Ukraine","1668","52"
"2020-04-10","Ukraine","1892","57"
"2020-04-11","Ukraine","2203","69"
"2020-04-12","Ukraine","2511","73"
"2020-04-13","Ukraine","2777","83"
"2020-04-14","Ukraine","3102","93"
"2020-04-15","Ukraine","3372","98"
"2020-04-16","Ukraine","4161","116"
"2020-04-17","Ukraine","4462","125"
"2020-04-18","Ukraine","5106","133"
"2020-04-19","Ukraine","5449","141"
"2020-04-20","Ukraine","5710","151"
"2020-04-21","Ukraine","6125","161"
"2020-04-22","Ukraine","6592","174"
"2020-04-23","Ukraine","7170","187"
"2020-04-24","Ukraine","7647","193"
"2020-04-25","Ukraine","8125","201"
"2020-04-26","Ukraine","8617","209"
"2020-04-27","Ukraine","9009","220"
"2020-04-28","Ukraine","9009","220"
"2020-04-29","Ukraine","9410","239"
"2020-04-30","Ukraine","9866","250"
"2020-05-01","Ukraine","10406","250"
"2020-05-02","Ukraine","10861","279"
"2020-05-03","Ukraine","11411","279"
"2020-05-04","Ukraine","11913","288"
"2020-05-05","Ukraine","12331","303"
"2020-05-06","Ukraine","12697","316"
"2020-05-07","Ukraine","13184","327"
"2020-05-08","Ukraine","13691","340"
"2020-05-09","Ukraine","14195","361"
"2020-05-10","Ukraine","14710","376"
"2020-05-11","Ukraine","15232","391"
"2020-05-12","Ukraine","15648","408"
"2020-05-13","Ukraine","16023","425"
"2020-05-14","Ukraine","16425","439"
"2020-05-15","Ukraine","16847","456"
"2020-05-16","Ukraine","17330","483"
"2020-05-17","Ukraine","17858","497"
"2020-05-18","Ukraine","18291","514"
"2020-05-19","Ukraine","18616","535"
"2020-05-20","Ukraine","18876","548"
"2020-05-21","Ukraine","19230","564"
"2020-05-22","Ukraine","19706","579"
"2020-05-23","Ukraine","20148","588"
"2020-05-24","Ukraine","20580","605"
"2020-05-25","Ukraine","20986","617"
"2020-05-26","Ukraine","21245","623"
"2020-05-27","Ukraine","21584","644"
"2020-05-28","Ukraine","21584","644"
"2020-05-29","Ukraine","22382","669"
"2020-05-30","Ukraine","23204","696"
"2020-05-31","Ukraine","23204","696"
"2020-06-01","Ukraine","23672","708"
"2020-06-02","Ukraine","24340","727"
"2020-06-03","Ukraine","24823","735"
"2020-06-04","Ukraine","25411","747"
"2020-06-05","Ukraine","25964","762"
"2020-06-06","Ukraine","26514","777"
"2020-06-07","Ukraine","26514","777"
"2020-06-08","Ukraine","26999","788"
"2020-06-09","Ukraine","27462","797"
"2020-06-10","Ukraine","27856","810"
"2020-06-11","Ukraine","28381","833"
"2020-06-12","Ukraine","29070","854"
"2020-06-13","Ukraine","29753","870"
"2020-06-14","Ukraine","30506","880"
"2020-06-15","Ukraine","31154","889"
"2020-06-16","Ukraine","31810","901"
"2020-06-17","Ukraine","32476","912"
"2020-06-18","Ukraine","33234","943"
"2020-06-19","Ukraine","34063","966"
"2020-06-20","Ukraine","34984","985"
"2020-06-21","Ukraine","35825","994"
"2020-06-22","Ukraine","36560","1002"
"2020-06-23","Ukraine","37241","1012"
"2020-06-24","Ukraine","39014","1051"
