"date","location","total_cases","total_deaths"
"2020-03-16","Uzbekistan",6,0
"2020-03-17","Uzbekistan",8,0
"2020-03-18","Uzbekistan",16,0
"2020-03-19","Uzbekistan",23,0
"2020-03-20","Uzbekistan",23,0
"2020-03-21","Uzbekistan",33,0
"2020-03-22","Uzbekistan",33,0
"2020-03-23","Uzbekistan",46,0
"2020-03-24","Uzbekistan",49,0
"2020-03-25","Uzbekistan",55,0
"2020-03-26","Uzbekistan",65,0
"2020-03-27","Uzbekistan",83,0
"2020-03-28","Uzbekistan",104,0
"2020-03-29","Uzbekistan",133,1
"2020-03-30","Uzbekistan",145,1
"2020-03-31","Uzbekistan",149,2
"2020-04-01","Uzbekistan",173,2
"2020-04-02","Uzbekistan",187,2
"2020-04-03","Uzbekistan",190,2
"2020-04-04","Uzbekistan",227,2
"2020-04-05","Uzbekistan",266,2
"2020-04-06","Uzbekistan",342,2
"2020-04-07","Uzbekistan",397,2
"2020-04-08","Uzbekistan",504,2
"2020-04-09","Uzbekistan",555,3
"2020-04-10","Uzbekistan",582,3
"2020-04-11","Uzbekistan",624,3
"2020-04-12","Uzbekistan",796,4
"2020-04-13","Uzbekistan",865,4
"2020-04-14","Uzbekistan",998,4
"2020-04-15","Uzbekistan",1165,4
"2020-04-16","Uzbekistan",1302,4
"2020-04-17","Uzbekistan",1380,4
"2020-04-18","Uzbekistan",1450,4
"2020-04-19","Uzbekistan",1495,5
"2020-04-20","Uzbekistan",1565,5
"2020-04-21","Uzbekistan",1657,5
"2020-04-22","Uzbekistan",1692,6
"2020-04-23","Uzbekistan",1716,7
"2020-04-24","Uzbekistan",1778,7
"2020-04-25","Uzbekistan",1836,8
"2020-04-26","Uzbekistan",1865,8
"2020-04-27","Uzbekistan",1887,8
"2020-04-28","Uzbekistan",1904,8
"2020-04-29","Uzbekistan",1939,8
"2020-04-30","Uzbekistan",2002,9
"2020-05-01","Uzbekistan",2046,9
"2020-05-02","Uzbekistan",2094,9
"2020-05-03","Uzbekistan",2127,9
"2020-05-04","Uzbekistan",2149,10
"2020-05-05","Uzbekistan",2189,10
"2020-05-06","Uzbekistan",2207,10
"2020-05-07","Uzbekistan",2233,10
"2020-05-08","Uzbekistan",2298,10
"2020-05-09","Uzbekistan",2336,10
"2020-05-10","Uzbekistan",2387,10
"2020-05-11","Uzbekistan",2418,10
"2020-05-12","Uzbekistan",2509,10
"2020-05-13","Uzbekistan",2547,10
"2020-05-14","Uzbekistan",2612,11
"2020-05-15","Uzbekistan",2645,11
"2020-05-16","Uzbekistan",2691,11
"2020-05-17","Uzbekistan",2741,11
"2020-05-18","Uzbekistan",2753,12
"2020-05-19","Uzbekistan",2802,13
"2020-05-20","Uzbekistan",2880,13
"2020-05-21","Uzbekistan",2950,13
"2020-05-22","Uzbekistan",3006,13
"2020-05-23","Uzbekistan",3078,13
"2020-05-24","Uzbekistan",3132,13
"2020-05-25","Uzbekistan",3164,13
"2020-05-26","Uzbekistan",3261,13
"2020-05-27","Uzbekistan",3333,14
"2020-05-28","Uzbekistan",3333,14
"2020-05-29","Uzbekistan",3444,14
"2020-05-30","Uzbekistan",3513,14
"2020-05-31","Uzbekistan",3554,14
"2020-06-01","Uzbekistan",3662,15
"2020-06-02","Uzbekistan",3718,15
"2020-06-03","Uzbekistan",3769,15
"2020-06-04","Uzbekistan",3874,16
"2020-06-05","Uzbekistan",3965,16
"2020-06-06","Uzbekistan",4022,16
"2020-06-07","Uzbekistan",4181,17
"2020-06-08","Uzbekistan",4352,17
"2020-06-09","Uzbekistan",4448,18
"2020-06-10","Uzbekistan",4547,18
"2020-06-11","Uzbekistan",4695,19
"2020-06-12","Uzbekistan",4819,19
"2020-06-13","Uzbekistan",4901,19
"2020-06-14","Uzbekistan",4994,19
"2020-06-15","Uzbekistan",5103,19
"2020-06-16","Uzbekistan",5293,19
"2020-06-17","Uzbekistan",5561,19
"2020-06-18","Uzbekistan",5697,19
"2020-06-19","Uzbekistan",5855,19
"2020-06-20","Uzbekistan",6025,19
"2020-06-21","Uzbekistan",6216,19
"2020-06-22","Uzbekistan",6358,19
"2020-06-23","Uzbekistan",6500,19
"2020-06-24","Uzbekistan",6755,19
