"date","location","total_cases","total_deaths"
"2020-03-19","Zambia",2,0
"2020-03-20","Zambia",2,0
"2020-03-21","Zambia",2,0
"2020-03-22","Zambia",2,0
"2020-03-23","Zambia",3,0
"2020-03-24","Zambia",3,0
"2020-03-25","Zambia",3,0
"2020-03-26","Zambia",12,0
"2020-03-27","Zambia",14,0
"2020-03-28","Zambia",16,0
"2020-03-29","Zambia",28,0
"2020-03-30","Zambia",29,0
"2020-03-31","Zambia",35,0
"2020-04-01","Zambia",35,0
"2020-04-02","Zambia",36,0
"2020-04-03","Zambia",39,1
"2020-04-04","Zambia",39,1
"2020-04-05","Zambia",39,1
"2020-04-06","Zambia",39,1
"2020-04-07","Zambia",39,1
"2020-04-08","Zambia",39,1
"2020-04-09","Zambia",39,1
"2020-04-10","Zambia",39,1
"2020-04-11","Zambia",40,2
"2020-04-12","Zambia",40,2
"2020-04-13","Zambia",43,2
"2020-04-14","Zambia",45,2
"2020-04-15","Zambia",45,2
"2020-04-16","Zambia",48,2
"2020-04-17","Zambia",48,2
"2020-04-18","Zambia",52,2
"2020-04-19","Zambia",57,2
"2020-04-20","Zambia",61,3
"2020-04-21","Zambia",65,3
"2020-04-22","Zambia",65,3
"2020-04-23","Zambia",74,3
"2020-04-24","Zambia",76,3
"2020-04-25","Zambia",84,3
"2020-04-26","Zambia",84,3
"2020-04-27","Zambia",88,3
"2020-04-28","Zambia",89,3
"2020-04-29","Zambia",95,3
"2020-04-30","Zambia",97,3
"2020-05-01","Zambia",106,3
"2020-05-02","Zambia",109,3
"2020-05-03","Zambia",119,3
"2020-05-04","Zambia",124,3
"2020-05-05","Zambia",137,3
"2020-05-06","Zambia",139,4
"2020-05-07","Zambia",146,4
"2020-05-08","Zambia",153,4
"2020-05-09","Zambia",167,4
"2020-05-10","Zambia",252,7
"2020-05-11","Zambia",267,7
"2020-05-12","Zambia",267,7
"2020-05-13","Zambia",441,7
"2020-05-14","Zambia",446,7
"2020-05-15","Zambia",654,7
"2020-05-16","Zambia",668,7
"2020-05-17","Zambia",679,7
"2020-05-18","Zambia",753,7
"2020-05-19","Zambia",761,7
"2020-05-20","Zambia",772,7
"2020-05-21","Zambia",832,7
"2020-05-22","Zambia",866,7
"2020-05-23","Zambia",920,7
"2020-05-24","Zambia",920,7
"2020-05-25","Zambia",920,7
"2020-05-26","Zambia",920,7
"2020-05-27","Zambia",920,7
"2020-05-28","Zambia",1057,7
"2020-05-29","Zambia",1057,7
"2020-05-30","Zambia",1057,7
"2020-05-31","Zambia",1057,7
"2020-06-01","Zambia",1057,7
"2020-06-02","Zambia",1089,7
"2020-06-03","Zambia",1089,7
"2020-06-04","Zambia",1089,7
"2020-06-05","Zambia",1111,7
"2020-06-06","Zambia",1111,7
"2020-06-07","Zambia",1154,7
"2020-06-08","Zambia",1154,7
"2020-06-09","Zambia",1200,10
"2020-06-10","Zambia",1200,10
"2020-06-11","Zambia",1252,10
"2020-06-12","Zambia",1252,10
"2020-06-13","Zambia",1321,10
"2020-06-14","Zambia",1357,10
"2020-06-15","Zambia",1358,11
"2020-06-16","Zambia",1382,11
"2020-06-17","Zambia",1405,11
"2020-06-18","Zambia",1412,11
"2020-06-19","Zambia",1416,11
"2020-06-20","Zambia",1430,11
"2020-06-21","Zambia",1430,11
"2020-06-22","Zambia",1430,11
"2020-06-23","Zambia",1430,11
"2020-06-24","Zambia",1477,18
