date,location,total_cases,total_deaths
2020-03-21,Zimbabwe,1,0
2020-03-22,Zimbabwe,2,0
2020-03-23,Zimbabwe,2,0
2020-03-24,Zimbabwe,2,1
2020-03-25,Zimbabwe,2,1
2020-03-26,Zimbabwe,3,1
2020-03-27,Zimbabwe,3,1
2020-03-28,Zimbabwe,5,1
2020-03-29,Zimbabwe,7,1
2020-03-30,Zimbabwe,7,1
2020-03-31,Zimbabwe,7,1
2020-04-01,Zimbabwe,8,1
2020-04-02,Zimbabwe,8,1
2020-04-03,Zimbabwe,8,1
2020-04-04,Zimbabwe,9,1
2020-04-05,Zimbabwe,9,1
2020-04-06,Zimbabwe,9,1
2020-04-07,Zimbabwe,9,1
2020-04-08,Zimbabwe,10,1
2020-04-09,Zimbabwe,11,2
2020-04-10,Zimbabwe,11,3
2020-04-11,Zimbabwe,11,3
2020-04-12,Zimbabwe,14,3
2020-04-13,Zimbabwe,14,3
2020-04-14,Zimbabwe,17,3
2020-04-15,Zimbabwe,17,3
2020-04-16,Zimbabwe,23,3
2020-04-17,Zimbabwe,24,3
2020-04-18,Zimbabwe,24,3
2020-04-19,Zimbabwe,25,3
2020-04-20,Zimbabwe,25,3
2020-04-21,Zimbabwe,25,3
2020-04-22,Zimbabwe,28,3
2020-04-23,Zimbabwe,28,3
2020-04-24,Zimbabwe,29,3
2020-04-25,Zimbabwe,29,4
2020-04-26,Zimbabwe,31,4
2020-04-27,Zimbabwe,31,4
2020-04-28,Zimbabwe,32,4
2020-04-29,Zimbabwe,32,4
2020-04-30,Zimbabwe,34,4
2020-05-01,Zimbabwe,34,4
2020-05-02,Zimbabwe,34,4
2020-05-03,Zimbabwe,34,4
2020-05-04,Zimbabwe,34,4
2020-05-05,Zimbabwe,34,4
2020-05-06,Zimbabwe,34,4
2020-05-07,Zimbabwe,34,4
2020-05-08,Zimbabwe,34,4
2020-05-09,Zimbabwe,35,4
2020-05-10,Zimbabwe,36,4
2020-05-11,Zimbabwe,36,4
2020-05-12,Zimbabwe,37,4
2020-05-13,Zimbabwe,37,4
2020-05-14,Zimbabwe,37,4
2020-05-15,Zimbabwe,37,4
2020-05-16,Zimbabwe,42,4
2020-05-17,Zimbabwe,44,4
2020-05-18,Zimbabwe,46,4
2020-05-19,Zimbabwe,46,4
2020-05-20,Zimbabwe,46,4
2020-05-21,Zimbabwe,48,4
2020-05-22,Zimbabwe,51,4
2020-05-23,Zimbabwe,56,4
2020-05-24,Zimbabwe,56,4
2020-05-25,Zimbabwe,56,4
2020-05-26,Zimbabwe,56,4
2020-05-27,Zimbabwe,56,4
2020-05-28,Zimbabwe,132,4
2020-05-29,Zimbabwe,149,4
2020-05-30,Zimbabwe,160,4
2020-05-31,Zimbabwe,174,4
2020-06-01,Zimbabwe,178,4
2020-06-02,Zimbabwe,203,4
2020-06-03,Zimbabwe,206,4
2020-06-04,Zimbabwe,222,4
2020-06-05,Zimbabwe,237,4
2020-06-06,Zimbabwe,265,4
2020-06-07,Zimbabwe,279,4
2020-06-08,Zimbabwe,282,4
2020-06-09,Zimbabwe,287,4
2020-06-10,Zimbabwe,314,4
2020-06-11,Zimbabwe,320,4
2020-06-12,Zimbabwe,332,4
2020-06-13,Zimbabwe,343,4
2020-06-14,Zimbabwe,356,4
2020-06-15,Zimbabwe,383,4
2020-06-16,Zimbabwe,387,4
2020-06-17,Zimbabwe,394,4
2020-06-18,Zimbabwe,401,4
2020-06-19,Zimbabwe,463,4
2020-06-20,Zimbabwe,479,4
2020-06-21,Zimbabwe,486,6
2020-06-22,Zimbabwe,489,6
2020-06-23,Zimbabwe,512,6
2020-06-24,Zimbabwe,525,6
