date,location,total_cases,total_deaths
2020-03-04,Bangladesh,NA,NA
2020-03-05,Bangladesh,NA,NA
2020-03-06,Bangladesh,NA,NA
2020-03-07,Bangladesh,NA,NA
2020-03-08,Bangladesh,NA,NA
2020-03-09,Bangladesh,3.0,0.0
2020-03-10,Bangladesh,NA,NA
2020-03-11,Bangladesh,NA,NA
2020-03-12,Bangladesh,NA,NA
2020-03-13,Bangladesh,NA,NA
2020-03-14,Bangladesh,NA,NA
2020-03-15,Bangladesh,3.0,0.0
2020-03-16,Bangladesh,NA,NA
2020-03-17,Bangladesh,5.0,0.0
2020-03-18,Bangladesh,8.0,0.0
2020-03-19,Bangladesh,10.0,0.0
2020-03-20,Bangladesh,10.0,0.0
2020-03-21,Bangladesh,17.0,0.0
2020-03-22,Bangladesh,24.0,2.0
2020-03-23,Bangladesh,27.0,3.0
2020-03-24,Bangladesh,33.0,3.0
2020-03-25,Bangladesh,39.0,4.0
2020-03-26,Bangladesh,39.0,5.0
2020-03-27,Bangladesh,48.0,5.0
2020-03-28,Bangladesh,48.0,5.0
2020-03-29,Bangladesh,48.0,5.0
2020-03-30,Bangladesh,49.0,5.0
2020-03-31,Bangladesh,49.0,5.0
2020-04-01,Bangladesh,51.0,5.0
2020-04-02,Bangladesh,54.0,6.0
2020-04-03,Bangladesh,56.0,6.0
2020-04-04,Bangladesh,61.0,6.0
2020-04-05,Bangladesh,70.0,8.0
2020-04-06,Bangladesh,88.0,9.0
2020-04-07,Bangladesh,123.0,12.0
2020-04-08,Bangladesh,164.0,17.0
2020-04-09,Bangladesh,218.0,20.0
2020-04-10,Bangladesh,330.0,21.0
2020-04-11,Bangladesh,424.0,27.0
2020-04-12,Bangladesh,482.0,30.0
2020-04-13,Bangladesh,621.0,34.0
2020-04-14,Bangladesh,803.0,39.0
2020-04-15,Bangladesh,1012.0,46.0
2020-04-16,Bangladesh,1231.0,50.0
2020-04-17,Bangladesh,1572.0,60.0
2020-04-18,Bangladesh,1838.0,75.0
2020-04-19,Bangladesh,2144.0,84.0
2020-04-20,Bangladesh,2456.0,91.0
2020-04-21,Bangladesh,2948.0,101.0
2020-04-22,Bangladesh,3382.0,110.0
2020-04-23,Bangladesh,3772.0,120.0
2020-04-24,Bangladesh,4186.0,127.0
2020-04-25,Bangladesh,4689.0,131.0
2020-04-26,Bangladesh,4998.0,140.0
2020-04-27,Bangladesh,5416.0,145.0
2020-04-28,Bangladesh,5913.0,152.0
2020-04-29,Bangladesh,6462.0,155.0
2020-04-30,Bangladesh,7103.0,163.0
2020-05-01,Bangladesh,7667.0,168.0
2020-05-02,Bangladesh,8238.0,170.0
2020-05-03,Bangladesh,8790.0,175.0
2020-05-04,Bangladesh,9455.0,177.0
2020-05-05,Bangladesh,10143.0,182.0
2020-05-06,Bangladesh,10929.0,183.0
2020-05-07,Bangladesh,11719.0,186.0
2020-05-08,Bangladesh,12425.0,199.0
2020-05-09,Bangladesh,13134.0,206.0
2020-05-10,Bangladesh,13770.0,214.0
2020-05-11,Bangladesh,14657.0,228.0
2020-05-12,Bangladesh,15691.0,239.0
2020-05-13,Bangladesh,16660.0,250.0
2020-05-14,Bangladesh,17822.0,269.0
2020-05-15,Bangladesh,18863.0,283.0
2020-05-16,Bangladesh,20065.0,298.0
2020-05-17,Bangladesh,20995.0,314.0
2020-05-18,Bangladesh,22268.0,328.0
2020-05-19,Bangladesh,23870.0,349.0
2020-05-20,Bangladesh,25121.0,370.0
2020-05-21,Bangladesh,26738.0,386.0
2020-05-22,Bangladesh,28511.0,408.0
2020-05-23,Bangladesh,30205.0,432.0
2020-05-24,Bangladesh,32078.0,452.0
2020-05-25,Bangladesh,33610.0,480.0
2020-05-26,Bangladesh,35585.0,501.0
2020-05-27,Bangladesh,36751.0,522.0
2020-05-28,Bangladesh,38292.0,544.0
2020-05-29,Bangladesh,40321.0,559.0
2020-05-30,Bangladesh,42844.0,582.0
2020-05-31,Bangladesh,44608.0,610.0
2020-06-01,Bangladesh,47153.0,650.0
2020-06-02,Bangladesh,49534.0,672.0
2020-06-03,Bangladesh,52445.0,709.0
2020-06-04,Bangladesh,55140.0,746.0
2020-06-05,Bangladesh,57563.0,781.0
2020-06-06,Bangladesh,60391.0,811.0
2020-06-07,Bangladesh,63026.0,846.0
2020-06-08,Bangladesh,65769.0,888.0
2020-06-09,Bangladesh,68504.0,930.0
2020-06-10,Bangladesh,71675.0,975.0
2020-06-11,Bangladesh,74865.0,1012.0
2020-06-12,Bangladesh,78052.0,1049.0
2020-06-13,Bangladesh,81523.0,1095.0
2020-06-14,Bangladesh,84379.0,1139.0
2020-06-15,Bangladesh,87520.0,1171.0
2020-06-16,Bangladesh,90619.0,1209.0
2020-06-17,Bangladesh,94481.0,1262.0
2020-06-18,Bangladesh,98489.0,1305.0
2020-06-19,Bangladesh,102292.0,1343.0
2020-06-20,Bangladesh,105535.0,1388.0
2020-06-21,Bangladesh,108775.0,1425.0
2020-06-22,Bangladesh,112306.0,1464.0
2020-06-23,Bangladesh,115786.0,1502.0
2020-06-24,Bangladesh,119198.0,1545.0
