"date","location","total_cases","total_deaths"
"2020-03-06","Bhutan","1","0"
"2020-03-07","Bhutan"," 1","0"
"2020-03-08","Bhutan"," 1","0"
"2020-03-09","Bhutan"," 1","0"
"2020-03-10","Bhutan"," 1","0"
"2020-03-11","Bhutan"," 1","0"
"2020-03-12","Bhutan"," 1","0"
"2020-03-13","Bhutan","1","0"
"2020-03-14","Bhutan"," 1","0"
"2020-03-15","Bhutan","1","0"
"2020-03-16","Bhutan"," 1","0"
"2020-03-17","Bhutan","1","0"
"2020-03-18","Bhutan","1","0"
"2020-03-19","Bhutan","1","0"
"2020-03-20","Bhutan","1","0"
"2020-03-21","Bhutan","2","0"
"2020-03-22","Bhutan","2","0"
"2020-03-23","Bhutan","2","0"
"2020-03-24","Bhutan","2","0"
"2020-03-25","Bhutan","2","0"
"2020-03-26","Bhutan","3","0"
"2020-03-27","Bhutan","3","0"
"2020-03-28","Bhutan","3","0"
"2020-03-29","Bhutan","4","0"
"2020-03-30","Bhutan","4","0"
"2020-03-31","Bhutan","4","0"
"2020-04-01","Bhutan","4","0"
"2020-04-02","Bhutan","5","0"
"2020-04-03","Bhutan","5","0"
"2020-04-04","Bhutan","5","0"
"2020-04-05","Bhutan","5","0"
"2020-04-06","Bhutan","5","0"
"2020-04-07","Bhutan","5","0"
"2020-04-08","Bhutan","5","0"
"2020-04-09","Bhutan","5","0"
"2020-04-10","Bhutan","5","0"
"2020-04-11","Bhutan","5","0"
"2020-04-12","Bhutan","5","0"
"2020-04-13","Bhutan","5","0"
"2020-04-14","Bhutan","5","0"
"2020-04-15","Bhutan","5","0"
"2020-04-16","Bhutan","5","0"
"2020-04-17","Bhutan","5","0"
"2020-04-18","Bhutan","5","0"
"2020-04-19","Bhutan","5","0"
"2020-04-20","Bhutan","5","0"
"2020-04-21","Bhutan","6","0"
"2020-04-22","Bhutan","6","0"
"2020-04-23","Bhutan","7","0"
"2020-04-24","Bhutan","7","0"
"2020-04-25","Bhutan","7","0"
"2020-04-26","Bhutan","7","0"
"2020-04-27","Bhutan","7","0"
"2020-04-28","Bhutan","7","0"
"2020-04-29","Bhutan","7","0"
"2020-04-30","Bhutan","7","0"
"2020-05-01","Bhutan","7","0"
"2020-05-02","Bhutan","7","0"
"2020-05-03","Bhutan","7","0"
"2020-05-04","Bhutan","7","0"
"2020-05-05","Bhutan","7","0"
"2020-05-06","Bhutan","7","0"
"2020-05-07","Bhutan","7","0"
"2020-05-08","Bhutan","7","0"
"2020-05-09","Bhutan","7","0"
"2020-05-10","Bhutan","7","0"
"2020-05-11","Bhutan","9","0"
"2020-05-12","Bhutan","11","0"
"2020-05-13","Bhutan","11","0"
"2020-05-14","Bhutan","15","0"
"2020-05-15","Bhutan","20","0"
"2020-05-16","Bhutan","21","0"
"2020-05-17","Bhutan","21","0"
"2020-05-18","Bhutan","21","0"
"2020-05-19","Bhutan","21","0"
"2020-05-20","Bhutan","21","0"
"2020-05-21","Bhutan","21","0"
"2020-05-22","Bhutan","21","0"
"2020-05-23","Bhutan","24","0"
"2020-05-24","Bhutan","24","0"
"2020-05-25","Bhutan","27","0"
"2020-05-26","Bhutan","27","0"
"2020-05-27","Bhutan","27","0"
"2020-05-28","Bhutan","28","0"
"2020-05-29","Bhutan","31","0"
"2020-05-30","Bhutan","33","0"
"2020-05-31","Bhutan","43","0"
"2020-06-01","Bhutan","43","0"
"2020-06-02","Bhutan","47","0"
"2020-06-03","Bhutan","47","0"
"2020-06-04","Bhutan","47","0"
"2020-06-05","Bhutan","48","0"
"2020-06-06","Bhutan","48","0"
"2020-06-07","Bhutan","48","0"
"2020-06-08","Bhutan","59","0"
"2020-06-09","Bhutan","59","0"
"2020-06-10","Bhutan","59","0"
"2020-06-11","Bhutan","62","0"
"2020-06-12","Bhutan","62","0"
"2020-06-13","Bhutan","62","0"
"2020-06-14","Bhutan","66","0"
"2020-06-15","Bhutan","66","0"
"2020-06-16","Bhutan","67","0"
"2020-06-17","Bhutan","67","0"
"2020-06-18","Bhutan","67","0"
"2020-06-19","Bhutan","67","0"
"2020-06-20","Bhutan","68","0"
"2020-06-21","Bhutan","68","0"
"2020-06-22","Bhutan","68","0"
"2020-06-23","Bhutan","69","0"
"2020-06-24","Bhutan","70","0"
"2020-06-25","Bhutan","70","0"
"2020-06-26","Bhutan","70","0"
"2020-06-27","Bhutan","75","0"
"2020-06-28","Bhutan","76","0"
"2020-06-29","Bhutan","76","0"
"2020-06-30","Bhutan","77","0"
"2020-07-01","Bhutan","77","0"
"2020-07-02","Bhutan","77","0"
"2020-07-03","Bhutan","77","0"
"2020-07-04","Bhutan","78","0"
"2020-07-05","Bhutan","78","0"
