date,location,total_cases,total_deaths
2019-12-31,India,0.0,0.0
2020-01-01,India,0.0,0.0
2020-01-02,India,0.0,0.0
2020-01-03,India,0.0,0.0
2020-01-04,India,0.0,0.0
2020-01-05,India,0.0,0.0
2020-01-06,India,0.0,0.0
2020-01-07,India,0.0,0.0
2020-01-08,India,0.0,0.0
2020-01-09,India,0.0,0.0
2020-01-10,India,0.0,0.0
2020-01-11,India,0.0,0.0
2020-01-12,India,0.0,0.0
2020-01-13,India,0.0,0.0
2020-01-14,India,0.0,0.0
2020-01-15,India,0.0,0.0
2020-01-16,India,0.0,0.0
2020-01-17,India,0.0,0.0
2020-01-18,India,0.0,0.0
2020-01-19,India,0.0,0.0
2020-01-20,India,0.0,0.0
2020-01-21,India,0.0,0.0
2020-01-22,India,0.0,0.0
2020-01-23,India,0.0,0.0
2020-01-24,India,0.0,0.0
2020-01-25,India,0.0,0.0
2020-01-26,India,0.0,0.0
2020-01-27,India,0.0,0.0
2020-01-28,India,0.0,0.0
2020-01-29,India,0.0,0.0
2020-01-30,India,1.0,0.0
2020-01-31,India,1.0,0.0
2020-02-01,India,1.0,0.0
2020-02-02,India,2.0,0.0
2020-02-03,India,2.0,0.0
2020-02-04,India,3.0,0.0
2020-02-05,India,3.0,0.0
2020-02-06,India,3.0,0.0
2020-02-07,India,3.0,0.0
2020-02-08,India,3.0,0.0
2020-02-09,India,3.0,0.0
2020-02-10,India,3.0,0.0
2020-02-11,India,3.0,0.0
2020-02-12,India,3.0,0.0
2020-02-13,India,3.0,0.0
2020-02-14,India,3.0,0.0
2020-02-15,India,3.0,0.0
2020-02-16,India,3.0,0.0
2020-02-17,India,3.0,0.0
2020-02-18,India,3.0,0.0
2020-02-19,India,3.0,0.0
2020-02-20,India,3.0,0.0
2020-02-21,India,3.0,0.0
2020-02-22,India,3.0,0.0
2020-02-23,India,3.0,0.0
2020-02-24,India,3.0,0.0
2020-02-25,India,3.0,0.0
2020-02-26,India,3.0,0.0
2020-02-27,India,3.0,0.0
2020-02-28,India,3.0,0.0
2020-02-29,India,3.0,0.0
2020-03-01,India,3.0,0.0
2020-03-02,India,3.0,0.0
2020-03-03,India,5.0,0.0
2020-03-04,India,6.0,0.0
2020-03-05,India,28.0,0.0
2020-03-06,India,29.0,0.0
2020-03-07,India,31.0,0.0
2020-03-08,India,34.0,0.0
2020-03-09,India,NA,NA
2020-03-10,India,44.0,0.0
2020-03-11,India,50.0,0.0
2020-03-12,India,73.0,0.0
2020-03-13,India,75.0,1.0
