date,location,total_cases,total_deaths
2019-12-31,Nepal,0.0,0.0
2020-01-01,Nepal,0.0,0.0
2020-01-02,Nepal,0.0,0.0
2020-01-03,Nepal,0.0,0.0
2020-01-04,Nepal,0.0,0.0
2020-01-05,Nepal,0.0,0.0
2020-01-06,Nepal,0.0,0.0
2020-01-07,Nepal,0.0,0.0
2020-01-08,Nepal,0.0,0.0
2020-01-09,Nepal,0.0,0.0
2020-01-10,Nepal,0.0,0.0
2020-01-11,Nepal,0.0,0.0
2020-01-12,Nepal,0.0,0.0
2020-01-13,Nepal,0.0,0.0
2020-01-14,Nepal,0.0,0.0
2020-01-15,Nepal,0.0,0.0
2020-01-16,Nepal,0.0,0.0
2020-01-17,Nepal,0.0,0.0
2020-01-18,Nepal,0.0,0.0
2020-01-19,Nepal,0.0,0.0
2020-01-20,Nepal,0.0,0.0
2020-01-21,Nepal,0.0,0.0
2020-01-22,Nepal,0.0,0.0
2020-01-23,Nepal,0.0,0.0
2020-01-24,Nepal,0.0,0.0
2020-01-25,Nepal,1.0,0.0
2020-01-26,Nepal,1.0,0.0
2020-01-27,Nepal,1.0,0.0
2020-01-28,Nepal,1.0,0.0
2020-01-29,Nepal,1.0,0.0
2020-01-30,Nepal,1.0,0.0
2020-01-31,Nepal,1.0,0.0
2020-02-01,Nepal,1.0,0.0
2020-02-02,Nepal,1.0,0.0
2020-02-03,Nepal,1.0,0.0
2020-02-04,Nepal,1.0,0.0
2020-02-05,Nepal,1.0,0.0
2020-02-06,Nepal,1.0,0.0
2020-02-07,Nepal,1.0,0.0
2020-02-08,Nepal,1.0,0.0
2020-02-09,Nepal,1.0,0.0
2020-02-10,Nepal,1.0,0.0
2020-02-11,Nepal,1.0,0.0
2020-02-12,Nepal,1.0,0.0
2020-02-13,Nepal,1.0,0.0
2020-02-14,Nepal,1.0,0.0
2020-02-15,Nepal,1.0,0.0
2020-02-16,Nepal,1.0,0.0
2020-02-17,Nepal,1.0,0.0
2020-02-18,Nepal,1.0,0.0
2020-02-19,Nepal,1.0,0.0
2020-02-20,Nepal,1.0,0.0
2020-02-21,Nepal,1.0,0.0
2020-02-22,Nepal,1.0,0.0
2020-02-23,Nepal,1.0,0.0
2020-02-24,Nepal,1.0,0.0
2020-02-25,Nepal,1.0,0.0
2020-02-26,Nepal,1.0,0.0
2020-02-27,Nepal,1.0,0.0
2020-02-28,Nepal,1.0,0.0
2020-02-29,Nepal,1.0,0.0
2020-03-01,Nepal,1.0,0.0
2020-03-02,Nepal,1.0,0.0
2020-03-03,Nepal,NA,NA
2020-03-04,Nepal,NA,NA
2020-03-05,Nepal,NA,NA
2020-03-06,Nepal,NA,NA
2020-03-07,Nepal,NA,NA
2020-03-08,Nepal,NA,NA
2020-03-09,Nepal,NA,NA
2020-03-10,Nepal,NA,NA
2020-03-11,Nepal,NA,NA
2020-03-12,Nepal,NA,NA
2020-03-13,Nepal,NA,NA
2020-03-14,Nepal,NA,NA
2020-03-15,Nepal,1.0,0.0
2020-03-16,Nepal,NA,NA
2020-03-17,Nepal,1.0,0.0
2020-03-18,Nepal,1.0,0.0
2020-03-19,Nepal,1.0,0.0
2020-03-20,Nepal,1.0,0.0
2020-03-21,Nepal,1.0,0.0
2020-03-22,Nepal,1.0,0.0
2020-03-23,Nepal,1.0,0.0
2020-03-24,Nepal,2.0,0.0
2020-03-25,Nepal,3.0,0.0
2020-03-26,Nepal,3.0,0.0
2020-03-27,Nepal,3.0,0.0
2020-03-28,Nepal,3.0,0.0
2020-03-29,Nepal,5.0,0.0
2020-03-30,Nepal,5.0,0.0
2020-03-31,Nepal,5.0,0.0
2020-04-01,Nepal,5.0,0.0
2020-04-02,Nepal,5.0,0.0
2020-04-03,Nepal,5.0,0.0
2020-04-04,Nepal,6.0,0.0
2020-04-05,Nepal,6.0,0.0
2020-04-06,Nepal,9.0,0.0
2020-04-07,Nepal,9.0,0.0
2020-04-08,Nepal,9.0,0.0
2020-04-09,Nepal,9.0,0.0
2020-04-10,Nepal,9.0,0.0
2020-04-11,Nepal,9.0,0.0
2020-04-12,Nepal,9.0,0.0
2020-04-13,Nepal,12.0,0.0
2020-04-14,Nepal,14.0,0.0
2020-04-15,Nepal,16.0,0.0
