"date","location","total_cases","total_deaths"
"2019-12-31","Sri Lanka","0","0"
"2020-01-01","Sri Lanka","0","0"
"2020-01-02","Sri Lanka","0","0"
"2020-01-03","Sri Lanka","0","0"
"2020-01-04","Sri Lanka","0","0"
"2020-01-05","Sri Lanka","0","0"
"2020-01-06","Sri Lanka","0","0"
"2020-01-07","Sri Lanka","0","0"
"2020-01-08","Sri Lanka","0","0"
"2020-01-09","Sri Lanka","0","0"
"2020-01-10","Sri Lanka","0","0"
"2020-01-11","Sri Lanka","0","0"
"2020-01-12","Sri Lanka","0","0"
"2020-01-13","Sri Lanka","0","0"
"2020-01-14","Sri Lanka","0","0"
"2020-01-15","Sri Lanka","0","0"
"2020-01-16","Sri Lanka","0","0"
"2020-01-17","Sri Lanka","0","0"
"2020-01-18","Sri Lanka","0","0"
"2020-01-19","Sri Lanka","0","0"
"2020-01-20","Sri Lanka","0","0"
"2020-01-21","Sri Lanka","0","0"
"2020-01-22","Sri Lanka","0","0"
"2020-01-23","Sri Lanka","0","0"
"2020-01-24","Sri Lanka","0","0"
"2020-01-25","Sri Lanka","0","0"
"2020-01-26","Sri Lanka","0","0"
"2020-01-27","Sri Lanka","0","0"
"2020-01-28","Sri Lanka","1","0"
"2020-01-29","Sri Lanka","1","0"
"2020-01-30","Sri Lanka","1","0"
"2020-01-31","Sri Lanka","1","0"
"2020-02-01","Sri Lanka","1","0"
"2020-02-02","Sri Lanka","1","0"
"2020-02-03","Sri Lanka","1","0"
"2020-02-04","Sri Lanka","1","0"
"2020-02-05","Sri Lanka","1","0"
"2020-02-06","Sri Lanka","1","0"
"2020-02-07","Sri Lanka","1","0"
"2020-02-08","Sri Lanka","1","0"
"2020-02-09","Sri Lanka","1","0"
"2020-02-10","Sri Lanka","1","0"
"2020-02-11","Sri Lanka","1","0"
"2020-02-12","Sri Lanka","1","0"
"2020-02-13","Sri Lanka","1","0"
"2020-02-14","Sri Lanka","1","0"
"2020-02-15","Sri Lanka","1","0"
"2020-02-16","Sri Lanka","1","0"
"2020-02-17","Sri Lanka","1","0"
"2020-02-18","Sri Lanka","1","0"
"2020-02-19","Sri Lanka","1","0"
"2020-02-20","Sri Lanka","1","0"
"2020-02-21","Sri Lanka","1","0"
"2020-02-22","Sri Lanka","1","0"
"2020-02-23","Sri Lanka","1","0"
"2020-02-24","Sri Lanka","1","0"
"2020-02-25","Sri Lanka","1","0"
"2020-02-26","Sri Lanka","1","0"
"2020-02-27","Sri Lanka","1","0"
"2020-02-28","Sri Lanka","1","0"
"2020-02-29","Sri Lanka","1","0"
"2020-03-01","Sri Lanka","1","0"
"2020-03-02","Sri Lanka","1","0"
"2020-03-03","Sri Lanka","   1"," 0"
"2020-03-04","Sri Lanka","   1"," 0"
"2020-03-05","Sri Lanka","   1"," 0"
"2020-03-06","Sri Lanka","   1"," 0"
"2020-03-07","Sri Lanka","   1"," 0"
"2020-03-08","Sri Lanka","   1"," 0"
"2020-03-09","Sri Lanka","   1"," 0"
"2020-03-10","Sri Lanka","   1"," 0"
"2020-03-11","Sri Lanka","   1"," 0"
"2020-03-12","Sri Lanka","2","0"
"2020-03-13","Sri Lanka","3","0"
"2020-03-14","Sri Lanka","6","0"
"2020-03-15","Sri Lanka","11","0"
"2020-03-16","Sri Lanka","19","0"
"2020-03-17","Sri Lanka","29","0"
"2020-03-18","Sri Lanka","42","0"
"2020-03-19","Sri Lanka","42","0"
"2020-03-20","Sri Lanka","53","0"
"2020-03-21","Sri Lanka","66","0"
"2020-03-22","Sri Lanka","78","0"
"2020-03-23","Sri Lanka","87","0"
"2020-03-24","Sri Lanka","97","0"
"2020-03-25","Sri Lanka","102","0"
"2020-03-26","Sri Lanka","102","0"
"2020-03-27","Sri Lanka","106","0"
"2020-03-28","Sri Lanka","106","0"
"2020-03-29","Sri Lanka","115","1"
"2020-03-30","Sri Lanka","120","1"
"2020-03-31","Sri Lanka","120","1"
"2020-04-01","Sri Lanka","122","2"
"2020-04-02","Sri Lanka","143","2"
"2020-04-03","Sri Lanka","148","3"
"2020-04-04","Sri Lanka","151","4"
"2020-04-05","Sri Lanka","159","5"
"2020-04-06","Sri Lanka","166","5"
