"iso_code","location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","tests_units"
"AGO","Angola","2020-03-22",2,2,0,0,0.061,0.061,0,0,NA,NA,NA,NA,""
"AGO","Angola","2020-03-23",2,0,0,0,0.061,0,0,0,NA,NA,NA,NA,""
"AGO","Angola","2020-03-24",2,0,0,0,0.061,0,0,0,NA,NA,NA,NA,""
"AGO","Angola","2020-03-25",2,0,0,0,0.061,0,0,0,NA,NA,NA,NA,""
"AGO","Angola","2020-03-26",2,0,0,0,0.061,0,0,0,NA,NA,NA,NA,""
"AGO","Angola","2020-03-27",3,1,0,0,0.091,0.03,0,0,NA,NA,NA,NA,""
"AGO","Angola","2020-03-28",4,1,0,0,0.122,0.03,0,0,NA,NA,NA,NA,""
"AGO","Angola","2020-03-29",4,0,0,0,0.122,0,0,0,NA,NA,NA,NA,""
"AGO","Angola","2020-03-30",7,3,2,2,0.213,0.091,0.061,0.061,NA,NA,NA,NA,""
"AGO","Angola","2020-03-31",7,0,2,0,0.213,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-01",7,0,2,0,0.213,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-02",8,1,2,0,0.243,0.03,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-03",8,0,2,0,0.243,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-04",8,0,2,0,0.243,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-05",10,2,2,0,0.304,0.061,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-06",14,4,2,0,0.426,0.122,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-07",16,2,2,0,0.487,0.061,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-08",17,1,2,0,0.517,0.03,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-09",19,2,2,0,0.578,0.061,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-10",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-11",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-12",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-13",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-14",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-15",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-16",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-17",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-18",19,0,2,0,0.578,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-19",24,5,2,0,0.73,0.152,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-20",24,0,2,0,0.73,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-21",24,0,2,0,0.73,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-22",24,0,2,0,0.73,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-23",24,0,2,0,0.73,0,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-24",25,1,2,0,0.761,0.03,0.061,0,NA,NA,NA,NA,""
"AGO","Angola","2020-04-25",25,0,2,0,0.761,0,0.061,0,NA,NA,NA,NA,""
"BGD","Bangladesh","2020-03-04",0,0,0,0,NA,NA,NA,NA,108,NA,0.001,NA,"samples tested"
"BGD","Bangladesh","2020-03-05",0,0,0,0,NA,NA,NA,NA,111,3,0.001,0,"samples tested"
"BGD","Bangladesh","2020-03-07",0,0,0,0,NA,NA,NA,NA,120,NA,0.001,NA,"samples tested"
"BGD","Bangladesh","2020-03-08",0,0,0,0,NA,NA,NA,NA,127,7,0.001,0,"samples tested"
"BGD","Bangladesh","2020-03-09",3,3,0,0,0.018,0.018,0,0,137,10,0.001,0,"samples tested"
"BGD","Bangladesh","2020-03-10",0,0,0,0,NA,NA,NA,NA,147,10,0.001,0,"samples tested"
"BGD","Bangladesh","2020-03-11",0,0,0,0,NA,NA,NA,NA,163,16,0.001,0,"samples tested"
"BGD","Bangladesh","2020-03-12",0,0,0,0,NA,NA,NA,NA,187,24,0.001,0,"samples tested"
"BGD","Bangladesh","2020-03-13",0,0,0,0,NA,NA,NA,NA,211,24,0.001,0,"samples tested"
"BGD","Bangladesh","2020-03-14",0,0,0,0,NA,NA,NA,NA,241,30,0.001,0,"samples tested"
"BGD","Bangladesh","2020-03-15",3,0,0,0,0.018,0,0,0,268,27,0.002,0,"samples tested"
"BGD","Bangladesh","2020-03-16",0,0,0,0,NA,NA,NA,NA,293,25,0.002,0,"samples tested"
"BGD","Bangladesh","2020-03-17",5,2,0,0,0.03,0.012,0,0,342,49,0.002,0,"samples tested"
"BGD","Bangladesh","2020-03-18",8,3,0,0,0.049,0.018,0,0,381,39,0.002,0,"samples tested"
"BGD","Bangladesh","2020-03-19",10,2,0,0,0.061,0.012,0,0,427,46,0.003,0,"samples tested"
"BGD","Bangladesh","2020-03-20",10,0,0,0,0.061,0,0,0,463,36,0.003,0,"samples tested"
"BGD","Bangladesh","2020-03-21",17,7,0,0,0.103,0.043,0,0,499,36,0.003,0,"samples tested"
"BGD","Bangladesh","2020-03-22",24,7,2,2,0.146,0.043,0.012,0.012,564,65,0.003,0,"samples tested"
"BGD","Bangladesh","2020-03-23",27,3,3,1,0.164,0.018,0.018,0.006,620,56,0.004,0,"samples tested"
"BGD","Bangladesh","2020-03-24",33,6,3,0,0.2,0.036,0.018,0,712,92,0.004,0.001,"samples tested"
"BGD","Bangladesh","2020-03-25",39,6,4,1,0.237,0.036,0.024,0.006,794,82,0.005,0,"samples tested"
"BGD","Bangladesh","2020-03-26",39,0,5,1,0.237,0,0.03,0.006,920,126,0.005,0.001,"samples tested"
"BGD","Bangladesh","2020-03-27",48,9,5,0,0.291,0.055,0.03,0,1026,106,0.006,0.001,"samples tested"
"BGD","Bangladesh","2020-03-28",48,0,5,0,0.291,0,0.03,0,1076,50,0.006,0,"samples tested"
"BGD","Bangladesh","2020-03-29",48,0,5,0,0.291,0,0.03,0,1185,109,0.007,0.001,"samples tested"
"BGD","Bangladesh","2020-03-30",49,1,5,0,0.298,0.006,0.03,0,1338,153,0.008,0.001,"samples tested"
"BGD","Bangladesh","2020-03-31",49,0,5,0,0.298,0,0.03,0,1602,264,0.009,0.002,"samples tested"
"BGD","Bangladesh","2020-04-01",51,2,5,0,0.31,0.012,0.03,0,1759,157,0.01,0.001,"samples tested"
"BGD","Bangladesh","2020-04-02",54,3,6,1,0.328,0.018,0.036,0.006,1906,147,0.011,0.001,"samples tested"
"BGD","Bangladesh","2020-04-03",56,2,6,0,0.34,0.012,0.036,0,2113,207,0.012,0.001,"samples tested"
"BGD","Bangladesh","2020-04-04",61,5,6,0,0.37,0.03,0.036,0,2547,434,0.015,0.003,"samples tested"
