Entity,Code,Date,TotalConfirmedDeaths,DailyNewConfirmedDeaths
Afghanistan,AFG,"Mar 24, 2020",1,1
Afghanistan,AFG,"Mar 25, 2020",1,
Afghanistan,AFG,"Mar 26, 2020",1,
Afghanistan,AFG,"Mar 27, 2020",1,
Afghanistan,AFG,"Mar 28, 2020",2,1
Afghanistan,AFG,"Mar 29, 2020",3,1
Afghanistan,AFG,"Mar 30, 2020",4,1
Afghanistan,AFG,"Mar 31, 2020",4,
Afghanistan,AFG,"Apr 1, 2020",4,
Afghanistan,AFG,"Apr 2, 2020",4,
Afghanistan,AFG,"Apr 3, 2020",4,
Afghanistan,AFG,"Apr 4, 2020",4,
Afghanistan,AFG,"Apr 5, 2020",5,1
Afghanistan,AFG,"Apr 6, 2020",7,2
Afghanistan,AFG,"Apr 7, 2020",7,
Afghanistan,AFG,"Apr 8, 2020",11,4
Afghanistan,AFG,"Apr 9, 2020",14,3
Afghanistan,AFG,"Apr 10, 2020",15,1
Afghanistan,AFG,"Apr 11, 2020",15,
Afghanistan,AFG,"Apr 12, 2020",18,3
Afghanistan,AFG,"Apr 13, 2020",18,
Afghanistan,AFG,"Apr 14, 2020",21,3
Afghanistan,AFG,"Apr 15, 2020",23,2
Afghanistan,AFG,"Apr 16, 2020",25,2
Afghanistan,AFG,"Apr 17, 2020",29,4
Afghanistan,AFG,"Apr 18, 2020",30,1
Afghanistan,AFG,"Apr 19, 2020",30,
Afghanistan,AFG,"Apr 20, 2020",33,3
Afghanistan,AFG,"Apr 21, 2020",35,2
Afghanistan,AFG,"Apr 22, 2020",36,1
Afghanistan,AFG,"Apr 23, 2020",40,4
Afghanistan,AFG,"Apr 24, 2020",42,2
Afghanistan,AFG,"Apr 25, 2020",43,1
Afghanistan,AFG,"Apr 26, 2020",47,4
Afghanistan,AFG,"Apr 27, 2020",68,21
Africa,,"Mar 9, 2020",1,1
Africa,,"Mar 10, 2020",1,
Africa,,"Mar 11, 2020",1,
Africa,,"Mar 12, 2020",2,1
Africa,,"Mar 13, 2020",4,2
Africa,,"Mar 14, 2020",5,1
Africa,,"Mar 15, 2020",6,1
Africa,,"Mar 16, 2020",8,2
Africa,,"Mar 17, 2020",8,
Africa,,"Mar 18, 2020",12,4
Africa,,"Mar 19, 2020",16,4
Africa,,"Mar 20, 2020",17,1
Africa,,"Mar 21, 2020",24,7
Africa,,"Mar 22, 2020",35,11
Africa,,"Mar 23, 2020",44,9
Africa,,"Mar 24, 2020",52,8
Africa,,"Mar 25, 2020",64,12
Africa,,"Mar 26, 2020",72,8
Africa,,"Mar 27, 2020",84,12
Africa,,"Mar 28, 2020",103,19
Africa,,"Mar 29, 2020",124,21
Africa,,"Mar 30, 2020",143,19
Africa,,"Mar 31, 2020",166,23
Africa,,"Apr 1, 2020",189,23
Africa,,"Apr 2, 2020",224,35
Africa,,"Apr 3, 2020",256,32
Africa,,"Apr 4, 2020",305,49
Africa,,"Apr 5, 2020",379,74
Africa,,"Apr 6, 2020",434,55
Africa,,"Apr 7, 2020",477,43
Africa,,"Apr 8, 2020",522,45
Africa,,"Apr 9, 2020",573,51
Africa,,"Apr 10, 2020",630,57
Africa,,"Apr 11, 2020",691,61
Africa,,"Apr 12, 2020",743,52
Africa,,"Apr 13, 2020",789,46
Africa,,"Apr 14, 2020",835,46
Africa,,"Apr 15, 2020",876,41
Africa,,"Apr 16, 2020",911,35
Africa,,"Apr 17, 2020",965,54
Africa,,"Apr 18, 2020",1016,51
Africa,,"Apr 19, 2020",1057,41
Africa,,"Apr 20, 2020",1120,63
Africa,,"Apr 21, 2020",1155,35
Africa,,"Apr 22, 2020",1189,34
Africa,,"Apr 23, 2020",1232,43
Africa,,"Apr 24, 2020",1286,54
Africa,,"Apr 25, 2020",1334,48
Africa,,"Apr 26, 2020",1378,44
Africa,,"Apr 27, 2020",1415,37
Albania,ALB,"Mar 12, 2020",1,1
Albania,ALB,"Mar 13, 2020",1,
Albania,ALB,"Mar 14, 2020",1,
Albania,ALB,"Mar 15, 2020",1,
Albania,ALB,"Mar 16, 2020",1,
Albania,ALB,"Mar 17, 2020",1,
